Start time (UTC), 1436 
 Sky conditions, PC Not ideal - mostly overcast but with slightly changing conditions 
 Other notes, 1st day of ice station on transit to Leg 4. Ian began ASD albedo line on Port side of ship. Snow thickness and SMP used along line. 5-m spacing 
 Ship latitude, 82.13375
 Ship longitude, 7.70385
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100
Surface type,   S,   P,   P,   P,   P,   P,   P,   S,   S,   S,   S,   S,   S,   S,   S,   S, NaN,   P,   S,   S,   S
Surface thickness (cm), 4.2, 2.5, 3.2, 3.1, 3.4, 3.8, 0.4, 1.7, 2.3, 1.6, 0.8, 1.0, 1.1, 2.8, 1.1, 0.5, 1.8, 1.0, 0.6, 1.4, 2.5
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21
350,,0.805,0.483,0.498,0.491,0.464,0.490,0.511,0.856,0.868,0.874,0.897,0.887,0.911,0.902,0.887,0.838,0.831,0.746,0.868,0.869,0.893
351,,0.805,0.485,0.500,0.493,0.466,0.491,0.512,0.855,0.868,0.874,0.896,0.886,0.911,0.903,0.887,0.839,0.831,0.746,0.868,0.869,0.893
352,,0.805,0.487,0.502,0.496,0.468,0.493,0.513,0.855,0.869,0.874,0.896,0.886,0.911,0.903,0.887,0.839,0.831,0.746,0.868,0.868,0.894
353,,0.805,0.489,0.505,0.497,0.470,0.495,0.514,0.856,0.869,0.874,0.896,0.888,0.911,0.902,0.887,0.839,0.832,0.746,0.868,0.869,0.894
354,,0.805,0.491,0.507,0.500,0.472,0.496,0.515,0.856,0.869,0.874,0.896,0.887,0.911,0.902,0.887,0.839,0.832,0.747,0.868,0.869,0.894
355,,0.805,0.493,0.509,0.502,0.474,0.497,0.516,0.856,0.869,0.874,0.897,0.887,0.910,0.902,0.887,0.839,0.832,0.747,0.868,0.869,0.895
356,,0.805,0.495,0.511,0.504,0.476,0.499,0.517,0.856,0.870,0.874,0.897,0.887,0.910,0.903,0.887,0.839,0.831,0.746,0.868,0.869,0.895
357,,0.804,0.496,0.513,0.506,0.478,0.500,0.518,0.856,0.870,0.874,0.896,0.887,0.911,0.903,0.887,0.839,0.832,0.746,0.868,0.869,0.895
358,,0.804,0.498,0.514,0.508,0.480,0.502,0.518,0.856,0.870,0.874,0.897,0.887,0.911,0.902,0.887,0.839,0.832,0.746,0.868,0.869,0.895
359,,0.804,0.500,0.516,0.510,0.482,0.503,0.519,0.857,0.871,0.875,0.897,0.887,0.911,0.902,0.887,0.839,0.832,0.747,0.868,0.869,0.895
360,,0.804,0.502,0.518,0.512,0.484,0.504,0.521,0.856,0.871,0.875,0.897,0.887,0.911,0.902,0.887,0.839,0.832,0.747,0.868,0.869,0.895
361,,0.804,0.503,0.520,0.514,0.486,0.506,0.521,0.856,0.871,0.875,0.897,0.887,0.911,0.902,0.887,0.839,0.832,0.747,0.868,0.870,0.895
362,,0.804,0.505,0.521,0.516,0.488,0.507,0.522,0.857,0.871,0.875,0.897,0.887,0.911,0.902,0.887,0.839,0.832,0.747,0.868,0.870,0.896
363,,0.803,0.506,0.523,0.518,0.489,0.509,0.523,0.857,0.871,0.875,0.897,0.887,0.911,0.902,0.887,0.839,0.832,0.747,0.868,0.870,0.896
364,,0.803,0.508,0.524,0.519,0.491,0.510,0.524,0.856,0.872,0.875,0.897,0.887,0.911,0.903,0.887,0.840,0.832,0.747,0.868,0.870,0.896
365,,0.803,0.509,0.526,0.521,0.493,0.511,0.525,0.857,0.872,0.875,0.897,0.887,0.911,0.902,0.887,0.839,0.832,0.747,0.868,0.870,0.896
366,,0.803,0.510,0.527,0.523,0.494,0.513,0.526,0.857,0.872,0.875,0.897,0.887,0.911,0.902,0.887,0.839,0.833,0.747,0.868,0.870,0.897
367,,0.803,0.512,0.529,0.524,0.496,0.514,0.527,0.856,0.872,0.875,0.897,0.887,0.911,0.902,0.887,0.840,0.832,0.747,0.868,0.871,0.897
