Start time (UTC), 1120 
 Sky conditions, BC to some intermittent clouds 
 Other notes, 1st day of ice station on transit to Leg 4 30 nm from floe. Optics line on other side of melt pond on port side. ASD (Maddie) ocean optics (Felix) surface characterization (Katia). 5-m spacing 
 Ship latitude, 82.04703
 Ship longitude, 7.81902
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65
Surface type, S, S, S, S, S, S, S, S, S, S, S, S, S, S
Surface thickness (cm), 16.0,  8.5,  7.0, 12.0,  9.0, 32.0, 14.5,  2.5,  5.0,  4.0,  5.5,  7.0,  9.5, 12.0
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13
350,,0.900,0.894,0.885,0.899,,,0.899,,,,0.856,0.824,
351,,0.900,0.894,0.885,0.900,,,0.899,,,,0.856,0.824,
352,,0.900,0.894,0.886,0.900,,,0.899,,,,0.856,0.824,
353,,0.900,0.895,0.885,0.900,,,0.899,,,,0.857,0.824,
354,,0.900,0.895,0.886,0.900,,,0.899,,,,0.857,0.824,
355,,0.900,0.895,0.887,0.901,,,0.899,,,,0.857,0.824,
356,,0.901,0.896,0.887,0.901,,,0.899,,,,0.857,0.824,
357,,0.901,0.895,0.887,0.901,,,0.900,,,,0.857,0.824,
358,,0.901,0.895,0.888,0.902,,,0.900,,,,0.858,0.824,
359,,0.901,0.895,0.888,0.902,,,0.900,,,,0.858,0.824,
360,,0.901,0.896,0.888,0.902,,,0.900,,,,0.859,0.824,
361,,0.901,0.896,0.889,0.903,,,0.900,,,,0.859,0.824,
362,,0.901,0.896,0.889,0.903,,,0.900,,,,0.859,0.824,
363,,0.901,0.896,0.890,0.903,,,0.900,,,,0.859,0.824,
364,,0.902,0.896,0.890,0.904,,,0.900,,,,0.860,0.823,
365,,0.902,0.896,0.891,0.904,,,0.900,,,,0.860,0.823,
366,,0.902,0.896,0.891,0.904,,,0.900,,,,0.860,0.823,
