Start time (UTC), 1034 
 Sky conditions, BC 
 Other notes, Built a new path to Lemon Drop. Line completed backwardsy (200m to 0 m). Maddie (ASD) Felix (Kipps) Melinda (snow/ponds/photos/notes) Amy (NIR camera) Evgenii (SMP). NIR+SMP every 20 m. Melt ponds nearly fully frozen on surface & still some surface hoar and light snow. Extra spectral albedo at end from unknown location.  
 Ship latitude, 81.9739
 Ship longitude, 9.34946
Position, 200, 195, 190, 185, 180, 175, 170, 165, 160, 155, 150, 145, 140, 135, 130, 125, 120, 115, 110, 105, 100,  95,  90,  85,  80,  75,  70,  65,  60,  55,  50,  45,  40,  35,  30,  25,  20,  15,  10,   5,   0
Surface type,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S, S/P, S/P,   P,   P, P/S,   S, P/S,   S,   S, S/P, S/P,   S,   S,   S,   S,   S,   S, S/P, S/P,   S,   S
Surface thickness (cm),  8.0, 13.5,  3.5, 12.0,  9.0, 10.0, 13.5,  6.0,  3.0,  3.5,  6.5,  5.0,  9.5, 26.0, 25.0, 29.5, 13.0, 27.0, 23.0, 15.5,  7.0,  6.5,  5.5,  0.0,  1.0,  1.0, 19.0,  7.0,  4.0,  8.0, 11.0,  7.5,  6.5,  8.5, 11.5, 11.0, 13.0, 13.0,  7.5,  9.5,  9.5
Notes,                                         thin snow,                                         thin snow,                                         thin snow,                                       medium snow,                                       medium snow,                                  thin/medium snow,                                  thin/medium snow,                                         thin snow,                                         thin snow,                                         thin snow,                                         thin snow,                          thin snow/gray pond edge,      medium snow by rubble. easterly gentle slope,                                 medium/thick snow,                  thick snow. steep easterly slope,             thick snow. steep northeasterly slope,                    medium snow. rubble with slope,        medium snow. northly slope of small rubble,                                       medium snow,                  thin snow. gentle easterly slope,                                         pond edge,                               thin snow/pond edge,                no snow/refrozen pond with bubbles,                no snow/refrozen pond with bubbles,                               thin snow/pond edge,                                edge of snow drift,                    edge of pond with snow feature,                       medium snow. easterly slope,                                  thin/medium snow,                 medium snow/pond edge (blue pond),                 medium snow/pond edge (blue pond),                                  thin/medium snow,            thin/medium snow (cool crevassed snow),            thin/medium snow (cool crevassed snow), medium snow (crevassed on one side; smooth on ...,                 medium snow (mini snow crevasses),                   medium snow/smooth snow surface,                   thin snow (crevassed)/pond edge,                   thin snow (crevassed)/pond edge,                           medium snow (crevassed),                      medium snow (smooth surface)
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29,Albedo30,Albedo31,Albedo32,Albedo33,Albedo34,Albedo35,Albedo36,Albedo37,Albedo38,Albedo39,Albedo40,Albedo41
350,,,,0.881,0.917,0.837,0.807,0.824,0.801,0.799,0.787,0.782,0.907,0.880,0.878,,,,0.831,0.810,0.751,0.749,0.496,0.496,0.528,0.820,,,0.864,0.852,0.729,0.755,0.789,0.803,0.828,,0.790,0.856,0.728,0.743,0.832,0.848
351,,,,0.881,0.917,0.836,0.807,0.825,0.801,0.799,0.787,0.782,0.907,0.880,0.878,,,,0.831,0.810,0.751,0.749,0.497,0.497,0.529,0.820,,,0.864,0.852,0.730,0.756,0.789,0.803,0.828,,0.790,0.856,0.728,0.743,0.832,0.847
352,,,,0.882,0.917,0.836,0.807,0.825,0.802,0.799,0.787,0.782,0.907,0.880,0.878,,,,0.831,0.810,0.751,0.750,0.497,0.497,0.529,0.820,,,0.864,0.852,0.731,0.757,0.789,0.803,0.827,,0.790,0.856,0.728,0.744,0.832,0.847
353,,,,0.882,0.917,0.836,0.807,0.825,0.802,0.799,0.787,0.782,0.907,0.880,0.878,,,,0.831,0.810,0.751,0.750,0.498,0.497,0.530,0.820,,,0.864,0.852,0.731,0.758,0.789,0.803,0.828,,0.791,0.855,0.728,0.744,0.832,0.848
354,,,,0.882,0.918,0.837,0.807,0.825,0.801,0.799,0.788,0.783,0.907,0.880,0.878,,,,0.831,0.811,0.751,0.751,0.499,0.497,0.531,0.820,,,0.865,0.852,0.732,0.759,0.789,0.803,0.828,,0.791,0.855,0.728,0.745,0.832,0.847
355,,,,0.882,0.919,0.837,0.807,0.825,0.802,0.800,0.788,0.783,0.908,0.881,0.878,,,,0.831,0.811,0.751,0.751,0.499,0.498,0.531,0.820,,,0.865,0.852,0.733,0.759,0.789,0.803,0.828,,0.791,0.856,0.728,0.745,0.832,0.847
356,,,,0.883,0.919,0.836,0.807,0.825,0.802,0.799,0.788,0.783,0.908,0.881,0.878,,,,0.831,0.811,0.751,0.752,0.500,0.498,0.532,0.820,,,0.866,0.852,0.734,0.760,0.790,0.804,0.828,,0.791,0.856,0.728,0.745,0.832,0.847
357,,,,0.883,0.919,0.837,0.807,0.825,0.802,0.799,0.788,0.783,0.908,0.881,0.878,,,,0.831,0.811,0.751,0.752,0.500,0.498,0.532,0.820,,,0.866,0.852,0.735,0.761,0.789,0.804,0.828,,0.791,0.856,0.728,0.745,0.832,0.847
