Start time (UTC), 1154 
 Sky conditions, CO-SDV 
 Other notes, ROV started transmittance measurements along line a few minutes ahead. Maddie (ASD) Felix (Kipps) Amy (notes/photos). 3 micro-CT samples at 10 m 40 m 80 m 
 Ship latitude, 81.9488
 Ship longitude, 9.88472
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145
Surface type,   S,   P,   S, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Surface thickness (cm), 12.0,  2.0,  1.0,  2.0,  0.0,  5.0,  2.0,  1.0,  0.0,  1.0,  8.0,  0.0,  0.0,  1.0,  5.0,  1.0,  3.0,  1.0,  0.5,  1.0,  2.0,  3.0,  1.0,  4.0,  5.0,  4.0,  1.0,  0.5,  2.0,  1.0
Notes,                               crack,                      melt pond edge,                            bear fur,                      melt pond edge,                           pond edge,                           pond edge,                                 NaN,                           white ice,                            bare ice,                     uneven snow/ice,                                pond,                       refrozen pond,                       refrozen pond,                           pond edge,                                pond,                               pond ,                           melt foms,                          pond edge ,                      saturated snow,             disher bed/cracked snow,           possible skidoo and ponds,                            sediment, pond edge. crystal snow. Melt forms,                melt forms/saturated,          saturated snow. slush pond,                                pond,                           pond edge,                            bear fur,                       uneven ground,                                 NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 30.0, 30.0, 90.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29
350,0.671,0.518,0.664,0.675,0.458,0.334,0.580,0.603,0.569,0.530,0.411,0.385,0.388,0.410,0.343,0.308,0.441,0.340,0.396,0.533,0.494,0.555,0.456,0.575,0.434,0.343,0.460,0.633,0.693,0.711
351,0.671,0.519,0.665,0.675,0.458,0.335,0.580,0.602,0.569,0.531,0.411,0.385,0.388,0.410,0.344,0.309,0.442,0.341,0.396,0.533,0.494,0.556,0.456,0.576,0.436,0.345,0.460,0.634,0.692,0.711
352,0.672,0.519,0.665,0.675,0.459,0.336,0.580,0.602,0.570,0.531,0.412,0.386,0.389,0.411,0.345,0.310,0.443,0.342,0.397,0.534,0.495,0.556,0.456,0.576,0.437,0.347,0.460,0.636,0.692,0.712
353,0.672,0.519,0.665,0.675,0.459,0.337,0.581,0.603,0.570,0.532,0.413,0.387,0.389,0.412,0.346,0.311,0.443,0.343,0.398,0.534,0.496,0.557,0.457,0.577,0.435,0.346,0.461,0.636,0.694,0.713
354,0.672,0.520,0.665,0.675,0.460,0.338,0.581,0.604,0.570,0.533,0.414,0.387,0.389,0.412,0.346,0.311,0.443,0.343,0.398,0.535,0.497,0.557,0.458,0.577,0.436,0.347,0.462,0.635,0.695,0.711
355,0.672,0.520,0.665,0.675,0.460,0.338,0.581,0.604,0.571,0.533,0.415,0.388,0.390,0.413,0.346,0.312,0.444,0.344,0.399,0.535,0.497,0.558,0.459,0.578,0.438,0.348,0.463,0.636,0.694,0.711
356,0.673,0.520,0.665,0.676,0.461,0.340,0.581,0.604,0.571,0.533,0.415,0.388,0.390,0.414,0.347,0.313,0.445,0.344,0.399,0.536,0.497,0.558,0.459,0.578,0.438,0.349,0.463,0.636,0.694,0.713
357,0.673,0.521,0.665,0.676,0.461,0.340,0.581,0.604,0.571,0.534,0.415,0.389,0.390,0.414,0.347,0.313,0.446,0.346,0.399,0.536,0.498,0.559,0.460,0.578,0.438,0.349,0.463,0.635,0.694,0.712
358,0.673,0.521,0.666,0.675,0.462,0.341,0.582,0.604,0.572,0.535,0.416,0.389,0.391,0.415,0.348,0.314,0.446,0.346,0.400,0.536,0.499,0.559,0.461,0.579,0.437,0.349,0.464,0.635,0.694,0.712
359,0.674,0.522,0.667,0.676,0.462,0.342,0.582,0.604,0.572,0.535,0.417,0.390,0.392,0.415,0.349,0.315,0.446,0.347,0.401,0.537,0.499,0.560,0.461,0.579,0.438,0.350,0.465,0.637,0.694,0.713
360,0.673,0.522,0.666,0.677,0.463,0.342,0.582,0.605,0.572,0.536,0.418,0.391,0.393,0.416,0.350,0.315,0.447,0.347,0.401,0.537,0.500,0.560,0.461,0.579,0.440,0.352,0.465,0.638,0.694,0.713
361,0.674,0.522,0.666,0.676,0.463,0.343,0.583,0.605,0.573,0.537,0.418,0.391,0.392,0.416,0.350,0.316,0.448,0.348,0.402,0.537,0.500,0.561,0.462,0.580,0.440,0.353,0.466,0.637,0.694,0.714
362,0.675,0.523,0.667,0.676,0.464,0.344,0.583,0.605,0.573,0.537,0.419,0.391,0.393,0.417,0.351,0.317,0.448,0.349,0.402,0.538,0.501,0.561,0.463,0.580,0.440,0.354,0.467,0.637,0.695,0.715
363,0.675,0.523,0.667,0.676,0.464,0.345,0.584,0.606,0.573,0.537,0.420,0.392,0.393,0.417,0.351,0.318,0.449,0.349,0.402,0.538,0.501,0.562,0.463,0.581,0.441,0.354,0.468,0.637,0.695,0.715
364,0.674,0.524,0.667,0.677,0.465,0.345,0.584,0.606,0.574,0.538,0.420,0.392,0.393,0.418,0.352,0.318,0.449,0.350,0.403,0.538,0.502,0.562,0.464,0.581,0.441,0.355,0.468,0.638,0.695,0.715
