Start time (UTC), 1320 
 Sky conditions, PC but mostly stable 
 Other notes, Maddie (ASD) w photos after. No surface measurements. Aiming to capture effect of light snowfall (<1 cm) previous night. Recorded GPS of albedo stakes & ROV ice markers.  
 Ship latitude, 81.86607
 Ship longitude, 9.44855
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29
350,0.753,0.656,0.730,0.747,0.499,0.349,0.664,0.700,0.689,0.634,0.488,0.448,0.467,0.466,0.388,0.312,0.523,0.455,0.413,0.628,0.589,0.681,0.546,0.665,0.543,0.351,0.534,0.715,0.768,0.767
351,0.754,0.656,0.731,0.747,0.499,0.350,0.665,0.701,0.689,0.634,0.489,0.448,0.467,0.466,0.389,0.313,0.523,0.455,0.413,0.628,0.590,0.682,0.547,0.665,0.543,0.352,0.535,0.715,0.768,0.768
352,0.754,0.657,0.732,0.748,0.500,0.351,0.665,0.701,0.689,0.634,0.489,0.449,0.467,0.467,0.389,0.314,0.523,0.456,0.414,0.627,0.590,0.682,0.547,0.665,0.543,0.353,0.535,0.715,0.768,0.769
353,0.754,0.657,0.732,0.748,0.501,0.352,0.665,0.701,0.689,0.635,0.490,0.449,0.467,0.467,0.390,0.315,0.524,0.457,0.414,0.628,0.591,0.682,0.548,0.666,0.544,0.353,0.536,0.715,0.768,0.769
354,0.754,0.657,0.731,0.747,0.501,0.353,0.666,0.701,0.690,0.635,0.490,0.450,0.467,0.468,0.391,0.315,0.524,0.457,0.415,0.628,0.591,0.682,0.548,0.666,0.544,0.354,0.536,0.715,0.768,0.769
355,0.754,0.657,0.731,0.748,0.502,0.353,0.666,0.701,0.690,0.635,0.491,0.450,0.468,0.468,0.391,0.316,0.525,0.458,0.415,0.629,0.592,0.683,0.548,0.666,0.545,0.355,0.537,0.715,0.768,0.769
356,0.755,0.658,0.732,0.748,0.502,0.354,0.666,0.701,0.690,0.636,0.491,0.450,0.468,0.469,0.392,0.317,0.525,0.459,0.416,0.629,0.592,0.683,0.548,0.666,0.545,0.356,0.538,0.715,0.769,0.769
357,0.755,0.658,0.732,0.748,0.503,0.355,0.667,0.701,0.690,0.636,0.492,0.451,0.469,0.470,0.392,0.317,0.526,0.459,0.416,0.630,0.592,0.683,0.549,0.667,0.545,0.356,0.538,0.716,0.769,0.770
358,0.755,0.658,0.732,0.748,0.503,0.356,0.667,0.702,0.691,0.636,0.492,0.451,0.469,0.470,0.393,0.318,0.526,0.460,0.417,0.630,0.593,0.684,0.549,0.667,0.546,0.357,0.539,0.716,0.769,0.770
359,0.755,0.658,0.733,0.748,0.504,0.357,0.667,0.702,0.691,0.637,0.492,0.452,0.469,0.471,0.393,0.319,0.527,0.460,0.417,0.630,0.593,0.684,0.550,0.667,0.546,0.358,0.539,0.716,0.769,0.770
360,0.756,0.658,0.733,0.748,0.504,0.358,0.667,0.702,0.690,0.637,0.493,0.452,0.469,0.471,0.394,0.319,0.527,0.461,0.417,0.630,0.594,0.683,0.550,0.667,0.546,0.358,0.540,0.716,0.769,0.771
361,0.756,0.659,0.733,0.749,0.504,0.358,0.668,0.702,0.691,0.638,0.493,0.453,0.470,0.472,0.394,0.320,0.527,0.461,0.418,0.630,0.594,0.684,0.550,0.668,0.546,0.360,0.540,0.716,0.769,0.771
362,0.756,0.659,0.733,0.749,0.505,0.359,0.668,0.702,0.691,0.638,0.494,0.453,0.470,0.472,0.395,0.320,0.528,0.462,0.419,0.631,0.594,0.685,0.551,0.669,0.547,0.361,0.541,0.716,0.770,0.771
