Start time (UTC), 1338 
 Sky conditions, PC to BC 
 Other notes, Sky not ideal for albedo esp 1st half of LDL! Mostly BC for RBB. Maddie (ASD) Felix (Kipps) Debbie (notes/photos). Some of fresh snow from night of 27th still evident. Fresh polar bear tracks along RBB line. 
 Ship latitude, 81.7881
 Ship longitude, 8.96385
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200
Surface type, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Surface thickness (cm),  4.0,  9.0, 26.5,  6.0,  7.0, 10.0,  7.0,  5.5,  6.0,  6.0,  6.5,  5.0, 10.0,  9.0,  9.0, 10.0,  5.0, 10.5,  6.5,  7.0,  7.0, 23.5, 18.0, 17.5, 10.0, 10.0, 19.0,  8.0,  7.0,  6.5,  5.0,  5.0,  5.0, 15.0, 26.0, 17.5, 27.5, 31.5, 20.0, 14.5, 12.0
Notes, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29,Albedo30,Albedo31,Albedo32,Albedo33,Albedo34,Albedo35,Albedo36,Albedo37,Albedo38,Albedo39,Albedo40
350,0.628,0.385,0.327,0.592,0.824,0.795,0.792,0.756,0.871,0.749,0.678,0.754,0.781,0.773,0.757,0.788,0.736,0.348,0.759,0.737,0.855,0.862,0.661,0.735,0.809,0.799,0.579,0.841,0.799,0.833,0.764,0.820,0.837,0.839,0.870,,0.836,0.882,,,0.816
351,0.628,0.386,0.328,0.593,0.824,0.796,0.792,0.756,0.871,0.750,0.678,0.754,0.781,0.773,0.757,0.789,0.737,0.349,0.759,0.737,0.855,0.862,0.662,0.735,0.809,0.800,0.580,0.841,0.799,0.834,0.765,0.820,0.837,0.839,0.870,,0.836,0.882,,,0.816
352,0.628,0.386,0.328,0.594,0.825,0.796,0.793,0.757,0.872,0.751,0.678,0.754,0.781,0.774,0.758,0.789,0.737,0.350,0.759,0.738,0.855,0.863,0.663,0.736,0.810,0.801,0.580,0.841,0.799,0.834,0.765,0.820,0.836,0.840,0.871,,0.836,0.883,,,0.817
353,0.629,0.387,0.329,0.594,0.825,0.796,0.793,0.758,0.872,0.752,0.680,0.755,0.782,0.775,0.759,0.789,0.737,0.351,0.760,0.739,0.856,0.863,0.665,0.736,0.810,0.802,0.581,0.841,0.799,0.834,0.766,0.820,0.836,0.839,0.871,,0.836,0.883,,,0.816
354,0.629,0.388,0.329,0.595,0.826,0.796,0.794,0.759,0.873,0.753,0.680,0.755,0.782,0.775,0.759,0.789,0.737,0.351,0.760,0.739,0.856,0.863,0.665,0.737,0.809,0.803,0.582,0.841,0.800,0.834,0.766,0.820,0.837,0.839,0.871,,0.836,0.883,,,0.817
355,0.629,0.388,0.330,0.596,0.826,0.797,0.794,0.760,0.873,0.754,0.680,0.755,0.782,0.775,0.759,0.789,0.738,0.352,0.760,0.740,0.856,0.864,0.666,0.737,0.810,0.804,0.583,0.841,0.800,0.834,0.766,0.820,0.837,0.840,0.871,,0.836,0.883,,,0.817
356,0.630,0.389,0.330,0.597,0.826,0.797,0.794,0.760,0.874,0.754,0.681,0.755,0.783,0.776,0.759,0.789,0.738,0.352,0.760,0.741,0.856,0.864,0.667,0.738,0.811,0.804,0.583,0.842,0.800,0.835,0.766,0.821,0.837,0.840,0.871,,0.836,0.883,,,0.817
357,0.630,0.389,0.331,0.597,0.826,0.797,0.795,0.761,0.874,0.755,0.681,0.756,0.783,0.776,0.759,0.789,0.738,0.353,0.761,0.742,0.856,0.864,0.668,0.739,0.810,0.805,0.584,0.841,0.801,0.835,0.767,0.821,0.837,0.840,0.871,,0.836,0.883,,,0.817
358,0.630,0.390,0.331,0.597,0.827,0.797,0.795,0.762,0.875,0.756,0.682,0.756,0.784,0.777,0.760,0.789,0.738,0.353,0.761,0.742,0.856,0.865,0.669,0.739,0.810,0.806,0.585,0.841,0.801,0.835,0.767,0.821,0.837,0.840,0.871,,0.836,0.884,,,0.817
359,0.630,0.390,0.332,0.598,0.827,0.798,0.795,0.762,0.875,0.757,0.682,0.756,0.784,0.777,0.760,0.790,0.739,0.354,0.761,0.743,0.856,0.865,0.670,0.739,0.810,0.807,0.585,0.842,0.801,0.835,0.767,0.821,0.837,0.840,0.871,,0.835,0.884,,,0.818
360,0.630,0.391,0.332,0.599,0.828,0.798,0.796,0.763,0.876,0.758,0.683,0.756,0.784,0.778,0.760,0.790,0.739,0.355,0.761,0.744,0.856,0.865,0.672,0.740,0.811,0.807,0.586,0.842,0.802,0.836,0.768,0.821,0.838,0.840,0.871,,0.835,0.884,,,0.817
361,0.631,0.391,0.333,0.600,0.828,0.798,0.796,0.764,0.877,0.758,0.683,0.756,0.784,0.778,0.760,0.790,0.739,0.356,0.761,0.745,0.856,0.865,0.673,0.741,0.811,0.808,0.587,0.842,0.802,0.836,0.768,0.822,0.838,0.840,0.872,,0.835,0.884,,,0.818
362,0.631,0.392,0.334,0.600,0.829,0.798,0.797,0.764,0.877,0.759,0.684,0.756,0.785,0.779,0.761,0.790,0.739,0.357,0.762,0.746,0.856,0.865,0.673,0.741,0.811,0.809,0.588,0.842,0.802,0.836,0.768,0.822,0.838,0.841,0.872,,0.835,0.885,,,0.818
363,0.631,0.392,0.334,0.601,0.829,0.798,0.797,0.765,0.877,0.760,0.684,0.757,0.786,0.779,0.761,0.790,0.740,0.357,0.762,0.746,0.856,0.866,0.674,0.741,0.811,0.810,0.589,0.842,0.802,0.836,0.768,0.822,0.838,0.841,0.872,,0.835,0.885,,,0.818
364,0.631,0.393,0.334,0.601,0.829,0.799,0.797,0.766,0.878,0.761,0.685,0.757,0.786,0.780,0.761,0.790,0.740,0.357,0.762,0.747,0.856,0.866,0.675,0.742,0.811,0.811,0.589,0.843,0.803,0.837,0.769,0.822,0.838,0.841,0.872,,0.835,0.885,,,0.818
365,0.632,0.393,0.335,0.602,0.830,0.799,0.798,0.766,0.878,0.762,0.685,0.757,0.787,0.780,0.762,0.790,0.740,0.358,0.762,0.748,0.857,0.866,0.676,0.742,0.811,0.811,0.590,0.843,0.803,0.837,0.769,0.823,0.838,0.841,0.872,,0.835,0.885,,,0.818
366,0.632,0.393,0.335,0.603,0.830,0.799,0.798,0.767,0.878,0.762,0.685,0.757,0.787,0.781,0.762,0.791,0.740,0.359,0.763,0.748,0.857,0.866,0.676,0.742,0.811,0.812,0.591,0.843,0.804,0.837,0.769,0.823,0.838,0.841,0.872,,0.835,0.885,,,0.819
367,0.632,0.394,0.336,0.603,0.830,0.799,0.798,0.767,0.879,0.763,0.686,0.757,0.787,0.781,0.762,0.791,0.741,0.360,0.763,0.749,0.857,0.867,0.677,0.743,0.811,0.813,0.591,0.843,0.804,0.837,0.769,0.823,0.838,0.841,0.872,,0.835,0.885,,,0.819
368,0.632,0.394,0.336,0.604,0.831,0.800,0.798,0.768,0.880,0.764,0.686,0.757,0.788,0.781,0.763,0.791,0.741,0.360,0.763,0.750,0.857,0.867,0.678,0.743,0.812,0.813,0.592,0.843,0.804,0.837,0.769,0.823,0.839,0.841,0.872,,0.835,0.885,,,0.819
369,0.632,0.394,0.336,0.604,0.831,0.800,0.799,0.768,0.880,0.765,0.687,0.758,0.788,0.782,0.763,0.791,0.741,0.361,0.763,0.751,0.857,0.868,0.678,0.743,0.812,0.814,0.592,0.843,0.804,0.837,0.769,0.823,0.839,0.841,0.872,,0.835,0.885,,,0.819
