Start time (UTC), 1220 
 Sky conditions, CO-SDNV 
 Other notes, Two side-by-side 3x3 areas on level SYI snow-covered. Took albedo of both before then shoveled off B completed. Both had large "jewel snow" grains. Maddie (ASD) & Amy (NIR/microCT/snow). 
 Ship latitude, 81.69644
 Ship longitude, 6.23521
Position, 1A, 1B, 1A, 1B
Surface type,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN
Notes,                                      undisturbed.,     pre-shoveling. Bit of flag in middle of area.,                                      undisturbed., post-shoveling. Snow sample X taken for dO18 (...
Change in incident (%),0.0, 10.0, 10.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3
350,0.777,0.795,0.800,0.570
351,0.777,0.795,0.800,0.571
352,0.777,0.795,0.800,0.571
353,0.777,0.795,0.800,0.572
354,0.777,0.795,0.800,0.572
355,0.777,0.796,0.801,0.572
356,0.777,0.796,0.801,0.573
357,0.778,0.796,0.801,0.573
358,0.778,0.796,0.801,0.574
359,0.778,0.796,0.801,0.574
360,0.778,0.796,0.801,0.574
361,0.778,0.796,0.801,0.574
362,0.778,0.796,0.801,0.575
363,0.778,0.797,0.802,0.575
364,0.779,0.797,0.802,0.576
365,0.779,0.797,0.802,0.576
366,0.779,0.797,0.802,0.576
367,0.779,0.797,0.802,0.576
368,0.779,0.798,0.802,0.577
369,0.779,0.798,0.803,0.577
370,0.779,0.797,0.802,0.577
371,0.779,0.798,0.802,0.577
372,0.779,0.797,0.803,0.578
373,0.779,0.798,0.803,0.578
374,0.780,0.798,0.803,0.579
375,0.780,0.798,0.803,0.579
376,0.780,0.798,0.803,0.579
377,0.780,0.798,0.803,0.579
378,0.780,0.799,0.803,0.580
379,0.780,0.798,0.803,0.580
380,0.780,0.798,0.803,0.581
381,0.780,0.799,0.804,0.581
382,0.780,0.799,0.804,0.581
383,0.780,0.798,0.804,0.582
384,0.780,0.799,0.804,0.582
385,0.780,0.799,0.804,0.582
386,0.781,0.799,0.804,0.582
387,0.781,0.799,0.805,0.582
388,0.781,0.799,0.804,0.583
389,0.781,0.799,0.804,0.583
390,0.781,0.799,0.804,0.583
391,0.781,0.800,0.804,0.583
392,0.781,0.800,0.805,0.583
393,0.781,0.799,0.805,0.583
394,0.781,0.800,0.805,0.584
395,0.781,0.800,0.805,0.584
396,0.781,0.800,0.805,0.584
397,0.781,0.800,0.805,0.584
398,0.781,0.800,0.805,0.584
399,0.781,0.799,0.805,0.584
400,0.781,0.799,0.805,0.584
401,0.781,0.799,0.805,0.584
402,0.781,0.800,0.805,0.584
403,0.781,0.799,0.805,0.584
404,0.781,0.799,0.805,0.584
405,0.781,0.799,0.805,0.584
406,0.781,0.800,0.805,0.584
407,0.781,0.800,0.805,0.584
408,0.781,0.800,0.805,0.584
409,0.781,0.800,0.805,0.584
410,0.781,0.800,0.805,0.584
411,0.781,0.800,0.805,0.584
412,0.781,0.800,0.805,0.584
413,0.781,0.799,0.805,0.584
414,0.781,0.800,0.805,0.584
415,0.781,0.800,0.805,0.584
416,0.781,0.800,0.805,0.585
417,0.781,0.800,0.805,0.585
418,0.781,0.800,0.805,0.585
419,0.781,0.800,0.805,0.585
420,0.781,0.800,0.805,0.585
421,0.781,0.800,0.805,0.585
422,0.781,0.800,0.805,0.585
423,0.781,0.800,0.805,0.585
424,0.781,0.800,0.805,0.585
425,0.781,0.800,0.805,0.585
426,0.781,0.800,0.805,0.585
427,0.781,0.800,0.805,0.585
428,0.781,0.800,0.805,0.586
429,0.781,0.800,0.805,0.586
430,0.781,0.800,0.806,0.586
431,0.781,0.800,0.805,0.586
432,0.781,0.800,0.805,0.586
433,0.781,0.800,0.806,0.586
434,0.781,0.800,0.806,0.586
435,0.781,0.800,0.806,0.586
436,0.781,0.800,0.806,0.586
437,0.781,0.800,0.806,0.586
438,0.781,0.800,0.806,0.586
439,0.781,0.800,0.806,0.586
440,0.781,0.800,0.806,0.587
441,0.781,0.800,0.806,0.587
442,0.781,0.800,0.806,0.587
443,0.781,0.800,0.806,0.587
444,0.781,0.800,0.806,0.587
445,0.781,0.800,0.806,0.587
446,0.781,0.800,0.806,0.587
447,0.781,0.800,0.806,0.588
448,0.781,0.800,0.806,0.588
449,0.781,0.800,0.806,0.588
450,0.781,0.800,0.806,0.588
451,0.781,0.800,0.806,0.588
452,0.781,0.800,0.806,0.588
453,0.782,0.800,0.806,0.588
454,0.782,0.800,0.806,0.588
455,0.782,0.800,0.806,0.588
456,0.782,0.800,0.806,0.589
457,0.782,0.800,0.806,0.588
458,0.782,0.800,0.806,0.589
459,0.782,0.800,0.806,0.589
460,0.782,0.801,0.806,0.589
461,0.782,0.800,0.806,0.589
462,0.782,0.800,0.806,0.589
463,0.782,0.801,0.806,0.589
464,0.782,0.801,0.806,0.589
465,0.782,0.801,0.806,0.589
466,0.782,0.801,0.806,0.589
467,0.782,0.801,0.806,0.589
468,0.782,0.801,0.806,0.589
469,0.782,0.801,0.806,0.590
470,0.782,0.801,0.806,0.590
471,0.782,0.801,0.806,0.590
472,0.782,0.801,0.807,0.590
473,0.782,0.801,0.807,0.590
474,0.782,0.801,0.806,0.590
475,0.782,0.800,0.806,0.590
476,0.782,0.801,0.806,0.590
477,0.782,0.801,0.806,0.590
478,0.782,0.800,0.806,0.590
479,0.782,0.800,0.806,0.590
480,0.782,0.800,0.806,0.590
481,0.782,0.800,0.806,0.590
482,0.782,0.800,0.806,0.590
483,0.782,0.800,0.806,0.590
484,0.782,0.800,0.806,0.590
485,0.782,0.800,0.806,0.590
486,0.782,0.800,0.806,0.590
487,0.782,0.800,0.806,0.590
488,0.782,0.800,0.806,0.590
489,0.781,0.800,0.806,0.590
490,0.781,0.800,0.806,0.589
491,0.781,0.800,0.806,0.589
492,0.781,0.800,0.806,0.589
493,0.781,0.800,0.806,0.589
494,0.781,0.800,0.806,0.589
495,0.781,0.800,0.806,0.589
496,0.781,0.800,0.806,0.589
497,0.781,0.800,0.806,0.589
498,0.781,0.800,0.806,0.589
499,0.781,0.799,0.806,0.589
500,0.781,0.799,0.806,0.589
501,0.781,0.799,0.806,0.589
502,0.781,0.799,0.805,0.589
503,0.781,0.799,0.805,0.588
504,0.781,0.799,0.805,0.589
505,0.780,0.799,0.805,0.588
506,0.780,0.799,0.805,0.588
507,0.780,0.799,0.805,0.588
508,0.780,0.799,0.805,0.588
509,0.780,0.799,0.805,0.588
510,0.780,0.798,0.805,0.588
511,0.780,0.798,0.805,0.588
512,0.780,0.798,0.805,0.588
513,0.780,0.798,0.805,0.587
514,0.780,0.798,0.804,0.587
515,0.780,0.798,0.805,0.587
516,0.780,0.798,0.805,0.587
517,0.780,0.798,0.804,0.587
518,0.780,0.798,0.804,0.587
519,0.780,0.798,0.804,0.587
520,0.779,0.798,0.804,0.587
521,0.779,0.797,0.804,0.587
522,0.779,0.797,0.804,0.587
523,0.779,0.797,0.804,0.587
524,0.779,0.797,0.804,0.587
525,0.779,0.797,0.803,0.587
526,0.779,0.797,0.803,0.587
527,0.779,0.797,0.803,0.586
528,0.779,0.797,0.803,0.586
529,0.778,0.797,0.803,0.586
530,0.778,0.796,0.803,0.586
531,0.778,0.796,0.803,0.586
532,0.778,0.796,0.803,0.586
533,0.778,0.796,0.803,0.585
534,0.778,0.796,0.802,0.585
535,0.778,0.796,0.802,0.585
536,0.778,0.795,0.802,0.585
537,0.777,0.795,0.802,0.584
538,0.777,0.795,0.802,0.584
539,0.777,0.795,0.802,0.584
540,0.777,0.795,0.802,0.584
541,0.777,0.794,0.801,0.583
542,0.777,0.794,0.801,0.583
543,0.776,0.794,0.801,0.583
544,0.776,0.794,0.801,0.582
545,0.776,0.793,0.801,0.582
546,0.776,0.793,0.800,0.582
547,0.776,0.793,0.800,0.582
548,0.775,0.793,0.800,0.581
549,0.775,0.793,0.800,0.581
550,0.775,0.792,0.799,0.580
551,0.775,0.792,0.799,0.580
552,0.775,0.792,0.799,0.579
553,0.774,0.792,0.799,0.579
