Start time (UTC), 1257 
 Sky conditions, CO-SDNV (ROV), PC (LDL & RBB) 
 Other notes, ROV: Maddie (ASD then Kipps then photos/notes). Transmittance transect started just prior to ASD. LDL & RBB: Sky PC - sort of stable but not ideal. Ian (ASD) Felix (Kipps) Maddie (notes/photos). Similar to day prior but surface seems more melted and wetter. Extra measurement on LDL (locations may not match exactly) and stopped working on RBB at 125 m. 
 Ship latitude, 81.6359
 Ship longitude, 4.44235
Position,   0.0,   5.0,  10.0,  15.0,  20.0,  25.0,  30.0,  35.0,  40.0,  45.0,  50.0,  55.0,  60.0,  65.0,  70.0,  75.0,  80.0,  85.0,  90.0,  95.0, 100.0, 105.0, 110.0, 115.0, 120.0, 125.0, 130.0, 135.0, 140.0, 145.0, 150.0, 155.0, 160.0, 165.0, 170.0, 175.0, 180.0, 185.0, 190.0, 195.0, 200.0
Surface type, S/P,   P,   P,   P,   S,   S,   S, S/P,   S,   S,   S,   S,   S,   S,   S,   S,   S,   P,   S,   S,   S,   S,   P,   P,   S,   S, P/S,   S,   S,   S,   P,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S
Surface thickness (cm),  6.0,  3.0, 25.0,  5.0, 10.0,  8.0,  4.0,  4.0,  4.0,  2.0, 11.0, 11.0,  6.0,  4.0,  6.0,  4.0,  4.0, 14.0,  9.0,  5.0,  5.0,  5.0, 22.0, 17.0,  5.0,  6.0, 20.0,  4.0,  5.0,  4.0,  5.0,  4.0,  4.0, 11.0,  8.0,  5.0, 16.0, 28.0,  7.0, 10.0, 18.0
Notes,                 pond edge. Pond 4 cm,                            dark pond,           dark pond with white crack,                            pond edge,                        ridge in pond,                     slushy pond edge,                 slushy furry surface,                 pond edge. Pond 2 cm,                                snow!,                   variable and dirty, weird block of new crystals (photos),                        same crystals,                             wet snow,                      wet fine grains,                 refrozen white crack,                       slightly dirty,                      white fine snow,                mostly turquoise pond,                loose crumbly surface,                       slightly dirty,                   tooth-like surface,                       finer wet snow,            blue pond (bubbly bottom),                            blue pond,                crusty/crumbly (SSL?),                       blue pond edge,                      pond edge/ridge,                     slushy pond edge,                         crumbly snow,                                  wet,                           small pond,                         crumbly snow,                                  NaN,                 porous bumpy surface,                                ridge,                               ridge ,                wet! Water under snow,             water below crumbly snow,                                ridge,                wet snow behind ridge,                loose smallish grains
Change in incident (%),10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25
350,0.437,0.325,0.316,0.338,0.667,0.595,0.672,0.591,0.788,0.420,0.628,0.628,0.678,0.633,0.661,0.583,0.587,0.358,0.684,0.687,0.820,0.740,0.607,0.571,0.750,0.700
351,0.438,0.325,0.316,0.339,0.667,0.596,0.673,0.592,0.789,0.421,0.629,0.628,0.678,0.634,0.662,0.583,0.588,0.358,0.684,0.688,0.821,0.740,0.608,0.573,0.750,0.702
352,0.438,0.326,0.317,0.340,0.668,0.596,0.673,0.594,0.790,0.422,0.629,0.628,0.679,0.635,0.662,0.584,0.589,0.359,0.684,0.689,0.822,0.740,0.610,0.575,0.751,0.703
353,0.439,0.327,0.318,0.341,0.668,0.597,0.674,0.595,0.790,0.423,0.630,0.629,0.679,0.636,0.662,0.584,0.589,0.360,0.685,0.689,0.823,0.740,0.611,0.577,0.753,0.704
354,0.439,0.328,0.318,0.341,0.669,0.598,0.675,0.596,0.791,0.424,0.630,0.630,0.679,0.636,0.662,0.585,0.590,0.360,0.685,0.690,0.824,0.740,0.613,0.579,0.753,0.706
355,0.440,0.328,0.318,0.342,0.669,0.599,0.675,0.598,0.791,0.425,0.630,0.630,0.679,0.637,0.663,0.585,0.590,0.361,0.685,0.691,0.825,0.740,0.615,0.580,0.753,0.707
356,0.440,0.329,0.318,0.342,0.670,0.600,0.676,0.599,0.791,0.426,0.631,0.630,0.679,0.638,0.664,0.586,0.591,0.362,0.685,0.691,0.826,0.740,0.616,0.582,0.755,0.709
357,0.441,0.329,0.319,0.343,0.670,0.600,0.676,0.599,0.792,0.427,0.631,0.630,0.679,0.639,0.664,0.587,0.592,0.363,0.685,0.692,0.826,0.740,0.617,0.583,0.756,0.710
