Start time (UTC), 1035 
 Sky conditions, CO-SDNV to CO-SDV 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.51269
 Ship longitude, 2.39455
Position, 1A, 1B,  2,  3,  4, 5A,  6,  7
Surface type, S, P, P, P, P, S, P, S
Surface thickness (cm),  NaN,  NaN, 17.5,  7.5, 24.0,  NaN, 16.0,  3.0
Notes, 14cm snow/SSL. NOTE: incident scan bad/lost? u..., area shoveled 1 week prior - ~1cm water on sur...,                15-20 cm. porous sedimented bottom,                             6-9 cm. bubbly bottom,                   less deep over white band/crack,                                    SSL clean area,                                             16 cm,                                  drained pond SSL
Change in incident (%),350.0, 40.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,,0.499,0.360,0.350,0.435,0.713,0.501,0.683
351,,0.500,0.361,0.351,0.436,0.714,0.502,0.683
352,,0.500,0.362,0.352,0.437,0.714,0.503,0.684
353,,0.501,0.364,0.353,0.438,0.715,0.504,0.685
354,,0.501,0.365,0.353,0.438,0.716,0.504,0.685
355,,0.501,0.366,0.354,0.439,0.717,0.505,0.686
356,,0.501,0.368,0.355,0.441,0.717,0.507,0.686
357,,0.501,0.369,0.356,0.441,0.718,0.508,0.687
358,,0.502,0.370,0.357,0.442,0.719,0.509,0.687
