Start time (UTC), 1725 
 Sky conditions, CO-SDNV to CO-SDV 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.48665
 Ship longitude, 2.22761
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145
Surface type, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, CO-SDNV very foggy. ROV transect right before;...,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29
350,0.627,0.526,0.697,0.750,0.702,0.255,0.725,0.723,0.738,0.657,0.327,0.676,0.715,0.631,0.462,0.342,0.569,0.361,0.402,0.749,0.764,0.465,0.680,0.550,0.604,0.246,0.601,0.747,0.745,0.733
351,0.627,0.527,0.697,0.750,0.703,0.256,0.725,0.723,0.738,0.658,0.327,0.677,0.715,0.631,0.463,0.342,0.570,0.362,0.403,0.749,0.764,0.466,0.680,0.551,0.604,0.247,0.602,0.747,0.745,0.734
352,0.628,0.528,0.697,0.750,0.703,0.256,0.726,0.724,0.739,0.659,0.328,0.677,0.716,0.631,0.463,0.343,0.570,0.363,0.403,0.749,0.764,0.466,0.681,0.551,0.605,0.248,0.603,0.747,0.744,0.734
353,0.629,0.528,0.698,0.751,0.704,0.257,0.726,0.724,0.740,0.659,0.329,0.677,0.716,0.632,0.464,0.343,0.571,0.364,0.403,0.749,0.764,0.467,0.682,0.552,0.605,0.248,0.603,0.747,0.745,0.734
354,0.630,0.528,0.698,0.750,0.705,0.258,0.727,0.724,0.740,0.659,0.329,0.678,0.717,0.632,0.465,0.344,0.572,0.364,0.404,0.750,0.765,0.467,0.682,0.553,0.606,0.249,0.604,0.748,0.745,0.734
355,0.630,0.529,0.698,0.750,0.705,0.259,0.727,0.724,0.741,0.659,0.330,0.678,0.717,0.632,0.465,0.345,0.573,0.365,0.404,0.750,0.765,0.468,0.683,0.554,0.606,0.250,0.604,0.748,0.745,0.735
356,0.631,0.530,0.698,0.751,0.706,0.260,0.728,0.725,0.741,0.660,0.331,0.678,0.717,0.633,0.466,0.346,0.575,0.366,0.404,0.750,0.765,0.469,0.684,0.555,0.607,0.250,0.605,0.748,0.746,0.736
357,0.631,0.531,0.698,0.751,0.706,0.261,0.728,0.725,0.741,0.661,0.331,0.679,0.717,0.633,0.466,0.346,0.575,0.367,0.405,0.751,0.766,0.469,0.684,0.555,0.607,0.251,0.605,0.749,0.746,0.735
358,0.632,0.532,0.699,0.751,0.708,0.261,0.728,0.725,0.742,0.661,0.332,0.679,0.718,0.633,0.466,0.347,0.576,0.367,0.405,0.751,0.766,0.470,0.685,0.556,0.607,0.252,0.606,0.749,0.746,0.736
