Start time (UTC), 2002 
 Sky conditions, CO-SDNV to CO-SDV 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.4816
 Ship longitude, 2.12905
Position, 1, 2, 3, 4, 5, 6, 7, 8
Surface type, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, CO-SDNV. Amy (notes/photos/depths. NIR/microCT...,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN
Change in incident (%),30.0, 20.0, 10.0, 30.0, 20.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.311,0.762,0.564,0.732,0.779,0.768,0.241,0.695
351,0.312,0.762,0.564,0.732,0.779,0.769,0.241,0.696
352,0.312,0.762,0.564,0.733,0.779,0.769,0.242,0.696
353,0.313,0.763,0.565,0.733,0.780,0.769,0.242,0.696
354,0.314,0.763,0.566,0.733,0.780,0.769,0.243,0.696
355,0.314,0.764,0.567,0.734,0.781,0.770,0.244,0.696
356,0.315,0.764,0.568,0.734,0.782,0.770,0.245,0.696
357,0.315,0.765,0.569,0.735,0.782,0.770,0.246,0.696
358,0.316,0.765,0.570,0.735,0.782,0.770,0.246,0.697
359,0.316,0.765,0.570,0.735,0.782,0.770,0.247,0.697
360,0.316,0.765,0.571,0.736,0.782,0.771,0.247,0.697
361,0.316,0.765,0.572,0.737,0.782,0.771,0.248,0.697
362,0.317,0.766,0.573,0.736,0.783,0.771,0.249,0.697
363,0.317,0.767,0.574,0.737,0.783,0.772,0.249,0.698
364,0.318,0.767,0.575,0.737,0.783,0.772,0.249,0.697
365,0.317,0.767,0.576,0.737,0.784,0.772,0.250,0.697
366,0.317,0.768,0.576,0.738,0.784,0.772,0.251,0.698
367,0.318,0.768,0.577,0.738,0.784,0.772,0.251,0.698
368,0.318,0.768,0.578,0.738,0.784,0.772,0.252,0.698
369,0.318,0.768,0.578,0.739,0.785,0.773,0.252,0.698
370,0.319,0.768,0.579,0.739,0.785,0.773,0.253,0.698
371,0.318,0.769,0.580,0.739,0.785,0.773,0.253,0.698
372,0.319,0.769,0.580,0.739,0.785,0.773,0.254,0.698
373,0.319,0.769,0.581,0.740,0.786,0.773,0.254,0.699
374,0.320,0.770,0.583,0.741,0.786,0.773,0.255,0.699
375,0.320,0.770,0.584,0.741,0.787,0.774,0.256,0.699
376,0.320,0.771,0.584,0.741,0.787,0.774,0.256,0.699
377,0.321,0.771,0.585,0.742,0.787,0.774,0.257,0.699
378,0.321,0.771,0.586,0.742,0.787,0.775,0.257,0.699
379,0.321,0.771,0.587,0.743,0.787,0.775,0.258,0.699
380,0.322,0.772,0.588,0.743,0.787,0.775,0.258,0.700
381,0.322,0.772,0.590,0.744,0.788,0.775,0.259,0.700
382,0.322,0.772,0.591,0.744,0.788,0.775,0.260,0.700
383,0.323,0.773,0.591,0.744,0.788,0.776,0.260,0.700
384,0.323,0.773,0.593,0.744,0.788,0.776,0.260,0.700
385,0.323,0.773,0.594,0.745,0.789,0.776,0.261,0.700
386,0.324,0.774,0.595,0.746,0.789,0.776,0.261,0.700
387,0.324,0.774,0.596,0.746,0.789,0.776,0.262,0.701
388,0.324,0.775,0.597,0.746,0.789,0.776,0.263,0.701
389,0.324,0.775,0.597,0.746,0.789,0.777,0.263,0.700
390,0.325,0.775,0.598,0.747,0.790,0.777,0.264,0.700
391,0.325,0.776,0.599,0.747,0.790,0.778,0.264,0.701
392,0.324,0.776,0.600,0.747,0.790,0.777,0.264,0.701
393,0.324,0.776,0.601,0.747,0.790,0.777,0.265,0.701
394,0.325,0.777,0.602,0.748,0.791,0.778,0.265,0.701
395,0.325,0.777,0.603,0.748,0.791,0.778,0.266,0.701
396,0.325,0.777,0.603,0.748,0.791,0.778,0.266,0.701
397,0.325,0.778,0.604,0.749,0.791,0.778,0.266,0.701
398,0.325,0.778,0.605,0.749,0.791,0.778,0.266,0.701
399,0.325,0.778,0.605,0.749,0.791,0.779,0.267,0.700
400,0.325,0.779,0.606,0.750,0.791,0.778,0.267,0.700
401,0.325,0.779,0.606,0.750,0.792,0.778,0.267,0.700
402,0.325,0.779,0.607,0.749,0.792,0.778,0.267,0.700
403,0.325,0.779,0.608,0.749,0.792,0.779,0.267,0.700
404,0.325,0.779,0.608,0.750,0.792,0.779,0.267,0.700
405,0.325,0.779,0.609,0.750,0.792,0.779,0.267,0.700
406,0.325,0.780,0.609,0.750,0.792,0.779,0.268,0.700
407,0.325,0.780,0.610,0.750,0.792,0.779,0.268,0.700
408,0.325,0.780,0.611,0.751,0.792,0.780,0.268,0.700
409,0.325,0.780,0.611,0.751,0.792,0.779,0.268,0.700
410,0.325,0.781,0.612,0.751,0.793,0.780,0.269,0.700
411,0.325,0.781,0.613,0.751,0.793,0.780,0.269,0.700
412,0.325,0.781,0.614,0.751,0.793,0.780,0.269,0.700
413,0.325,0.781,0.614,0.752,0.793,0.780,0.269,0.700
414,0.325,0.782,0.615,0.752,0.793,0.780,0.270,0.700
415,0.325,0.782,0.615,0.752,0.793,0.780,0.270,0.700
416,0.325,0.782,0.616,0.752,0.793,0.780,0.270,0.700
417,0.325,0.782,0.617,0.752,0.793,0.780,0.270,0.699
418,0.325,0.782,0.617,0.752,0.793,0.780,0.270,0.699
419,0.325,0.783,0.618,0.752,0.793,0.781,0.271,0.699
420,0.325,0.783,0.619,0.753,0.794,0.781,0.271,0.699
421,0.325,0.783,0.619,0.753,0.794,0.781,0.271,0.699
422,0.325,0.783,0.620,0.753,0.794,0.781,0.271,0.699
423,0.325,0.783,0.621,0.753,0.794,0.781,0.272,0.699
424,0.325,0.784,0.621,0.753,0.794,0.781,0.272,0.699
425,0.325,0.784,0.622,0.753,0.794,0.781,0.272,0.699
426,0.325,0.784,0.623,0.754,0.794,0.781,0.272,0.699
427,0.325,0.784,0.623,0.754,0.794,0.781,0.272,0.699
428,0.325,0.784,0.624,0.754,0.794,0.781,0.272,0.698
429,0.325,0.785,0.625,0.754,0.794,0.781,0.273,0.698
430,0.325,0.785,0.625,0.754,0.794,0.781,0.273,0.698
431,0.324,0.785,0.626,0.754,0.795,0.781,0.273,0.698
432,0.324,0.785,0.627,0.754,0.795,0.782,0.273,0.698
433,0.324,0.785,0.627,0.755,0.795,0.782,0.273,0.698
434,0.324,0.785,0.628,0.755,0.795,0.782,0.274,0.698
435,0.324,0.786,0.628,0.755,0.795,0.782,0.274,0.698
436,0.324,0.786,0.629,0.755,0.795,0.782,0.274,0.697
437,0.324,0.786,0.630,0.755,0.795,0.782,0.274,0.697
438,0.324,0.786,0.630,0.755,0.795,0.782,0.274,0.697
439,0.323,0.786,0.631,0.756,0.795,0.782,0.274,0.697
440,0.323,0.786,0.632,0.756,0.795,0.782,0.274,0.697
441,0.323,0.787,0.632,0.755,0.795,0.782,0.275,0.697
442,0.323,0.787,0.633,0.756,0.795,0.782,0.275,0.697
443,0.323,0.787,0.633,0.756,0.796,0.782,0.275,0.697
444,0.323,0.787,0.634,0.756,0.796,0.783,0.275,0.696
445,0.323,0.787,0.634,0.756,0.796,0.783,0.275,0.696
446,0.322,0.787,0.635,0.756,0.796,0.783,0.276,0.696
447,0.322,0.788,0.636,0.756,0.796,0.783,0.276,0.696
448,0.322,0.788,0.636,0.756,0.796,0.783,0.276,0.696
449,0.322,0.788,0.637,0.756,0.796,0.783,0.276,0.696
450,0.322,0.788,0.637,0.756,0.796,0.783,0.276,0.696
451,0.322,0.788,0.638,0.757,0.796,0.783,0.276,0.696
452,0.321,0.788,0.638,0.757,0.796,0.783,0.276,0.695
453,0.321,0.789,0.639,0.757,0.796,0.783,0.276,0.695
454,0.321,0.789,0.639,0.757,0.796,0.783,0.276,0.695
455,0.321,0.789,0.640,0.757,0.796,0.783,0.276,0.695
456,0.321,0.789,0.640,0.757,0.796,0.783,0.277,0.695
