Start time (UTC), 0122 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.4458
 Ship longitude, 1.53678
Position,  3,  2, 1B, 1A,  4, 5A, 5B,  6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, Ian (ASD) Melinda (notes). Some locations shif...,                                               NaN,                                shoveled snow/pond,                              level untouched snow,                               pond w/ white crack,                                    untouched snow,                                         shoveled ,                                lovely little pond
Change in incident (%),0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.359,0.375,0.542,0.781,0.425,0.748,0.722,0.505
351,0.360,0.377,0.542,0.781,0.426,0.748,0.723,0.506
352,0.361,0.378,0.543,0.781,0.427,0.749,0.723,0.506
353,0.362,0.379,0.544,0.782,0.429,0.750,0.724,0.507
354,0.363,0.380,0.543,0.782,0.429,0.751,0.724,0.508
355,0.364,0.382,0.543,0.782,0.430,0.751,0.724,0.509
356,0.364,0.383,0.544,0.782,0.431,0.752,0.725,0.510
357,0.365,0.384,0.543,0.782,0.432,0.752,0.725,0.511
358,0.366,0.385,0.544,0.782,0.432,0.753,0.726,0.512
359,0.366,0.386,0.545,0.782,0.433,0.753,0.726,0.512
360,0.367,0.386,0.545,0.783,0.435,0.754,0.727,0.513
361,0.368,0.388,0.546,0.783,0.435,0.755,0.727,0.514
362,0.368,0.389,0.545,0.783,0.436,0.755,0.728,0.515
363,0.369,0.389,0.546,0.783,0.437,0.755,0.729,0.516
364,0.370,0.389,0.547,0.783,0.437,0.756,0.729,0.517
365,0.370,0.390,0.547,0.783,0.438,0.757,0.730,0.517
366,0.371,0.391,0.547,0.783,0.439,0.758,0.730,0.518
367,0.371,0.392,0.547,0.783,0.440,0.758,0.731,0.519
368,0.372,0.393,0.547,0.783,0.440,0.758,0.732,0.520
369,0.372,0.393,0.547,0.784,0.441,0.759,0.732,0.520
370,0.372,0.394,0.548,0.784,0.441,0.760,0.732,0.521
371,0.373,0.394,0.548,0.784,0.442,0.760,0.733,0.522
372,0.373,0.395,0.548,0.784,0.443,0.760,0.733,0.523
373,0.374,0.395,0.548,0.784,0.444,0.761,0.733,0.523
374,0.374,0.396,0.548,0.784,0.445,0.762,0.733,0.524
375,0.375,0.396,0.548,0.785,0.445,0.762,0.735,0.525
376,0.375,0.396,0.549,0.785,0.446,0.763,0.736,0.526
377,0.375,0.397,0.549,0.785,0.447,0.764,0.737,0.527
378,0.376,0.397,0.549,0.785,0.448,0.764,0.737,0.528
379,0.376,0.397,0.549,0.785,0.448,0.764,0.738,0.528
380,0.377,0.398,0.549,0.785,0.449,0.765,0.738,0.529
381,0.377,0.399,0.549,0.785,0.450,0.765,0.738,0.530
382,0.377,0.399,0.549,0.785,0.451,0.766,0.739,0.530
383,0.378,0.399,0.550,0.786,0.452,0.767,0.740,0.531
384,0.378,0.400,0.549,0.786,0.452,0.768,0.740,0.532
385,0.379,0.400,0.549,0.786,0.453,0.768,0.741,0.533
386,0.379,0.400,0.550,0.786,0.455,0.769,0.742,0.534
387,0.379,0.401,0.550,0.786,0.455,0.770,0.742,0.535
388,0.380,0.401,0.550,0.786,0.456,0.770,0.743,0.536
389,0.380,0.402,0.551,0.786,0.457,0.771,0.743,0.537
390,0.379,0.402,0.551,0.786,0.457,0.771,0.744,0.538
391,0.380,0.403,0.551,0.786,0.458,0.772,0.744,0.538
392,0.381,0.403,0.551,0.787,0.459,0.772,0.745,0.538
393,0.381,0.403,0.551,0.787,0.459,0.773,0.745,0.539
394,0.381,0.403,0.551,0.787,0.460,0.773,0.746,0.540
395,0.381,0.403,0.551,0.787,0.460,0.774,0.746,0.541
396,0.381,0.403,0.551,0.787,0.461,0.775,0.747,0.541
397,0.381,0.404,0.551,0.787,0.462,0.775,0.747,0.542
398,0.381,0.403,0.551,0.787,0.462,0.775,0.747,0.542
399,0.381,0.403,0.552,0.787,0.462,0.775,0.748,0.543
400,0.381,0.403,0.551,0.787,0.463,0.776,0.748,0.543
401,0.381,0.403,0.551,0.787,0.463,0.776,0.748,0.544
402,0.381,0.403,0.551,0.787,0.464,0.776,0.748,0.545
403,0.381,0.403,0.551,0.787,0.464,0.777,0.749,0.545
404,0.381,0.403,0.551,0.787,0.465,0.777,0.749,0.545
405,0.381,0.403,0.552,0.788,0.465,0.777,0.749,0.545
406,0.381,0.403,0.551,0.787,0.466,0.778,0.749,0.546
407,0.381,0.403,0.551,0.787,0.466,0.778,0.750,0.546
408,0.381,0.403,0.551,0.787,0.467,0.778,0.750,0.547
409,0.381,0.403,0.551,0.787,0.467,0.779,0.750,0.547
410,0.382,0.403,0.551,0.788,0.467,0.779,0.751,0.548
411,0.381,0.403,0.551,0.788,0.468,0.779,0.751,0.548
412,0.382,0.403,0.551,0.788,0.468,0.779,0.751,0.549
413,0.382,0.403,0.551,0.788,0.469,0.780,0.752,0.549
414,0.382,0.403,0.551,0.788,0.469,0.780,0.752,0.550
415,0.382,0.403,0.551,0.788,0.469,0.780,0.752,0.550
416,0.382,0.403,0.551,0.788,0.470,0.781,0.753,0.551
417,0.382,0.403,0.551,0.788,0.470,0.781,0.753,0.551
418,0.382,0.403,0.551,0.788,0.471,0.781,0.753,0.551
419,0.382,0.404,0.551,0.788,0.471,0.782,0.754,0.552
420,0.382,0.404,0.552,0.788,0.472,0.782,0.754,0.552
421,0.382,0.404,0.552,0.788,0.472,0.782,0.754,0.553
422,0.382,0.404,0.552,0.788,0.473,0.783,0.754,0.553
423,0.383,0.404,0.552,0.788,0.473,0.783,0.755,0.554
424,0.383,0.404,0.552,0.788,0.474,0.783,0.755,0.554
425,0.383,0.404,0.552,0.788,0.474,0.784,0.755,0.555
426,0.383,0.404,0.552,0.789,0.475,0.784,0.756,0.555
427,0.383,0.404,0.552,0.789,0.475,0.784,0.756,0.556
428,0.383,0.404,0.552,0.789,0.476,0.785,0.756,0.556
429,0.383,0.404,0.552,0.789,0.476,0.785,0.757,0.557
430,0.383,0.404,0.552,0.789,0.477,0.785,0.757,0.557
431,0.383,0.405,0.552,0.789,0.477,0.786,0.757,0.558
432,0.383,0.405,0.552,0.789,0.478,0.786,0.758,0.558
433,0.383,0.404,0.552,0.789,0.478,0.786,0.758,0.559
434,0.383,0.404,0.552,0.789,0.478,0.787,0.758,0.559
435,0.383,0.405,0.552,0.789,0.479,0.787,0.758,0.559
436,0.383,0.405,0.552,0.789,0.479,0.787,0.759,0.560
437,0.383,0.405,0.552,0.789,0.479,0.787,0.759,0.560
438,0.383,0.405,0.552,0.789,0.480,0.788,0.759,0.561
439,0.384,0.405,0.552,0.789,0.480,0.788,0.759,0.561
440,0.384,0.406,0.552,0.789,0.481,0.788,0.760,0.561
441,0.384,0.406,0.552,0.789,0.481,0.788,0.760,0.562
442,0.384,0.406,0.553,0.789,0.481,0.789,0.760,0.562
443,0.385,0.407,0.553,0.789,0.482,0.789,0.760,0.562
444,0.385,0.407,0.553,0.789,0.482,0.789,0.761,0.563
445,0.385,0.407,0.553,0.790,0.482,0.790,0.761,0.563
446,0.385,0.408,0.553,0.789,0.483,0.790,0.761,0.563
447,0.385,0.408,0.553,0.790,0.483,0.790,0.761,0.564
448,0.386,0.408,0.553,0.790,0.483,0.790,0.761,0.564
449,0.386,0.409,0.553,0.790,0.484,0.790,0.762,0.564
450,0.386,0.409,0.553,0.790,0.484,0.790,0.762,0.565
451,0.386,0.409,0.553,0.790,0.484,0.791,0.762,0.565
452,0.386,0.409,0.553,0.790,0.484,0.791,0.762,0.565
453,0.386,0.409,0.553,0.790,0.485,0.791,0.762,0.565
454,0.386,0.410,0.553,0.790,0.485,0.791,0.763,0.566
455,0.386,0.410,0.553,0.790,0.485,0.791,0.763,0.566
456,0.386,0.410,0.553,0.790,0.486,0.792,0.763,0.566
