Start time (UTC), 0158 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.44577
 Ship longitude, 1.35814
Position, 1, 2, 3, 4, 5
Surface type,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN
Notes, Ian (ASD) Melinda (notes). Some locations shif...,                                               NaN,                                               NaN,                                               NaN,     Battery died partway through next measurement
Change in incident (%),0.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
350,0.363,0.771,0.543,0.730,0.788,
351,0.363,0.771,0.544,0.731,0.789,
352,0.364,0.772,0.545,0.732,0.790,
353,0.364,0.772,0.546,0.731,0.790,
354,0.365,0.772,0.546,0.733,0.791,
355,0.366,0.773,0.547,0.733,0.790,
356,0.366,0.773,0.548,0.733,0.790,
357,0.366,0.773,0.548,0.734,0.791,
358,0.367,0.774,0.549,0.734,0.791,
359,0.368,0.774,0.550,0.735,0.792,
360,0.368,0.775,0.550,0.735,0.792,
361,0.369,0.775,0.551,0.736,0.792,
362,0.369,0.775,0.551,0.736,0.793,
363,0.370,0.775,0.552,0.737,0.793,
364,0.370,0.776,0.553,0.737,0.793,
365,0.370,0.776,0.554,0.738,0.794,
366,0.371,0.776,0.554,0.738,0.794,
367,0.372,0.776,0.555,0.739,0.794,
368,0.372,0.777,0.555,0.739,0.795,
369,0.373,0.777,0.556,0.739,0.795,
370,0.373,0.777,0.557,0.739,0.795,
371,0.373,0.777,0.558,0.740,0.795,
372,0.374,0.777,0.558,0.740,0.796,
373,0.374,0.777,0.559,0.741,0.797,
374,0.375,0.778,0.560,0.742,0.797,
375,0.375,0.778,0.561,0.742,0.797,
376,0.376,0.778,0.561,0.743,0.797,
377,0.377,0.778,0.562,0.743,0.798,
378,0.377,0.779,0.563,0.744,0.798,
379,0.377,0.779,0.564,0.744,0.798,
380,0.378,0.780,0.564,0.745,0.799,
381,0.379,0.780,0.565,0.745,0.799,
382,0.379,0.780,0.566,0.746,0.799,
383,0.379,0.781,0.567,0.747,0.799,
384,0.380,0.781,0.567,0.748,0.800,
385,0.380,0.781,0.568,0.748,0.800,
386,0.381,0.781,0.569,0.748,0.801,
387,0.381,0.782,0.570,0.749,0.801,
388,0.382,0.782,0.570,0.750,0.801,
389,0.383,0.782,0.571,0.750,0.802,
390,0.383,0.782,0.572,0.750,0.802,
391,0.383,0.783,0.573,0.751,0.802,
392,0.383,0.783,0.574,0.752,0.803,
393,0.384,0.783,0.574,0.752,0.803,
394,0.384,0.783,0.575,0.752,0.802,
395,0.384,0.784,0.575,0.753,0.803,
396,0.385,0.784,0.576,0.753,0.803,
397,0.385,0.784,0.576,0.753,0.804,
398,0.385,0.784,0.577,0.753,0.804,
399,0.385,0.784,0.577,0.754,0.804,
400,0.386,0.784,0.578,0.755,0.804,
401,0.386,0.784,0.579,0.755,0.804,
402,0.386,0.785,0.579,0.755,0.804,
403,0.386,0.785,0.579,0.755,0.804,
404,0.386,0.785,0.580,0.756,0.805,
405,0.386,0.785,0.580,0.756,0.805,
406,0.387,0.785,0.581,0.756,0.805,
407,0.387,0.786,0.581,0.757,0.805,
408,0.387,0.786,0.582,0.757,0.805,
409,0.387,0.786,0.582,0.757,0.806,
410,0.388,0.786,0.583,0.758,0.806,
411,0.388,0.786,0.583,0.758,0.806,
412,0.388,0.786,0.583,0.758,0.806,
413,0.388,0.786,0.584,0.759,0.806,
414,0.388,0.787,0.584,0.759,0.807,
415,0.389,0.787,0.585,0.759,0.807,
416,0.389,0.787,0.585,0.759,0.807,
417,0.389,0.787,0.586,0.760,0.807,
418,0.389,0.787,0.586,0.760,0.807,
419,0.389,0.787,0.587,0.760,0.807,
420,0.390,0.787,0.587,0.761,0.807,
421,0.390,0.788,0.587,0.761,0.808,
422,0.390,0.788,0.588,0.761,0.808,
423,0.390,0.787,0.588,0.762,0.808,
424,0.390,0.788,0.589,0.762,0.808,
425,0.390,0.788,0.589,0.762,0.808,
426,0.391,0.788,0.590,0.762,0.808,
427,0.391,0.788,0.590,0.763,0.808,
428,0.391,0.788,0.591,0.763,0.809,
429,0.391,0.788,0.591,0.763,0.809,
430,0.391,0.789,0.591,0.764,0.809,
431,0.391,0.789,0.592,0.764,0.809,
432,0.391,0.789,0.592,0.764,0.809,
433,0.391,0.789,0.593,0.764,0.809,
434,0.391,0.789,0.593,0.765,0.809,
435,0.391,0.789,0.593,0.765,0.810,
436,0.391,0.789,0.594,0.765,0.810,
437,0.391,0.789,0.594,0.765,0.810,
438,0.392,0.789,0.595,0.766,0.810,
439,0.392,0.789,0.595,0.766,0.810,
440,0.392,0.790,0.596,0.766,0.810,
441,0.392,0.790,0.596,0.766,0.810,
442,0.392,0.790,0.596,0.767,0.810,
443,0.392,0.790,0.597,0.767,0.811,
444,0.392,0.790,0.597,0.767,0.811,
445,0.392,0.790,0.597,0.767,0.811,
446,0.392,0.790,0.598,0.767,0.811,
447,0.392,0.790,0.598,0.768,0.811,
448,0.392,0.790,0.598,0.768,0.811,
449,0.392,0.790,0.599,0.768,0.811,
450,0.392,0.790,0.599,0.768,0.811,
451,0.392,0.790,0.599,0.768,0.811,
452,0.392,0.790,0.600,0.769,0.811,
453,0.392,0.790,0.600,0.769,0.812,
454,0.392,0.791,0.600,0.769,0.812,
455,0.392,0.791,0.601,0.769,0.812,
456,0.392,0.791,0.601,0.769,0.812,
457,0.392,0.791,0.601,0.769,0.812,
458,0.392,0.791,0.601,0.770,0.812,
459,0.392,0.791,0.602,0.770,0.812,
