Start time (UTC), 0720 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.45948
 Ship longitude, 1.74546
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 96.0,  NaN,  NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,                   NaN,                   NaN, windy - small ripples,        medium ripples,         small ripples,                   NaN,                   NaN,         small ripples,                   NaN
Change in incident (%),0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
350,0.747,0.483,0.365,0.362,0.430,0.731,0.696,0.515,0.714
351,0.748,0.484,0.366,0.363,0.432,0.732,0.696,0.517,0.715
352,0.749,0.485,0.367,0.364,0.433,0.733,0.697,0.518,0.715
353,0.748,0.485,0.369,0.366,0.434,0.733,0.698,0.519,0.715
354,0.748,0.485,0.371,0.366,0.435,0.733,0.698,0.519,0.716
355,0.749,0.486,0.372,0.367,0.436,0.735,0.699,0.521,0.716
356,0.750,0.487,0.373,0.368,0.437,0.736,0.700,0.522,0.717
357,0.750,0.487,0.374,0.369,0.437,0.737,0.700,0.522,0.717
358,0.749,0.487,0.375,0.370,0.438,0.737,0.701,0.524,0.717
359,0.749,0.488,0.376,0.370,0.439,0.737,0.702,0.525,0.718
360,0.750,0.488,0.377,0.371,0.440,0.739,0.702,0.525,0.718
361,0.750,0.488,0.378,0.372,0.441,0.739,0.703,0.526,0.719
362,0.750,0.489,0.379,0.373,0.441,0.740,0.703,0.527,0.719
363,0.750,0.489,0.379,0.373,0.442,0.740,0.703,0.528,0.719
364,0.751,0.489,0.380,0.374,0.443,0.740,0.704,0.528,0.720
365,0.750,0.489,0.381,0.374,0.444,0.742,0.705,0.530,0.720
366,0.751,0.490,0.382,0.375,0.445,0.742,0.706,0.531,0.721
367,0.751,0.491,0.382,0.375,0.445,0.742,0.706,0.532,0.721
368,0.751,0.491,0.383,0.376,0.446,0.744,0.707,0.532,0.721
369,0.751,0.491,0.384,0.376,0.446,0.744,0.707,0.532,0.721
370,0.751,0.491,0.383,0.376,0.446,0.744,0.708,0.533,0.722
371,0.751,0.491,0.384,0.377,0.448,0.745,0.709,0.535,0.723
372,0.752,0.491,0.385,0.378,0.448,0.746,0.709,0.536,0.723
373,0.752,0.491,0.385,0.378,0.449,0.746,0.710,0.537,0.724
374,0.753,0.492,0.386,0.379,0.450,0.747,0.711,0.537,0.724
375,0.753,0.492,0.387,0.379,0.451,0.748,0.711,0.537,0.725
376,0.752,0.492,0.387,0.380,0.452,0.749,0.712,0.539,0.725
377,0.752,0.492,0.387,0.380,0.453,0.749,0.712,0.540,0.725
378,0.753,0.493,0.387,0.380,0.453,0.749,0.713,0.540,0.726
379,0.753,0.493,0.387,0.380,0.454,0.751,0.715,0.542,0.726
380,0.753,0.493,0.388,0.381,0.454,0.751,0.715,0.543,0.726
381,0.753,0.493,0.389,0.381,0.455,0.752,0.716,0.544,0.727
382,0.753,0.493,0.389,0.382,0.456,0.753,0.716,0.544,0.728
383,0.754,0.494,0.389,0.382,0.456,0.754,0.716,0.545,0.728
384,0.754,0.494,0.389,0.382,0.457,0.755,0.718,0.546,0.729
385,0.754,0.494,0.390,0.383,0.458,0.755,0.718,0.547,0.729
386,0.754,0.494,0.391,0.383,0.459,0.756,0.719,0.548,0.729
387,0.755,0.494,0.391,0.384,0.459,0.756,0.720,0.549,0.730
388,0.755,0.495,0.392,0.384,0.461,0.757,0.720,0.550,0.731
389,0.755,0.495,0.392,0.384,0.462,0.758,0.721,0.550,0.731
390,0.755,0.495,0.393,0.385,0.461,0.758,0.721,0.551,0.731
391,0.756,0.495,0.392,0.385,0.462,0.759,0.722,0.551,0.732
