Start time (UTC), 1012 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.44935
 Ship longitude, 1.63279
Position, 1, 2, 3, 4, 5, 6, 7, 8
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Change in incident (%),0.0, 0.0, 0.0, 20.0, 30.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.319,0.759,0.542,0.731,0.779,0.757,0.250,0.683
351,0.320,0.759,0.543,0.732,0.779,0.757,0.251,0.683
352,0.321,0.759,0.544,0.732,0.780,0.757,0.252,0.683
353,0.321,0.760,0.545,0.733,0.780,0.757,0.253,0.684
354,0.321,0.760,0.546,0.733,0.780,0.757,0.253,0.683
355,0.322,0.760,0.546,0.734,0.781,0.758,0.254,0.684
356,0.323,0.760,0.547,0.734,0.781,0.758,0.255,0.684
357,0.324,0.761,0.547,0.734,0.781,0.757,0.256,0.684
358,0.324,0.761,0.548,0.735,0.781,0.758,0.256,0.685
359,0.324,0.761,0.549,0.736,0.781,0.758,0.257,0.685
360,0.325,0.762,0.550,0.736,0.781,0.758,0.258,0.685
361,0.326,0.762,0.550,0.737,0.782,0.759,0.258,0.685
362,0.326,0.762,0.551,0.737,0.782,0.759,0.259,0.685
363,0.326,0.762,0.552,0.738,0.782,0.758,0.260,0.686
364,0.327,0.762,0.552,0.738,0.782,0.758,0.260,0.686
365,0.327,0.763,0.553,0.739,0.783,0.759,0.261,0.686
366,0.328,0.763,0.554,0.739,0.783,0.759,0.261,0.686
367,0.328,0.763,0.554,0.739,0.783,0.759,0.262,0.687
368,0.329,0.763,0.555,0.740,0.783,0.759,0.263,0.687
369,0.329,0.763,0.555,0.740,0.784,0.760,0.263,0.687
370,0.329,0.763,0.556,0.740,0.784,0.760,0.264,0.688
371,0.329,0.764,0.557,0.741,0.784,0.759,0.264,0.688
372,0.330,0.764,0.558,0.742,0.784,0.760,0.265,0.688
373,0.331,0.764,0.559,0.742,0.784,0.760,0.265,0.688
374,0.331,0.764,0.559,0.742,0.784,0.759,0.266,0.688
375,0.332,0.765,0.560,0.743,0.785,0.759,0.267,0.689
376,0.332,0.765,0.561,0.744,0.785,0.760,0.267,0.689
377,0.333,0.765,0.562,0.744,0.785,0.760,0.268,0.689
378,0.333,0.766,0.563,0.745,0.786,0.760,0.269,0.689
379,0.334,0.766,0.563,0.745,0.786,0.760,0.270,0.690
380,0.334,0.766,0.564,0.746,0.786,0.760,0.270,0.690
381,0.335,0.766,0.565,0.746,0.786,0.760,0.271,0.690
382,0.336,0.767,0.566,0.747,0.786,0.760,0.272,0.690
383,0.336,0.767,0.567,0.748,0.787,0.760,0.272,0.691
384,0.337,0.767,0.567,0.748,0.787,0.760,0.273,0.691
385,0.337,0.768,0.568,0.748,0.787,0.760,0.274,0.692
386,0.338,0.768,0.569,0.749,0.787,0.760,0.274,0.692
387,0.338,0.768,0.570,0.750,0.788,0.761,0.275,0.692
388,0.339,0.768,0.570,0.750,0.788,0.761,0.276,0.692
389,0.339,0.768,0.571,0.751,0.788,0.761,0.276,0.692
390,0.339,0.769,0.572,0.751,0.788,0.761,0.277,0.692
391,0.340,0.769,0.573,0.751,0.788,0.761,0.277,0.693
392,0.340,0.769,0.573,0.752,0.788,0.761,0.278,0.693
393,0.340,0.769,0.574,0.752,0.788,0.761,0.278,0.693
394,0.340,0.769,0.575,0.752,0.789,0.761,0.278,0.693
395,0.341,0.769,0.575,0.753,0.789,0.761,0.279,0.693
396,0.341,0.769,0.576,0.753,0.789,0.761,0.279,0.693
397,0.341,0.770,0.577,0.754,0.789,0.761,0.279,0.693
398,0.342,0.770,0.577,0.754,0.789,0.761,0.280,0.694
399,0.342,0.770,0.578,0.754,0.789,0.761,0.280,0.694
400,0.342,0.770,0.578,0.754,0.789,0.761,0.281,0.694
401,0.342,0.770,0.578,0.755,0.789,0.761,0.281,0.694
402,0.342,0.770,0.579,0.755,0.789,0.761,0.281,0.694
403,0.342,0.770,0.579,0.755,0.789,0.761,0.281,0.694
404,0.342,0.770,0.580,0.756,0.790,0.761,0.281,0.694
405,0.342,0.770,0.580,0.756,0.790,0.761,0.282,0.694
406,0.343,0.770,0.581,0.756,0.790,0.761,0.282,0.694
407,0.343,0.770,0.581,0.757,0.790,0.761,0.282,0.694
408,0.343,0.771,0.581,0.757,0.790,0.761,0.283,0.694
409,0.343,0.771,0.582,0.757,0.790,0.761,0.283,0.695
410,0.344,0.771,0.582,0.757,0.790,0.761,0.283,0.695
411,0.344,0.771,0.583,0.758,0.790,0.761,0.283,0.695
412,0.344,0.771,0.583,0.758,0.790,0.761,0.284,0.695
413,0.344,0.771,0.584,0.758,0.790,0.761,0.284,0.695
414,0.344,0.771,0.584,0.758,0.790,0.761,0.284,0.695
415,0.344,0.771,0.585,0.759,0.790,0.761,0.285,0.695
416,0.345,0.771,0.585,0.759,0.790,0.761,0.285,0.695
417,0.345,0.771,0.585,0.759,0.790,0.761,0.285,0.695
418,0.345,0.771,0.586,0.759,0.790,0.761,0.285,0.695
419,0.345,0.772,0.586,0.760,0.791,0.761,0.286,0.695
420,0.345,0.771,0.587,0.760,0.790,0.761,0.286,0.695
421,0.345,0.772,0.587,0.760,0.791,0.761,0.286,0.695
422,0.346,0.772,0.588,0.761,0.791,0.761,0.287,0.695
423,0.346,0.772,0.588,0.761,0.791,0.761,0.287,0.695
424,0.346,0.772,0.588,0.761,0.791,0.761,0.287,0.695
425,0.346,0.772,0.589,0.761,0.791,0.761,0.287,0.696
426,0.346,0.772,0.589,0.761,0.791,0.761,0.288,0.696
427,0.346,0.772,0.590,0.762,0.791,0.761,0.288,0.696
428,0.346,0.772,0.590,0.762,0.791,0.761,0.288,0.696
429,0.346,0.772,0.591,0.762,0.791,0.761,0.288,0.696
430,0.346,0.772,0.591,0.762,0.791,0.761,0.289,0.696
431,0.347,0.772,0.592,0.763,0.791,0.761,0.289,0.696
432,0.347,0.772,0.592,0.763,0.791,0.761,0.289,0.696
433,0.347,0.772,0.593,0.763,0.791,0.761,0.289,0.696
434,0.347,0.772,0.593,0.763,0.791,0.761,0.290,0.696
435,0.347,0.772,0.593,0.764,0.791,0.761,0.290,0.696
436,0.347,0.773,0.594,0.764,0.791,0.761,0.290,0.696
437,0.347,0.773,0.594,0.764,0.791,0.760,0.290,0.696
438,0.347,0.773,0.595,0.764,0.791,0.760,0.291,0.696
439,0.347,0.773,0.595,0.764,0.791,0.760,0.291,0.696
440,0.347,0.773,0.596,0.765,0.791,0.760,0.291,0.696
441,0.347,0.773,0.596,0.765,0.792,0.760,0.291,0.696
442,0.347,0.773,0.596,0.765,0.792,0.760,0.292,0.696
443,0.347,0.773,0.597,0.765,0.792,0.760,0.292,0.696
444,0.347,0.773,0.597,0.766,0.792,0.760,0.292,0.696
445,0.347,0.773,0.597,0.766,0.792,0.760,0.292,0.696
446,0.347,0.773,0.598,0.766,0.792,0.760,0.293,0.696
447,0.347,0.773,0.598,0.766,0.792,0.760,0.293,0.696
448,0.347,0.773,0.598,0.766,0.792,0.760,0.293,0.696
449,0.347,0.773,0.599,0.767,0.792,0.760,0.293,0.696
450,0.347,0.773,0.599,0.767,0.792,0.760,0.293,0.696
451,0.347,0.773,0.599,0.767,0.792,0.760,0.293,0.696
452,0.347,0.773,0.600,0.767,0.792,0.760,0.294,0.696
453,0.347,0.773,0.600,0.767,0.792,0.760,0.294,0.696
454,0.347,0.773,0.600,0.767,0.792,0.760,0.294,0.696
455,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.696
456,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.697
457,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.696
458,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.696
