Start time (UTC), 1205 
 Sky conditions, CO-SDV 
 Other notes, Surface appeared more white refrozen & drained than previous visit. Maddie (ASD) Amy (Kipps (LDL only) & photos/notes). Snow transect w/ measurements ~ every 20 m on LDL.  
 Ship latitude, 81.41587
 Ship longitude, 0.2988
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200
Surface type,   S,   S,   S,   S,   S,   S,   P,   S,   S,   S,   S,   S,   S,   S,   S,   S,   S,   P, P/S, P/S,   S, S/P,   S,   S,   S,   S,   P,   P,   S,   P,   P,   S,   S,   S,   P,   P,   S,   S,   S,   S,   S
Surface thickness (cm),                 5.5,                 4.5,                 4.5,                   5,                   5,                   5,                  25,                  10,                   9,                 6.5,                   6,                 3.5,                 3.5,                   5,                   3,                   4,                 2.5,                   7,                   6, 2020-02-03 00:00:00,                   4, 2020-03-01 00:00:00,                   4,                   8,                   5,                   8,                  10,                  15,                   5,                 1.5,                   5,                 4.5,                   3,                   5,                 5.5,                 8.5,                   4,                   6,                   5,                   4,                   4
Notes,                   NaN,                   NaN,                   NaN,             pond edge,              sediment,                blocks,             pond edge,                   NaN,                   NaN,                   NaN,             pond edge,              pond edg,                   NaN,                   NaN,                   NaN,                   NaN,                   NaN,           frozen pond,              pond/ice,              pond/ice,                   NaN, pond edge - pond 1 cm,            dirty snow,                   NaN,                   NaN,            dirty hole,                   NaN,          pond 8-18 cm,                 ridge,                  dark,                 light,                   NaN,              pond/ice,                   NaN,                   NaN,                   NaN,                 ridge,                   NaN,                   NaN,                   NaN,                   NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29,Albedo30,Albedo31,Albedo32,Albedo33,Albedo34,Albedo35,Albedo36,Albedo37,Albedo38,Albedo39,Albedo40
350,0.768,0.764,0.724,0.641,0.689,0.531,0.544,0.771,0.759,0.728,0.665,0.663,0.707,0.758,0.589,0.751,0.731,0.346,0.417,0.418,0.684,0.640,0.704,0.736,0.737,0.686,0.680,0.437,0.785,0.321,0.488,0.765,0.549,0.755,0.738,0.257,0.801,0.814,0.799,0.804,0.783
351,0.768,0.764,0.725,0.642,0.690,0.532,0.545,0.772,0.759,0.728,0.666,0.664,0.707,0.758,0.590,0.751,0.731,0.346,0.418,0.419,0.685,0.640,0.703,0.737,0.738,0.687,0.680,0.438,0.785,0.321,0.489,0.766,0.549,0.755,0.738,0.257,0.802,0.814,0.800,0.804,0.783
352,0.768,0.764,0.725,0.642,0.690,0.533,0.546,0.772,0.759,0.729,0.667,0.665,0.707,0.758,0.590,0.751,0.731,0.346,0.418,0.419,0.685,0.641,0.703,0.737,0.739,0.687,0.681,0.439,0.785,0.322,0.490,0.766,0.549,0.755,0.738,0.257,0.802,0.814,0.799,0.804,0.783
353,0.769,0.764,0.725,0.643,0.691,0.534,0.546,0.772,0.759,0.729,0.668,0.666,0.708,0.759,0.590,0.752,0.731,0.347,0.418,0.419,0.686,0.641,0.704,0.737,0.739,0.688,0.682,0.440,0.785,0.322,0.490,0.765,0.549,0.755,0.739,0.258,0.802,0.814,0.799,0.804,0.783
354,0.769,0.765,0.726,0.644,0.692,0.534,0.548,0.773,0.760,0.729,0.670,0.667,0.709,0.760,0.591,0.752,0.731,0.347,0.418,0.419,0.686,0.642,0.704,0.738,0.740,0.689,0.682,0.441,0.785,0.322,0.490,0.765,0.549,0.755,0.739,0.258,0.802,0.814,0.800,0.804,0.783
355,0.770,0.765,0.726,0.644,0.693,0.535,0.548,0.773,0.760,0.730,0.671,0.668,0.709,0.760,0.591,0.752,0.731,0.347,0.419,0.419,0.686,0.642,0.705,0.739,0.741,0.689,0.682,0.441,0.785,0.323,0.491,0.765,0.549,0.755,0.739,0.258,0.803,0.814,0.800,0.804,0.783
356,0.770,0.765,0.727,0.645,0.693,0.536,0.549,0.773,0.761,0.731,0.672,0.669,0.710,0.761,0.592,0.752,0.732,0.347,0.419,0.419,0.687,0.643,0.705,0.739,0.742,0.690,0.683,0.442,0.785,0.323,0.492,0.766,0.550,0.755,0.739,0.259,0.803,0.815,0.800,0.804,0.784
357,0.771,0.766,0.728,0.646,0.693,0.537,0.550,0.774,0.761,0.731,0.673,0.671,0.710,0.762,0.592,0.752,0.732,0.348,0.419,0.420,0.687,0.643,0.705,0.740,0.742,0.690,0.684,0.443,0.785,0.324,0.492,0.766,0.550,0.755,0.739,0.259,0.803,0.815,0.800,0.804,0.784
358,0.771,0.766,0.728,0.646,0.694,0.538,0.551,0.774,0.761,0.731,0.674,0.672,0.711,0.762,0.593,0.753,0.731,0.348,0.419,0.420,0.688,0.643,0.705,0.740,0.743,0.691,0.684,0.444,0.786,0.324,0.492,0.766,0.550,0.755,0.739,0.260,0.804,0.815,0.800,0.805,0.784
359,0.771,0.766,0.729,0.647,0.695,0.539,0.552,0.774,0.762,0.732,0.675,0.672,0.711,0.763,0.593,0.753,0.731,0.348,0.419,0.420,0.688,0.644,0.706,0.741,0.744,0.692,0.684,0.445,0.786,0.324,0.493,0.766,0.550,0.755,0.739,0.260,0.804,0.815,0.801,0.805,0.784
360,0.772,0.767,0.729,0.648,0.695,0.540,0.552,0.775,0.762,0.732,0.676,0.673,0.712,0.763,0.594,0.753,0.732,0.348,0.420,0.420,0.689,0.645,0.705,0.741,0.744,0.692,0.685,0.446,0.786,0.324,0.493,0.766,0.550,0.755,0.739,0.260,0.804,0.815,0.801,0.805,0.784
361,0.772,0.767,0.730,0.649,0.696,0.541,0.553,0.775,0.762,0.733,0.677,0.674,0.712,0.764,0.594,0.753,0.732,0.348,0.420,0.420,0.689,0.645,0.706,0.741,0.745,0.692,0.686,0.447,0.786,0.324,0.494,0.766,0.550,0.755,0.740,0.260,0.804,0.815,0.801,0.805,0.784
362,0.772,0.767,0.730,0.649,0.696,0.541,0.554,0.775,0.763,0.733,0.678,0.675,0.712,0.764,0.595,0.753,0.732,0.348,0.420,0.421,0.689,0.645,0.706,0.742,0.746,0.693,0.686,0.448,0.786,0.324,0.494,0.766,0.550,0.755,0.740,0.261,0.804,0.815,0.801,0.805,0.784
363,0.772,0.768,0.731,0.650,0.697,0.542,0.555,0.776,0.763,0.733,0.679,0.676,0.713,0.765,0.595,0.753,0.732,0.349,0.420,0.421,0.689,0.646,0.706,0.742,0.746,0.694,0.687,0.448,0.787,0.325,0.494,0.766,0.550,0.755,0.740,0.261,0.804,0.816,0.801,0.805,0.784
364,0.772,0.768,0.731,0.650,0.697,0.543,0.555,0.776,0.763,0.733,0.680,0.677,0.714,0.765,0.595,0.753,0.732,0.349,0.420,0.421,0.689,0.646,0.707,0.743,0.747,0.694,0.687,0.449,0.787,0.325,0.495,0.766,0.550,0.755,0.740,0.261,0.804,0.816,0.801,0.805,0.785
