Start time (UTC), 1000 
 Sky conditions, CO, solar disk barely visible 
 Other notes, Maddie (ASD & Kipps) Ian (notes/depths/photos) and GEM survey. GEM times: 0-100 m 10:19-10:35. 105-145 10:40-10:46. ROV optics completed later in day.  
 Ship latitude, 81.38427
 Ship longitude, 0.2543
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145
Surface type, S, S, S, S, S, P, S, S, S, S, P, S, S, S, S, P, S, S, S, S, S, S, S, S, S, P, S, S, S, S
Surface thickness (cm),  7,  2,  5,  3,  4, 11,  3,  4,  5,  7,  9,  2,  5,  5,  9, 14,  3,  3,  7,  6,  6,  3,  4,  3,  9,  9, 15,  5,  4, 10
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29
350,0.646,0.485,0.713,0.751,0.635,0.250,0.714,0.659,0.709,0.596,0.314,0.677,0.725,0.478,0.445,0.310,0.509,0.369,0.423,0.733,0.759,0.457,0.643,0.475,0.584,0.241,0.575,0.751,0.756,0.776
351,0.646,0.486,0.714,0.751,0.636,0.250,0.715,0.660,0.709,0.597,0.315,0.678,0.725,0.478,0.447,0.311,0.510,0.369,0.423,0.734,0.760,0.458,0.643,0.476,0.584,0.242,0.576,0.752,0.757,0.777
352,0.646,0.487,0.714,0.751,0.637,0.251,0.715,0.660,0.709,0.597,0.315,0.678,0.726,0.479,0.448,0.311,0.511,0.371,0.424,0.734,0.761,0.458,0.644,0.477,0.585,0.242,0.577,0.752,0.757,0.778
353,0.647,0.487,0.713,0.751,0.637,0.253,0.715,0.661,0.709,0.598,0.316,0.679,0.726,0.479,0.448,0.313,0.512,0.372,0.425,0.734,0.760,0.458,0.644,0.478,0.585,0.243,0.578,0.752,0.757,0.778
354,0.648,0.488,0.714,0.751,0.637,0.253,0.715,0.661,0.709,0.598,0.316,0.679,0.726,0.480,0.448,0.314,0.513,0.372,0.425,0.734,0.760,0.459,0.645,0.478,0.585,0.243,0.579,0.752,0.757,0.779
355,0.648,0.488,0.715,0.751,0.638,0.254,0.715,0.662,0.710,0.599,0.317,0.679,0.726,0.480,0.449,0.314,0.513,0.373,0.425,0.734,0.761,0.460,0.645,0.479,0.585,0.244,0.580,0.752,0.757,0.779
356,0.648,0.489,0.715,0.752,0.638,0.255,0.716,0.662,0.711,0.600,0.318,0.680,0.727,0.480,0.449,0.315,0.515,0.374,0.426,0.735,0.761,0.461,0.645,0.480,0.586,0.245,0.580,0.753,0.757,0.780
357,0.649,0.489,0.715,0.752,0.638,0.255,0.716,0.662,0.710,0.600,0.318,0.679,0.727,0.481,0.450,0.316,0.516,0.374,0.426,0.735,0.762,0.461,0.646,0.480,0.586,0.245,0.581,0.754,0.758,0.780
358,0.649,0.489,0.715,0.751,0.639,0.256,0.717,0.663,0.710,0.601,0.319,0.680,0.727,0.481,0.451,0.317,0.516,0.375,0.426,0.735,0.762,0.462,0.646,0.481,0.587,0.246,0.582,0.754,0.758,0.781
359,0.650,0.490,0.715,0.752,0.640,0.257,0.717,0.663,0.711,0.602,0.320,0.680,0.727,0.482,0.452,0.317,0.517,0.376,0.427,0.735,0.762,0.463,0.647,0.482,0.587,0.246,0.582,0.754,0.758,0.782
360,0.650,0.490,0.715,0.752,0.640,0.258,0.717,0.663,0.711,0.602,0.320,0.681,0.727,0.482,0.452,0.318,0.518,0.377,0.428,0.735,0.762,0.463,0.647,0.483,0.587,0.247,0.583,0.754,0.759,0.782
361,0.650,0.491,0.716,0.752,0.640,0.259,0.717,0.664,0.711,0.603,0.320,0.681,0.728,0.482,0.453,0.318,0.519,0.378,0.428,0.736,0.763,0.464,0.648,0.484,0.587,0.247,0.584,0.754,0.759,0.783
362,0.651,0.491,0.716,0.752,0.641,0.260,0.717,0.664,0.712,0.604,0.321,0.681,0.728,0.483,0.454,0.319,0.520,0.378,0.429,0.736,0.763,0.465,0.648,0.485,0.588,0.248,0.584,0.755,0.759,0.784
363,0.651,0.491,0.716,0.752,0.641,0.260,0.718,0.665,0.712,0.604,0.322,0.682,0.728,0.483,0.454,0.320,0.520,0.379,0.429,0.736,0.763,0.466,0.648,0.486,0.588,0.248,0.585,0.755,0.758,0.784
364,0.651,0.492,0.716,0.752,0.641,0.260,0.718,0.665,0.712,0.605,0.322,0.682,0.729,0.483,0.455,0.321,0.521,0.380,0.429,0.736,0.763,0.466,0.649,0.487,0.588,0.249,0.585,0.755,0.759,0.785
365,0.652,0.492,0.717,0.752,0.641,0.261,0.718,0.665,0.713,0.605,0.322,0.682,0.728,0.483,0.455,0.321,0.521,0.380,0.430,0.736,0.763,0.467,0.649,0.487,0.588,0.249,0.586,0.756,0.759,0.785
366,0.653,0.492,0.717,0.753,0.642,0.261,0.718,0.666,0.713,0.606,0.323,0.682,0.729,0.484,0.456,0.322,0.522,0.381,0.430,0.737,0.764,0.467,0.649,0.488,0.588,0.250,0.587,0.756,0.760,0.786
367,0.653,0.492,0.717,0.753,0.642,0.262,0.718,0.666,0.713,0.606,0.323,0.682,0.729,0.485,0.456,0.322,0.523,0.381,0.430,0.737,0.764,0.468,0.650,0.488,0.588,0.250,0.587,0.756,0.760,0.786
368,0.653,0.493,0.717,0.753,0.642,0.262,0.719,0.666,0.713,0.607,0.324,0.682,0.729,0.485,0.457,0.323,0.524,0.382,0.430,0.737,0.764,0.468,0.650,0.489,0.588,0.251,0.588,0.757,0.760,0.787
369,0.653,0.493,0.717,0.753,0.643,0.263,0.719,0.667,0.713,0.608,0.324,0.683,0.729,0.485,0.457,0.323,0.524,0.383,0.431,0.737,0.764,0.469,0.650,0.490,0.589,0.251,0.589,0.756,0.760,0.787
370,0.654,0.493,0.717,0.753,0.643,0.263,0.719,0.668,0.714,0.608,0.325,0.683,0.729,0.486,0.458,0.324,0.525,0.384,0.432,0.737,0.765,0.470,0.651,0.491,0.589,0.251,0.589,0.756,0.760,0.788
