Start time (UTC), 1010 
 Sky conditions, CO-SDV 
 Other notes, Rest of albedo points on separate floe no longer located. NIR images at 19 (12:32) then 20 (12:34). Kipps shortly after ASD. 
 Ship latitude, 81.30112
 Ship longitude, 0.33111
Position, 19, 20
Surface type, S, S
Surface thickness (cm), 10, 10
Notes, appear to be slightly sedimented mounds! , darkish area right under measurement area
Change in incident (%),10.0, 10.0
Wavelengths,Albedo0,Albedo1
350,0.728,0.692
351,0.729,0.692
352,0.729,0.693
353,0.730,0.694
354,0.731,0.695
355,0.731,0.696
356,0.732,0.696
357,0.733,0.697
358,0.734,0.698
359,0.735,0.699
360,0.735,0.700
361,0.736,0.700
362,0.737,0.701
363,0.737,0.702
364,0.738,0.703
365,0.739,0.704
366,0.739,0.704
367,0.740,0.705
368,0.741,0.706
369,0.741,0.707
370,0.742,0.707
371,0.743,0.708
372,0.744,0.709
373,0.745,0.710
374,0.746,0.711
375,0.746,0.712
376,0.747,0.712
377,0.748,0.713
378,0.749,0.715
379,0.750,0.715
380,0.751,0.716
381,0.752,0.717
382,0.752,0.718
383,0.754,0.719
384,0.755,0.720
385,0.755,0.721
386,0.756,0.722
387,0.757,0.724
388,0.758,0.724
389,0.759,0.725
390,0.759,0.726
391,0.760,0.727
392,0.761,0.728
393,0.762,0.729
394,0.762,0.730
395,0.763,0.731
396,0.764,0.731
397,0.765,0.732
398,0.765,0.733
399,0.766,0.733
400,0.766,0.734
401,0.767,0.735
402,0.767,0.735
403,0.768,0.736
404,0.768,0.736
405,0.769,0.737
406,0.769,0.738
407,0.770,0.738
408,0.770,0.739
409,0.771,0.739
410,0.771,0.740
411,0.772,0.740
412,0.773,0.741
413,0.773,0.742
414,0.773,0.742
415,0.774,0.743
416,0.775,0.744
417,0.775,0.744
418,0.775,0.745
419,0.776,0.745
420,0.776,0.746
421,0.777,0.747
422,0.778,0.747
423,0.778,0.748
424,0.778,0.748
425,0.779,0.749
426,0.779,0.749
427,0.780,0.750
428,0.780,0.751
429,0.781,0.751
430,0.781,0.752
431,0.782,0.753
432,0.782,0.753
433,0.783,0.754
434,0.783,0.754
435,0.784,0.755
436,0.784,0.756
437,0.785,0.756
438,0.785,0.757
439,0.786,0.757
440,0.786,0.758
441,0.787,0.758
442,0.787,0.759
443,0.787,0.759
444,0.788,0.760
445,0.788,0.760
446,0.789,0.761
447,0.789,0.761
448,0.789,0.762
449,0.790,0.762
450,0.790,0.763
451,0.791,0.763
452,0.791,0.763
453,0.791,0.764
454,0.792,0.764
455,0.792,0.765
456,0.792,0.765
457,0.792,0.765
458,0.793,0.766
459,0.793,0.766
460,0.793,0.767
461,0.794,0.767
462,0.794,0.767
463,0.794,0.768
464,0.795,0.768
465,0.795,0.768
466,0.795,0.768
467,0.795,0.769
468,0.796,0.769
469,0.796,0.769
470,0.796,0.770
471,0.796,0.770
472,0.797,0.770
473,0.797,0.771
474,0.797,0.771
475,0.798,0.771
476,0.798,0.772
477,0.798,0.772
478,0.798,0.772
479,0.799,0.773
480,0.799,0.773
481,0.799,0.773
482,0.799,0.774
483,0.800,0.774
484,0.800,0.774
485,0.800,0.774
486,0.800,0.775
487,0.801,0.775
488,0.801,0.775
489,0.801,0.776
490,0.801,0.776
491,0.801,0.776
492,0.802,0.777
493,0.802,0.777
494,0.802,0.777
495,0.802,0.777
496,0.803,0.778
497,0.803,0.778
498,0.803,0.778
499,0.803,0.779
500,0.804,0.779
501,0.804,0.779
502,0.804,0.780
503,0.804,0.780
504,0.805,0.780
505,0.805,0.780
506,0.805,0.781
507,0.805,0.781
508,0.806,0.781
509,0.806,0.782
510,0.806,0.782
511,0.806,0.782
512,0.806,0.782
513,0.807,0.783
514,0.807,0.783
515,0.807,0.783
516,0.807,0.784
517,0.807,0.784
518,0.808,0.784
519,0.808,0.784
520,0.808,0.785
521,0.808,0.785
522,0.808,0.785
523,0.809,0.785
524,0.809,0.785
525,0.809,0.786
526,0.809,0.786
527,0.809,0.786
528,0.810,0.786
529,0.810,0.787
530,0.810,0.787
531,0.810,0.787
532,0.810,0.787
533,0.810,0.787
534,0.810,0.788
535,0.811,0.788
536,0.811,0.788
537,0.811,0.788
538,0.811,0.788
539,0.811,0.788
540,0.811,0.789
541,0.811,0.789
542,0.811,0.789
543,0.811,0.789
544,0.812,0.789
545,0.812,0.789
546,0.812,0.789
547,0.812,0.789
548,0.812,0.789
549,0.812,0.790
550,0.812,0.790
551,0.812,0.790
552,0.812,0.790
553,0.812,0.790
554,0.812,0.790
555,0.812,0.790
556,0.812,0.790
557,0.813,0.791
558,0.813,0.791
559,0.813,0.791
560,0.813,0.791
561,0.813,0.791
562,0.813,0.791
563,0.813,0.791
564,0.813,0.791
565,0.813,0.791
566,0.813,0.791
567,0.813,0.791
568,0.813,0.792
569,0.813,0.792
570,0.814,0.792
571,0.814,0.792
572,0.814,0.792
573,0.814,0.792
574,0.814,0.792
575,0.814,0.792
576,0.814,0.792
577,0.814,0.792
578,0.814,0.792
579,0.814,0.792
580,0.814,0.792
581,0.814,0.793
582,0.814,0.793
583,0.814,0.793
584,0.814,0.793
585,0.814,0.793
586,0.814,0.793
587,0.814,0.793
588,0.815,0.793
589,0.815,0.793
590,0.815,0.793
591,0.814,0.793
592,0.814,0.793
593,0.814,0.792
594,0.814,0.792
595,0.814,0.792
596,0.814,0.792
597,0.814,0.792
598,0.814,0.792
599,0.813,0.792
600,0.813,0.792
601,0.813,0.792
602,0.813,0.791
603,0.813,0.791
604,0.813,0.791
605,0.813,0.791
606,0.812,0.791
607,0.812,0.791
608,0.812,0.791
609,0.812,0.790
610,0.812,0.790
611,0.812,0.790
612,0.811,0.790
613,0.811,0.790
614,0.811,0.790
615,0.811,0.789
616,0.811,0.789
617,0.810,0.789
618,0.810,0.788
619,0.810,0.788
620,0.809,0.788
621,0.809,0.788
622,0.809,0.787
623,0.809,0.787
624,0.808,0.787
625,0.808,0.786
626,0.808,0.786
627,0.808,0.786
628,0.807,0.786
629,0.807,0.785
630,0.807,0.785
631,0.806,0.784
632,0.806,0.784
633,0.805,0.784
634,0.805,0.783
635,0.805,0.783
636,0.804,0.782
637,0.804,0.782
638,0.804,0.782
639,0.803,0.781
640,0.803,0.781
641,0.802,0.781
642,0.802,0.780
643,0.802,0.780
644,0.801,0.779
645,0.801,0.779
646,0.801,0.779
647,0.801,0.778
648,0.800,0.778
649,0.800,0.777
650,0.799,0.777
651,0.799,0.777
652,0.799,0.776
653,0.798,0.776
654,0.798,0.776
655,0.798,0.775
656,0.797,0.775
657,0.797,0.775
658,0.797,0.774
659,0.796,0.774
660,0.796,0.773
661,0.796,0.773
662,0.795,0.773
663,0.795,0.773
664,0.795,0.772
665,0.794,0.772
666,0.794,0.772
667,0.794,0.771
668,0.794,0.771
669,0.793,0.771
670,0.793,0.770
671,0.793,0.770
672,0.792,0.770
673,0.792,0.770
674,0.792,0.769
675,0.792,0.769
676,0.791,0.769
677,0.791,0.768
678,0.791,0.768
679,0.790,0.768
680,0.790,0.767
681,0.790,0.767
682,0.790,0.767
683,0.789,0.767
684,0.789,0.766
685,0.789,0.766
686,0.789,0.766
687,0.789,0.765
688,0.788,0.765
689,0.788,0.765
690,0.787,0.764
691,0.787,0.764
692,0.787,0.763
693,0.786,0.763
694,0.786,0.762
695,0.785,0.761
696,0.784,0.761
697,0.784,0.760
698,0.783,0.760
699,0.783,0.759
700,0.782,0.759
701,0.781,0.758
702,0.781,0.757
703,0.780,0.756
704,0.779,0.756
705,0.779,0.755
706,0.778,0.754
707,0.777,0.754
708,0.776,0.753
709,0.776,0.752
710,0.775,0.751
711,0.774,0.750
712,0.773,0.750
713,0.773,0.749
714,0.772,0.748
715,0.772,0.748
716,0.771,0.747
717,0.771,0.746
718,0.771,0.745
719,0.770,0.744
720,0.769,0.744
721,0.768,0.743
722,0.768,0.743
723,0.767,0.742
724,0.766,0.741
725,0.766,0.741
726,0.765,0.740
727,0.764,0.739
728,0.763,0.738
729,0.763,0.738
730,0.762,0.737
731,0.761,0.736
732,0.760,0.735
733,0.759,0.734
734,0.758,0.733
735,0.757,0.732
736,0.756,0.731
737,0.755,0.731
738,0.755,0.730
739,0.754,0.729
740,0.753,0.729
741,0.752,0.728
742,0.752,0.727
743,0.751,0.726
744,0.750,0.726
745,0.749,0.725
746,0.748,0.724
747,0.748,0.723
748,0.747,0.722
749,0.746,0.721
750,0.745,0.720
751,0.744,0.720
752,0.743,0.718
753,0.742,0.717
754,0.741,0.716
755,0.740,0.715
756,0.739,0.714
757,0.738,0.713
758,0.737,0.712
759,0.737,0.711
760,0.736,0.709
761,0.735,0.706
762,0.733,0.705
763,0.732,0.703
764,0.730,0.702
765,0.728,0.701
766,0.726,0.700
767,0.725,0.699
768,0.723,0.698
769,0.722,0.696
770,0.720,0.695
771,0.719,0.693
772,0.718,0.692
773,0.716,0.690
774,0.715,0.689
775,0.713,0.688
776,0.712,0.686
777,0.711,0.685
778,0.709,0.684
779,0.708,0.682
780,0.707,0.681
781,0.706,0.680
782,0.704,0.678
783,0.703,0.677
784,0.702,0.676
785,0.701,0.675
786,0.700,0.674
787,0.699,0.673
788,0.698,0.672
789,0.697,0.671
790,0.697,0.670
791,0.696,0.669
792,0.695,0.668
793,0.694,0.668
794,0.693,0.667
795,0.693,0.666
796,0.692,0.666
797,0.692,0.665
798,0.691,0.665
799,0.691,0.664
800,0.695,0.668
801,0.694,0.667
802,0.693,0.667
803,0.693,0.666
804,0.692,0.666
805,0.692,0.665
806,0.691,0.665
807,0.691,0.665
808,0.691,0.664
809,0.691,0.664
810,0.690,0.664
811,0.690,0.664
812,0.690,0.664
813,0.690,0.663
814,0.690,0.663
815,0.690,0.663
816,0.690,0.663
817,0.690,0.663
818,0.690,0.663
819,0.691,0.663
820,0.691,0.663
821,0.691,0.664
822,0.691,0.664
823,0.691,0.664
824,0.691,0.664
825,0.692,0.664
826,0.692,0.664
827,0.692,0.664
828,0.692,0.664
829,0.692,0.665
830,0.692,0.665
831,0.692,0.665
832,0.692,0.665
833,0.692,0.665
834,0.692,0.665
835,0.692,0.664
836,0.691,0.664
837,0.691,0.664
838,0.691,0.664
839,0.690,0.663
840,0.690,0.663
841,0.690,0.663
842,0.689,0.662
843,0.689,0.662
