Start time (UTC), 1432 
 Sky conditions, CO-SDNV 
 Other notes, ASD only. RS (not 5 due to freshwater lens drilling) + BP for 1st time. Stern obs w/ NIR/microCT @ 1 5 + 7. 5A and 5B nearly indistinguishable visibly.  
 Ship latitude, 81.22083
 Ship longitude, 0.27618
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
350,0.702,0.406,0.338,0.357,0.394,0.710,0.712,0.480,0.731
351,0.702,0.407,0.340,0.359,0.396,0.710,0.713,0.481,0.732
352,0.702,0.407,0.341,0.361,0.396,0.710,0.713,0.482,0.732
353,0.703,0.408,0.343,0.362,0.397,0.711,0.713,0.483,0.733
354,0.703,0.408,0.344,0.363,0.397,0.712,0.715,0.484,0.733
355,0.703,0.409,0.346,0.364,0.399,0.713,0.715,0.485,0.733
356,0.703,0.410,0.347,0.365,0.399,0.714,0.715,0.486,0.734
357,0.703,0.410,0.347,0.367,0.399,0.714,0.716,0.486,0.734
358,0.703,0.410,0.349,0.367,0.400,0.714,0.716,0.488,0.735
359,0.703,0.411,0.351,0.368,0.402,0.715,0.717,0.489,0.735
360,0.704,0.411,0.352,0.370,0.402,0.716,0.718,0.489,0.735
361,0.703,0.411,0.352,0.370,0.403,0.717,0.718,0.491,0.736
362,0.704,0.412,0.353,0.371,0.403,0.718,0.719,0.491,0.736
363,0.704,0.412,0.354,0.372,0.404,0.718,0.719,0.491,0.736
364,0.704,0.413,0.355,0.372,0.405,0.719,0.720,0.493,0.737
365,0.704,0.413,0.355,0.373,0.405,0.720,0.720,0.494,0.738
366,0.705,0.413,0.356,0.374,0.406,0.720,0.720,0.495,0.738
