Start time (UTC), 1129 
 Sky conditions, CO-SDV 
 Other notes, Cross-team destructive melt pond sampling @ pond 2-3. Felix measured same pond locations in order: 3, 2, 3.1, 3.2. L-Arm measurement taken at 2 w/ optics & CT cores (false bottom present). Other cores for nutrients methox DIC Chl. Magnaprobe survey of pond.  
 Ship latitude, 81.04501
 Ship longitude, 0.43322
Position,  1A,  1B,   2,   3, 3.1, 3.2
Surface type, S, P, P, P, P, P
Surface thickness (cm),  4.0,  8.0, 13.0,  NaN,  NaN,  NaN
Notes, darker wet patch in middle,             frozen surface,                        NaN,                        NaN,        bubbly pond bottom ,  white/cracked pond bottom
Change in incident (%),0.0, 0.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
350,0.691,0.389,0.338,0.353,0.400,0.450
351,0.691,0.389,0.340,0.354,0.402,0.452
352,0.691,0.389,0.341,0.355,0.403,0.453
353,0.691,0.390,0.343,0.356,0.404,0.454
354,0.691,0.390,0.344,0.358,0.406,0.455
355,0.692,0.391,0.346,0.359,0.407,0.456
356,0.692,0.392,0.347,0.360,0.409,0.457
357,0.692,0.392,0.348,0.361,0.411,0.458
358,0.692,0.393,0.349,0.362,0.412,0.459
359,0.692,0.393,0.351,0.363,0.413,0.460
360,0.692,0.393,0.352,0.364,0.415,0.461
361,0.692,0.394,0.353,0.365,0.416,0.462
362,0.692,0.394,0.354,0.366,0.417,0.463
363,0.692,0.395,0.356,0.366,0.418,0.463
364,0.693,0.395,0.357,0.367,0.419,0.464
365,0.693,0.396,0.357,0.368,0.420,0.465
366,0.693,0.396,0.358,0.368,0.421,0.466
367,0.693,0.396,0.358,0.369,0.422,0.466
368,0.693,0.397,0.359,0.369,0.423,0.467
369,0.693,0.397,0.360,0.370,0.423,0.468
370,0.693,0.397,0.360,0.371,0.424,0.468
371,0.693,0.397,0.361,0.371,0.425,0.469
372,0.693,0.397,0.361,0.371,0.426,0.470
373,0.693,0.398,0.362,0.372,0.427,0.471
374,0.693,0.398,0.363,0.373,0.428,0.472
375,0.693,0.398,0.363,0.373,0.429,0.473
376,0.693,0.398,0.364,0.374,0.429,0.474
377,0.693,0.399,0.365,0.374,0.430,0.474
378,0.693,0.399,0.365,0.375,0.431,0.475
379,0.693,0.399,0.366,0.375,0.432,0.476
380,0.694,0.400,0.366,0.376,0.433,0.477
381,0.694,0.400,0.367,0.376,0.433,0.478
382,0.694,0.400,0.367,0.377,0.434,0.479
383,0.693,0.400,0.368,0.377,0.435,0.480
384,0.694,0.401,0.368,0.378,0.436,0.481
385,0.694,0.401,0.368,0.378,0.436,0.482
386,0.694,0.401,0.369,0.379,0.437,0.482
387,0.694,0.401,0.370,0.379,0.437,0.483
388,0.694,0.401,0.370,0.379,0.438,0.484
389,0.694,0.402,0.370,0.380,0.439,0.485
390,0.694,0.402,0.371,0.380,0.440,0.485
391,0.694,0.402,0.371,0.380,0.440,0.486
392,0.694,0.402,0.371,0.381,0.440,0.486
393,0.694,0.402,0.371,0.381,0.441,0.486
394,0.694,0.402,0.371,0.381,0.441,0.487
395,0.694,0.403,0.372,0.381,0.442,0.487
396,0.694,0.403,0.372,0.382,0.442,0.488
397,0.694,0.403,0.372,0.382,0.442,0.488
398,0.694,0.403,0.372,0.382,0.443,0.488
399,0.694,0.403,0.372,0.382,0.443,0.489
400,0.694,0.403,0.372,0.382,0.443,0.489
401,0.694,0.403,0.372,0.382,0.443,0.489
402,0.694,0.403,0.372,0.382,0.443,0.489
403,0.694,0.403,0.372,0.382,0.444,0.490
404,0.694,0.403,0.372,0.382,0.444,0.490
405,0.693,0.403,0.372,0.382,0.444,0.490
406,0.694,0.403,0.372,0.382,0.444,0.490
407,0.694,0.403,0.372,0.383,0.444,0.491
408,0.693,0.403,0.373,0.383,0.445,0.491
409,0.693,0.403,0.372,0.383,0.445,0.491
410,0.694,0.403,0.372,0.383,0.445,0.492
411,0.694,0.404,0.373,0.383,0.445,0.492
412,0.693,0.404,0.373,0.383,0.446,0.492
413,0.693,0.404,0.373,0.383,0.446,0.493
414,0.693,0.404,0.373,0.383,0.446,0.493
