Start time (UTC), 1321 
 Sky conditions, CO-SDNV 
 Other notes, Setup of ECOLodge Scattering Pit experiment "Boptics". ASD measurements over both 'clean' (A) and 'disturbed' (B) area prior to snow work and clearing. Measured from each corner starting from Stbd-stern corner (1) in clockwise direction. Amy did NIR/ small snow pit/microCT in each A+B. ASD measurements again of both after shoveling/clearing.  
 Ship latitude, 80.74754
 Ship longitude, -0.52399
Position, A1, A2, A3, A4, B1, B2, B3, B4
Surface type, S, S, S, S, S, S, S, S
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,            NaN,            NaN,            NaN,            NaN, After clearing, After clearing, After clearing, After clearing
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.769,0.765,0.772,0.755,0.647,0.683,0.706,0.635
351,0.770,0.765,0.772,0.755,0.647,0.683,0.707,0.635
352,0.769,0.765,0.772,0.755,0.648,0.684,0.707,0.635
353,0.769,0.765,0.772,0.755,0.648,0.685,0.707,0.636
354,0.769,0.765,0.773,0.755,0.649,0.685,0.708,0.636
355,0.770,0.765,0.772,0.756,0.649,0.685,0.708,0.637
356,0.770,0.765,0.772,0.756,0.649,0.685,0.708,0.638
357,0.770,0.765,0.773,0.756,0.650,0.685,0.709,0.638
358,0.770,0.765,0.773,0.756,0.651,0.686,0.709,0.638
359,0.770,0.765,0.773,0.756,0.651,0.686,0.709,0.638
360,0.771,0.766,0.773,0.756,0.652,0.686,0.709,0.639
361,0.771,0.766,0.774,0.757,0.652,0.687,0.709,0.640
362,0.771,0.766,0.774,0.757,0.653,0.687,0.710,0.640
363,0.771,0.766,0.774,0.757,0.653,0.687,0.710,0.640
364,0.771,0.766,0.774,0.757,0.653,0.687,0.711,0.641
365,0.771,0.766,0.774,0.758,0.654,0.688,0.711,0.641
366,0.771,0.767,0.775,0.757,0.654,0.688,0.711,0.641
367,0.771,0.767,0.775,0.757,0.654,0.689,0.711,0.642
368,0.772,0.767,0.774,0.758,0.654,0.689,0.711,0.642
369,0.772,0.767,0.775,0.758,0.655,0.689,0.712,0.642
370,0.772,0.767,0.775,0.758,0.655,0.689,0.712,0.642
371,0.772,0.767,0.775,0.758,0.655,0.689,0.712,0.643
372,0.772,0.767,0.775,0.758,0.656,0.689,0.712,0.643
373,0.773,0.768,0.775,0.759,0.656,0.690,0.713,0.643
374,0.773,0.768,0.776,0.759,0.656,0.691,0.713,0.643
375,0.773,0.768,0.776,0.759,0.657,0.690,0.712,0.644
376,0.773,0.768,0.776,0.759,0.657,0.691,0.713,0.644
377,0.773,0.768,0.776,0.759,0.657,0.691,0.713,0.644
378,0.774,0.769,0.776,0.759,0.658,0.692,0.713,0.645
379,0.774,0.768,0.776,0.760,0.658,0.692,0.713,0.645
380,0.774,0.769,0.776,0.760,0.658,0.692,0.714,0.646
381,0.774,0.769,0.777,0.760,0.658,0.692,0.715,0.646
382,0.774,0.769,0.778,0.760,0.659,0.693,0.714,0.646
383,0.775,0.769,0.778,0.760,0.659,0.693,0.715,0.647
384,0.775,0.770,0.778,0.761,0.659,0.693,0.715,0.647
385,0.775,0.770,0.778,0.761,0.659,0.694,0.715,0.647
386,0.775,0.770,0.778,0.761,0.660,0.694,0.716,0.648
