Start time (UTC), 1451 
 Sky conditions, CO-SDNV 
 Other notes, ROV: Ian did GEM survey. no Kipps. RBB & LDL: Maddie (ASD) Amy (Kipps & snow survey) Zoe (notes/photos).  
 Ship latitude, 80.59211
 Ship longitude, -0.61941
Position, A1, A2, A3, A4, B1, B2, B3, B4
Surface type, S, S, S, S, S, S, S, S
Surface thickness (cm), 4, 4, 4, 4, 2, 2, 2, 2
Notes, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.760,0.765,0.775,0.746,0.735,0.762,0.771,0.734
351,0.760,0.765,0.775,0.746,0.735,0.762,0.771,0.734
352,0.761,0.765,0.775,0.746,0.735,0.761,0.771,0.735
353,0.761,0.764,0.775,0.746,0.736,0.761,0.771,0.735
354,0.761,0.765,0.775,0.746,0.737,0.762,0.772,0.736
355,0.761,0.765,0.775,0.747,0.737,0.763,0.772,0.736
356,0.761,0.765,0.776,0.747,0.737,0.763,0.772,0.736
357,0.762,0.765,0.776,0.747,0.737,0.763,0.772,0.736
358,0.762,0.765,0.776,0.747,0.737,0.763,0.773,0.736
359,0.762,0.765,0.776,0.747,0.738,0.763,0.773,0.736
360,0.762,0.766,0.777,0.748,0.738,0.764,0.773,0.737
361,0.762,0.766,0.777,0.748,0.738,0.764,0.773,0.737
362,0.762,0.766,0.777,0.748,0.739,0.764,0.773,0.737
363,0.763,0.766,0.777,0.749,0.739,0.764,0.774,0.738
364,0.763,0.766,0.777,0.748,0.739,0.764,0.774,0.738
365,0.763,0.766,0.777,0.748,0.739,0.765,0.774,0.738
366,0.763,0.766,0.777,0.748,0.739,0.765,0.774,0.738
367,0.763,0.766,0.777,0.749,0.740,0.765,0.774,0.738
368,0.763,0.767,0.778,0.749,0.740,0.765,0.774,0.738
369,0.763,0.767,0.778,0.749,0.740,0.765,0.774,0.739
370,0.763,0.767,0.778,0.749,0.740,0.765,0.774,0.739
371,0.764,0.767,0.778,0.749,0.740,0.765,0.775,0.740
372,0.764,0.767,0.778,0.749,0.741,0.765,0.775,0.739
373,0.764,0.767,0.778,0.750,0.741,0.765,0.775,0.739
374,0.764,0.767,0.778,0.750,0.741,0.766,0.775,0.740
375,0.764,0.767,0.779,0.750,0.741,0.766,0.775,0.740
376,0.764,0.768,0.779,0.750,0.741,0.765,0.775,0.740
377,0.765,0.768,0.779,0.750,0.742,0.766,0.775,0.740
378,0.765,0.768,0.779,0.751,0.742,0.766,0.776,0.741
379,0.765,0.768,0.779,0.751,0.742,0.766,0.776,0.741
380,0.765,0.768,0.779,0.751,0.742,0.767,0.775,0.741
381,0.765,0.769,0.779,0.751,0.742,0.767,0.776,0.741
382,0.766,0.769,0.780,0.751,0.742,0.767,0.776,0.742
383,0.766,0.769,0.780,0.751,0.742,0.767,0.776,0.741
384,0.766,0.769,0.780,0.752,0.743,0.767,0.776,0.741
385,0.766,0.769,0.780,0.752,0.743,0.767,0.776,0.741
386,0.766,0.769,0.781,0.752,0.743,0.767,0.776,0.742
