Start time (UTC), 0932 
 Sky conditions, CO-SDNV 
 Other notes, ROV: Ian did GEM survey. no Kipps. RBB & LDL: Maddie (ASD) Amy (Kipps & snow survey) Zoe (notes/photos).  
 Ship latitude, 80.62298
 Ship longitude, -0.53745
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145
Surface type,   S,   S,   S,   S,   S,   P,   S,   S,   S,   S,   P,   S,   S, S,P, S,P, P,S,   S, S,P, S,P,   S,   S, P,S,   S,   S, S,P,   P,   S,   S,   S,   S
Surface thickness (cm),    4.5,    7.5,      6,      5,      4,     14,    4.5,      4,      5,    2.5,     14,    5.5,    4.5,   5.15,   2.12,   11.1,    3.5,   1.10, 5.5.11,      6,    6.5,    5.1,    4.5,    2.5,    4.9,     21,      4,    4.5,    6.5,    5.5
Notes,                  NaN,            pond edge,                  NaN,               porous,                  NaN,  pond w/ small holes,                  NaN,       slightly dirty,      dark depression, dark. slightly dirty,              channel,                  NaN,                  NaN,            pond edge,            pond edge,            pond edge,                  NaN,            pond edge,  broke off pond edge,                  NaN,                  NaN,        ponded. dirty,                  NaN,     sediment mounds ,            pond edge,                  NaN,              mounds ,                  NaN,                  NaN,                  NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29
350,0.676,0.418,0.694,0.718,0.596,0.181,0.638,0.640,0.648,0.440,0.250,0.612,0.696,0.456,0.338,0.228,0.449,0.239,0.311,0.709,0.754,0.359,0.629,0.357,0.470,0.178,0.477,0.708,0.734,0.720
351,0.677,0.419,0.695,0.718,0.596,0.182,0.639,0.641,0.648,0.441,0.251,0.612,0.696,0.456,0.339,0.229,0.450,0.240,0.312,0.710,0.754,0.359,0.630,0.358,0.471,0.179,0.478,0.708,0.735,0.720
352,0.677,0.420,0.695,0.719,0.597,0.182,0.639,0.642,0.648,0.442,0.251,0.613,0.697,0.457,0.339,0.230,0.451,0.241,0.313,0.710,0.754,0.360,0.630,0.359,0.472,0.179,0.479,0.708,0.736,0.720
353,0.678,0.421,0.696,0.719,0.597,0.183,0.639,0.643,0.648,0.443,0.252,0.613,0.696,0.457,0.340,0.230,0.452,0.241,0.313,0.711,0.755,0.361,0.630,0.361,0.472,0.180,0.480,0.709,0.736,0.720
354,0.679,0.422,0.696,0.720,0.598,0.184,0.640,0.644,0.649,0.444,0.253,0.613,0.696,0.458,0.341,0.231,0.453,0.242,0.313,0.711,0.755,0.361,0.631,0.361,0.472,0.181,0.480,0.709,0.736,0.721
