Start time (UTC), 0727 
 Sky conditions, CO-SDNV, to PC at end of RBB 
 Other notes, BOP: Amy (NIR/microCT) Maddie (ASD). RBB: Julia (ASD) Ian (Kipps) Maddie (notes/photos). Surface appeared whiter possibly due to sun prior day.  
 Ship latitude, 80.38458
 Ship longitude, -0.54834
Position, A1, A2, A3, A4, B1, B2, B3, B4
Surface type, S, S, S, S, S, S, S, S
Surface thickness (cm), 4.5, 4.5, 4.5, 4.5, 2.5, 2.5, 2.5, 2.5
Notes,                            4-5 cm SSL,                            4-5 cm SSL,                            4-5 cm SSL, 4-5 cm SSL. NIR location (footprints),                            2-3 cm SSL,                            2-3 cm SSL,                            2-3 cm SSL,                            2-3 cm SSL
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.791,0.794,0.801,0.786,0.760,0.796,0.795,0.754
351,0.791,0.794,0.801,0.786,0.760,0.796,0.796,0.755
352,0.791,0.794,0.802,0.786,0.760,0.797,0.797,0.755
353,0.791,0.795,0.802,0.786,0.760,0.797,0.796,0.755
354,0.791,0.794,0.802,0.787,0.760,0.798,0.797,0.755
355,0.791,0.795,0.803,0.787,0.760,0.798,0.797,0.755
356,0.791,0.796,0.803,0.787,0.760,0.799,0.797,0.755
357,0.792,0.796,0.803,0.787,0.760,0.798,0.797,0.755
358,0.792,0.796,0.803,0.787,0.761,0.798,0.797,0.755
359,0.792,0.796,0.804,0.787,0.761,0.799,0.798,0.755
360,0.792,0.796,0.804,0.787,0.761,0.799,0.798,0.755
361,0.792,0.797,0.805,0.788,0.761,0.799,0.798,0.756
362,0.793,0.797,0.804,0.788,0.761,0.800,0.798,0.756
363,0.793,0.797,0.804,0.788,0.761,0.800,0.798,0.756
364,0.793,0.797,0.805,0.788,0.761,0.800,0.799,0.756
365,0.793,0.798,0.805,0.788,0.761,0.800,0.799,0.756
366,0.793,0.798,0.805,0.789,0.761,0.801,0.799,0.756
367,0.794,0.797,0.805,0.789,0.761,0.801,0.799,0.757
368,0.794,0.798,0.806,0.789,0.761,0.801,0.799,0.756
369,0.794,0.798,0.806,0.789,0.761,0.801,0.799,0.756
370,0.794,0.799,0.806,0.789,0.762,0.801,0.799,0.757
371,0.794,0.799,0.807,0.789,0.762,0.801,0.799,0.757
372,0.794,0.799,0.807,0.790,0.761,0.802,0.800,0.757
373,0.794,0.799,0.807,0.789,0.762,0.802,0.800,0.757
374,0.795,0.799,0.807,0.789,0.762,0.802,0.800,0.757
375,0.795,0.800,0.808,0.790,0.761,0.802,0.800,0.757
376,0.795,0.800,0.808,0.790,0.762,0.803,0.800,0.757
377,0.795,0.800,0.808,0.790,0.762,0.803,0.801,0.757
378,0.795,0.801,0.809,0.790,0.762,0.803,0.801,0.757
379,0.795,0.801,0.809,0.790,0.762,0.803,0.801,0.757
380,0.796,0.801,0.809,0.790,0.762,0.803,0.801,0.757
381,0.796,0.801,0.809,0.791,0.762,0.804,0.801,0.758
382,0.797,0.801,0.809,0.791,0.762,0.804,0.802,0.758
383,0.796,0.802,0.810,0.791,0.762,0.804,0.802,0.758
384,0.797,0.802,0.810,0.791,0.762,0.804,0.802,0.758
385,0.797,0.802,0.810,0.791,0.762,0.805,0.802,0.757
386,0.797,0.803,0.811,0.792,0.762,0.805,0.802,0.757
387,0.797,0.803,0.811,0.792,0.763,0.805,0.802,0.758
388,0.797,0.804,0.812,0.792,0.762,0.805,0.802,0.758
389,0.797,0.804,0.812,0.792,0.762,0.805,0.802,0.758
390,0.798,0.804,0.812,0.792,0.762,0.806,0.803,0.758
391,0.798,0.804,0.812,0.792,0.762,0.806,0.803,0.758
392,0.798,0.805,0.812,0.792,0.762,0.806,0.803,0.758
393,0.799,0.805,0.812,0.792,0.762,0.806,0.803,0.758
394,0.799,0.805,0.813,0.793,0.762,0.807,0.803,0.758
395,0.799,0.805,0.813,0.793,0.763,0.807,0.803,0.758
396,0.799,0.805,0.813,0.793,0.763,0.807,0.803,0.758
397,0.799,0.805,0.813,0.793,0.763,0.807,0.804,0.758
398,0.799,0.805,0.814,0.793,0.763,0.807,0.804,0.758
399,0.799,0.806,0.814,0.793,0.763,0.807,0.804,0.758
400,0.800,0.806,0.814,0.793,0.763,0.807,0.804,0.758
401,0.800,0.806,0.814,0.793,0.763,0.808,0.804,0.758
402,0.800,0.806,0.814,0.794,0.763,0.808,0.804,0.759
403,0.800,0.807,0.814,0.794,0.763,0.808,0.804,0.759
404,0.800,0.807,0.815,0.794,0.763,0.808,0.804,0.759
405,0.800,0.807,0.815,0.794,0.763,0.808,0.804,0.759
