Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.99248
 Ship longitude, -0.65415
Position, 1, 2, 3, 4, 5, 6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
350,0.773,0.713,0.342,0.436,0.749,0.716
351,0.774,0.714,0.344,0.440,0.749,0.718
352,0.775,0.714,0.345,0.442,0.749,0.720
353,0.775,0.714,0.343,0.440,0.748,0.720
354,0.775,0.716,0.344,0.440,0.749,0.722
355,0.774,0.716,0.348,0.442,0.750,0.723
356,0.773,0.715,0.350,0.444,0.751,0.722
357,0.775,0.716,0.350,0.444,0.753,0.722
358,0.776,0.716,0.350,0.447,0.752,0.722
359,0.776,0.717,0.352,0.450,0.752,0.725
360,0.776,0.718,0.355,0.451,0.753,0.728
361,0.778,0.720,0.356,0.452,0.752,0.727
362,0.779,0.721,0.357,0.453,0.753,0.727
363,0.779,0.722,0.358,0.455,0.755,0.727
364,0.780,0.722,0.359,0.457,0.754,0.728
365,0.781,0.723,0.361,0.457,0.753,0.728
366,0.781,0.723,0.362,0.457,0.755,0.731
367,0.781,0.723,0.362,0.458,0.756,0.732
368,0.780,0.724,0.363,0.460,0.755,0.730
369,0.781,0.725,0.364,0.460,0.755,0.733
370,0.780,0.725,0.365,0.461,0.756,0.734
371,0.779,0.724,0.367,0.464,0.756,0.732
372,0.780,0.724,0.369,0.466,0.756,0.732
373,0.781,0.725,0.370,0.467,0.756,0.734
374,0.782,0.726,0.372,0.468,0.756,0.735
375,0.784,0.726,0.373,0.469,0.756,0.736
376,0.783,0.726,0.374,0.471,0.757,0.736
377,0.783,0.726,0.375,0.473,0.757,0.737
378,0.783,0.728,0.376,0.473,0.758,0.738
379,0.785,0.729,0.378,0.475,0.758,0.739
380,0.784,0.730,0.379,0.477,0.756,0.740
381,0.784,0.731,0.381,0.478,0.757,0.739
382,0.786,0.732,0.383,0.479,0.760,0.739
383,0.785,0.731,0.382,0.480,0.759,0.741
384,0.783,0.732,0.385,0.483,0.760,0.743
385,0.784,0.734,0.386,0.484,0.760,0.744
386,0.785,0.734,0.386,0.485,0.759,0.743
387,0.785,0.735,0.390,0.488,0.759,0.745
388,0.786,0.735,0.392,0.489,0.760,0.747
389,0.786,0.735,0.392,0.490,0.761,0.747
390,0.785,0.735,0.392,0.491,0.761,0.747
391,0.785,0.735,0.394,0.492,0.760,0.748
392,0.786,0.737,0.395,0.493,0.761,0.749
393,0.786,0.739,0.397,0.494,0.761,0.750
394,0.785,0.738,0.399,0.494,0.761,0.750
395,0.787,0.738,0.400,0.497,0.760,0.750
396,0.787,0.738,0.401,0.498,0.761,0.750
397,0.787,0.738,0.402,0.497,0.761,0.750
398,0.789,0.738,0.403,0.499,0.760,0.750
399,0.789,0.739,0.403,0.500,0.761,0.752
400,0.788,0.740,0.404,0.501,0.762,0.753
401,0.789,0.740,0.405,0.503,0.761,0.752
402,0.789,0.741,0.407,0.503,0.761,0.754
403,0.789,0.741,0.407,0.504,0.762,0.755
404,0.789,0.741,0.408,0.505,0.762,0.755
405,0.789,0.740,0.410,0.505,0.761,0.755
406,0.790,0.741,0.410,0.506,0.762,0.755
407,0.789,0.742,0.410,0.507,0.762,0.755
408,0.789,0.742,0.411,0.507,0.762,0.756
409,0.790,0.742,0.413,0.509,0.763,0.757
410,0.791,0.742,0.413,0.510,0.763,0.757
411,0.791,0.742,0.413,0.511,0.763,0.757
412,0.791,0.743,0.415,0.511,0.763,0.758
413,0.791,0.743,0.415,0.512,0.763,0.758
414,0.791,0.743,0.415,0.513,0.764,0.759
415,0.791,0.743,0.417,0.515,0.764,0.759
416,0.791,0.743,0.418,0.515,0.764,0.759
417,0.792,0.744,0.419,0.515,0.764,0.759
418,0.792,0.744,0.420,0.516,0.765,0.760
419,0.792,0.744,0.421,0.518,0.765,0.760
420,0.792,0.745,0.421,0.519,0.765,0.761
421,0.792,0.745,0.422,0.519,0.764,0.761
422,0.792,0.746,0.423,0.520,0.764,0.762
423,0.792,0.746,0.424,0.520,0.765,0.762
424,0.793,0.746,0.425,0.521,0.765,0.763
425,0.793,0.746,0.425,0.521,0.765,0.763
426,0.793,0.746,0.426,0.522,0.765,0.763
427,0.792,0.746,0.427,0.523,0.765,0.763
428,0.793,0.746,0.428,0.524,0.766,0.764
429,0.794,0.747,0.429,0.525,0.766,0.764
430,0.794,0.748,0.430,0.525,0.765,0.765
431,0.795,0.749,0.430,0.526,0.766,0.765
432,0.795,0.748,0.431,0.527,0.766,0.765
433,0.794,0.748,0.432,0.527,0.766,0.766
434,0.794,0.749,0.433,0.528,0.766,0.766
435,0.794,0.749,0.433,0.528,0.766,0.766
436,0.794,0.749,0.434,0.529,0.766,0.767
437,0.794,0.750,0.435,0.529,0.766,0.767
438,0.795,0.750,0.435,0.530,0.766,0.767
439,0.795,0.750,0.436,0.530,0.766,0.768
440,0.794,0.750,0.437,0.531,0.766,0.769
441,0.794,0.751,0.437,0.531,0.766,0.769
442,0.795,0.751,0.438,0.532,0.766,0.769
443,0.795,0.751,0.439,0.533,0.766,0.769
444,0.795,0.751,0.439,0.533,0.767,0.770
445,0.795,0.751,0.440,0.534,0.767,0.770
446,0.795,0.752,0.441,0.534,0.766,0.770
447,0.795,0.752,0.442,0.535,0.767,0.771
448,0.795,0.752,0.442,0.535,0.767,0.771
449,0.795,0.752,0.443,0.536,0.768,0.771
450,0.796,0.752,0.443,0.536,0.767,0.771
451,0.796,0.753,0.443,0.536,0.767,0.772
452,0.796,0.753,0.444,0.537,0.767,0.772
453,0.796,0.753,0.445,0.537,0.767,0.773
454,0.796,0.753,0.446,0.537,0.767,0.773
455,0.796,0.753,0.446,0.538,0.768,0.773
456,0.796,0.754,0.446,0.539,0.768,0.773
457,0.796,0.754,0.447,0.539,0.768,0.773
458,0.796,0.754,0.448,0.539,0.768,0.773
459,0.797,0.754,0.448,0.539,0.768,0.774
460,0.797,0.755,0.448,0.540,0.768,0.774
461,0.796,0.755,0.449,0.540,0.767,0.774
462,0.796,0.755,0.450,0.541,0.767,0.774
463,0.797,0.755,0.450,0.541,0.768,0.774
464,0.796,0.755,0.451,0.541,0.768,0.775
465,0.796,0.755,0.451,0.542,0.768,0.775
466,0.797,0.755,0.451,0.542,0.768,0.775
467,0.797,0.756,0.452,0.542,0.767,0.775
468,0.797,0.756,0.453,0.542,0.768,0.775
469,0.797,0.756,0.453,0.542,0.768,0.776
470,0.797,0.756,0.454,0.542,0.768,0.776
471,0.797,0.757,0.454,0.543,0.768,0.776
472,0.797,0.757,0.454,0.543,0.768,0.776
473,0.798,0.756,0.454,0.543,0.768,0.776
474,0.798,0.756,0.455,0.543,0.768,0.776
475,0.797,0.757,0.455,0.544,0.768,0.777
476,0.797,0.757,0.456,0.544,0.768,0.777
477,0.797,0.758,0.456,0.544,0.768,0.777
478,0.798,0.758,0.456,0.545,0.768,0.777
479,0.797,0.758,0.456,0.544,0.768,0.778
480,0.798,0.757,0.456,0.545,0.768,0.778
481,0.798,0.757,0.457,0.545,0.768,0.777
482,0.797,0.758,0.458,0.545,0.768,0.778
483,0.797,0.758,0.458,0.545,0.768,0.778
484,0.797,0.758,0.457,0.545,0.768,0.778
485,0.798,0.757,0.458,0.545,0.768,0.779
486,0.798,0.758,0.459,0.545,0.768,0.779
487,0.797,0.758,0.459,0.545,0.769,0.779
488,0.797,0.758,0.459,0.545,0.769,0.779
489,0.797,0.758,0.459,0.545,0.768,0.778
490,0.797,0.758,0.459,0.544,0.768,0.779
491,0.797,0.759,0.460,0.545,0.768,0.779
492,0.798,0.759,0.460,0.545,0.768,0.779
493,0.797,0.759,0.460,0.545,0.768,0.780
494,0.798,0.760,0.460,0.544,0.768,0.780
495,0.798,0.760,0.460,0.544,0.768,0.779
496,0.797,0.760,0.461,0.545,0.768,0.779
497,0.798,0.760,0.461,0.544,0.768,0.779
498,0.798,0.760,0.460,0.543,0.768,0.780
499,0.798,0.760,0.460,0.543,0.768,0.780
500,0.797,0.760,0.461,0.543,0.768,0.780
501,0.798,0.760,0.461,0.543,0.768,0.781
502,0.798,0.760,0.460,0.543,0.768,0.781
503,0.797,0.761,0.461,0.543,0.768,0.780
504,0.797,0.761,0.461,0.543,0.768,0.781
505,0.797,0.761,0.461,0.542,0.768,0.780
506,0.797,0.761,0.460,0.542,0.768,0.781
507,0.797,0.760,0.460,0.541,0.768,0.781
508,0.797,0.761,0.460,0.541,0.768,0.781
509,0.797,0.761,0.460,0.541,0.768,0.781
510,0.797,0.761,0.460,0.540,0.768,0.781
511,0.797,0.762,0.460,0.540,0.768,0.781
512,0.797,0.762,0.459,0.539,0.768,0.781
513,0.797,0.762,0.459,0.539,0.769,0.781
514,0.797,0.762,0.459,0.538,0.768,0.781
