Start time (UTC), 0829 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.98513
 Ship longitude, -0.66832
Position, 1, 2, 3, 4, 5, 6, 7, 8
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.249,0.732,0.198,0.614,0.728,0.717,0.193,0.587
351,0.250,0.732,0.199,0.614,0.728,0.717,0.194,0.587
352,0.251,0.732,0.200,0.615,0.729,0.717,0.195,0.587
353,0.252,0.733,0.201,0.615,0.729,0.718,0.197,0.587
354,0.252,0.733,0.201,0.616,0.730,0.718,0.197,0.588
355,0.253,0.733,0.202,0.617,0.730,0.718,0.198,0.589
356,0.254,0.733,0.204,0.618,0.731,0.718,0.200,0.589
357,0.255,0.734,0.204,0.618,0.731,0.718,0.200,0.590
358,0.256,0.734,0.205,0.619,0.731,0.718,0.201,0.590
359,0.257,0.735,0.206,0.620,0.732,0.719,0.202,0.590
360,0.257,0.735,0.206,0.620,0.732,0.719,0.203,0.591
361,0.258,0.735,0.207,0.621,0.733,0.719,0.203,0.591
362,0.259,0.735,0.208,0.622,0.734,0.719,0.204,0.591
363,0.260,0.736,0.209,0.622,0.734,0.719,0.205,0.592
364,0.261,0.736,0.210,0.623,0.735,0.720,0.206,0.592
365,0.262,0.736,0.210,0.623,0.735,0.721,0.207,0.593
366,0.263,0.737,0.211,0.624,0.736,0.721,0.208,0.593
367,0.263,0.737,0.212,0.625,0.736,0.721,0.209,0.594
368,0.264,0.737,0.212,0.625,0.736,0.721,0.209,0.594
369,0.265,0.737,0.213,0.626,0.737,0.721,0.210,0.595
370,0.266,0.738,0.214,0.626,0.737,0.721,0.211,0.595
371,0.267,0.738,0.215,0.627,0.738,0.721,0.212,0.596
372,0.267,0.738,0.215,0.628,0.738,0.721,0.213,0.596
373,0.269,0.739,0.217,0.628,0.739,0.722,0.215,0.597
374,0.270,0.739,0.218,0.629,0.739,0.722,0.216,0.598
375,0.271,0.739,0.218,0.630,0.740,0.722,0.217,0.599
376,0.272,0.740,0.219,0.631,0.740,0.723,0.218,0.599
377,0.273,0.740,0.220,0.632,0.741,0.723,0.220,0.600
378,0.274,0.740,0.221,0.632,0.741,0.723,0.221,0.601
379,0.276,0.741,0.222,0.633,0.742,0.724,0.222,0.602
380,0.276,0.741,0.223,0.634,0.742,0.724,0.224,0.603
381,0.278,0.742,0.224,0.635,0.743,0.724,0.225,0.604
382,0.279,0.742,0.225,0.636,0.744,0.725,0.227,0.605
383,0.280,0.743,0.226,0.637,0.744,0.725,0.228,0.606
384,0.281,0.743,0.227,0.637,0.744,0.725,0.229,0.606
385,0.282,0.743,0.228,0.638,0.745,0.725,0.230,0.607
386,0.283,0.743,0.229,0.639,0.746,0.725,0.231,0.608
387,0.284,0.744,0.230,0.640,0.746,0.726,0.233,0.609
388,0.285,0.744,0.231,0.641,0.746,0.726,0.234,0.609
389,0.286,0.744,0.231,0.641,0.747,0.726,0.235,0.610
390,0.287,0.745,0.232,0.642,0.747,0.727,0.236,0.611
391,0.288,0.745,0.233,0.642,0.748,0.727,0.237,0.612
392,0.288,0.745,0.234,0.643,0.748,0.726,0.237,0.612
393,0.289,0.745,0.234,0.644,0.748,0.727,0.238,0.612
394,0.290,0.746,0.235,0.645,0.749,0.727,0.239,0.613
395,0.290,0.746,0.236,0.645,0.749,0.727,0.240,0.613
396,0.291,0.747,0.237,0.646,0.750,0.727,0.241,0.614
397,0.292,0.747,0.237,0.646,0.750,0.727,0.241,0.614
398,0.292,0.747,0.238,0.647,0.751,0.728,0.242,0.615
399,0.292,0.747,0.238,0.647,0.751,0.728,0.242,0.615
400,0.293,0.747,0.239,0.648,0.751,0.728,0.243,0.615
401,0.294,0.747,0.239,0.648,0.751,0.728,0.244,0.615
402,0.294,0.747,0.240,0.649,0.752,0.728,0.244,0.616
403,0.294,0.748,0.240,0.649,0.752,0.728,0.244,0.616
404,0.295,0.748,0.241,0.650,0.752,0.728,0.245,0.616
405,0.295,0.748,0.241,0.650,0.752,0.728,0.245,0.617
406,0.296,0.748,0.242,0.650,0.752,0.728,0.246,0.617
407,0.296,0.748,0.242,0.651,0.753,0.729,0.247,0.617
408,0.297,0.748,0.243,0.651,0.753,0.729,0.247,0.618
409,0.297,0.749,0.243,0.652,0.753,0.729,0.247,0.618
410,0.298,0.749,0.244,0.652,0.754,0.729,0.248,0.618
411,0.298,0.749,0.244,0.652,0.754,0.729,0.249,0.618
412,0.299,0.749,0.245,0.653,0.754,0.729,0.249,0.619
413,0.299,0.749,0.245,0.654,0.754,0.729,0.250,0.619
414,0.300,0.750,0.246,0.654,0.755,0.729,0.250,0.619
415,0.300,0.750,0.246,0.654,0.755,0.729,0.251,0.620
416,0.301,0.750,0.247,0.655,0.755,0.729,0.251,0.620
417,0.301,0.750,0.247,0.655,0.755,0.730,0.252,0.620
418,0.301,0.750,0.248,0.655,0.756,0.730,0.252,0.620
419,0.302,0.750,0.248,0.656,0.756,0.730,0.253,0.621
420,0.302,0.751,0.249,0.656,0.756,0.730,0.253,0.621
421,0.303,0.751,0.249,0.657,0.756,0.730,0.254,0.621
422,0.303,0.751,0.250,0.657,0.757,0.730,0.254,0.621
423,0.303,0.751,0.250,0.658,0.757,0.730,0.255,0.622
424,0.304,0.751,0.251,0.658,0.757,0.730,0.255,0.622
425,0.304,0.751,0.251,0.658,0.757,0.730,0.256,0.622
426,0.304,0.751,0.252,0.659,0.757,0.730,0.256,0.622
427,0.305,0.751,0.252,0.659,0.758,0.730,0.257,0.622
428,0.305,0.752,0.253,0.659,0.758,0.730,0.257,0.623
429,0.305,0.752,0.253,0.660,0.758,0.730,0.257,0.623
430,0.306,0.752,0.254,0.660,0.758,0.731,0.258,0.623
431,0.306,0.752,0.254,0.661,0.759,0.731,0.258,0.623
432,0.306,0.752,0.255,0.661,0.759,0.731,0.259,0.624
433,0.307,0.752,0.255,0.661,0.759,0.731,0.259,0.624
434,0.307,0.752,0.256,0.662,0.759,0.731,0.260,0.624
435,0.307,0.752,0.256,0.662,0.759,0.731,0.260,0.624
436,0.308,0.752,0.257,0.662,0.760,0.731,0.260,0.624
437,0.308,0.752,0.257,0.663,0.760,0.731,0.261,0.624
438,0.308,0.753,0.257,0.663,0.760,0.731,0.261,0.625
439,0.308,0.753,0.258,0.663,0.760,0.731,0.261,0.625
440,0.309,0.753,0.258,0.664,0.760,0.731,0.262,0.625
441,0.309,0.753,0.259,0.664,0.761,0.731,0.262,0.625
442,0.309,0.753,0.259,0.664,0.761,0.731,0.262,0.625
443,0.309,0.753,0.260,0.665,0.761,0.731,0.263,0.626
444,0.309,0.753,0.260,0.665,0.761,0.731,0.263,0.626
445,0.310,0.753,0.261,0.665,0.761,0.731,0.263,0.626
446,0.310,0.753,0.261,0.666,0.761,0.731,0.264,0.626
447,0.310,0.754,0.262,0.666,0.762,0.731,0.264,0.626
448,0.310,0.754,0.262,0.666,0.762,0.731,0.264,0.626
449,0.310,0.754,0.262,0.666,0.762,0.732,0.265,0.626
450,0.311,0.754,0.263,0.667,0.762,0.731,0.265,0.626
451,0.311,0.754,0.263,0.667,0.762,0.732,0.265,0.627
452,0.311,0.754,0.263,0.667,0.762,0.732,0.265,0.627
453,0.311,0.754,0.264,0.668,0.763,0.732,0.266,0.627
454,0.311,0.754,0.264,0.668,0.763,0.732,0.266,0.627
455,0.312,0.754,0.265,0.668,0.763,0.732,0.266,0.627
456,0.312,0.754,0.265,0.668,0.763,0.732,0.266,0.627
457,0.312,0.754,0.265,0.668,0.763,0.732,0.266,0.627
458,0.312,0.754,0.266,0.668,0.763,0.732,0.267,0.627
459,0.312,0.754,0.266,0.669,0.763,0.732,0.267,0.627
460,0.312,0.754,0.266,0.669,0.763,0.732,0.267,0.627
461,0.312,0.755,0.267,0.669,0.764,0.732,0.268,0.628
462,0.313,0.755,0.267,0.669,0.764,0.732,0.268,0.628
463,0.313,0.755,0.267,0.670,0.764,0.732,0.268,0.628
464,0.313,0.755,0.268,0.670,0.764,0.732,0.268,0.628
465,0.313,0.755,0.268,0.670,0.764,0.732,0.268,0.628
466,0.313,0.755,0.268,0.670,0.764,0.732,0.268,0.628
467,0.313,0.755,0.268,0.670,0.764,0.732,0.269,0.628
468,0.313,0.755,0.269,0.670,0.764,0.732,0.269,0.628
