Start time (UTC), 0736 
 Sky conditions, CO-SDV 
 Other notes, BOP: Maddie (ASD) Amy (NIR/uCT/snow sampling/photos). FYI: ASD @ position 1 snowpit working towards left w/ half 'optics core'.  Destructive sampling at RBB. Note: ASD data at RBB has some signal of specular reflection on wet surfaces resulting in albedo increases.  
 Ship latitude, 79.63631
 Ship longitude, -2.24746
Position, A1, A2, A3, A4, B1, B2, B3, B4
Surface type, S, S, S, S, S, S, S, S
Surface thickness (cm), 1.5, 1.0, 1.5, 3.0, 2.0, 1.0, 1.5, 2.0
Notes,         undisturbed,         undisturbed,         undisturbed,        SSL sampling,        SSL sampling,                 NaN,                 NaN, depression w/ crack
Change in incident (%),10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.745,0.790,0.796,0.757,0.747,0.791,0.808,0.729
351,0.745,0.791,0.796,0.757,0.747,0.792,0.809,0.729
352,0.746,0.792,0.796,0.758,0.748,0.793,0.809,0.729
353,0.746,0.792,0.797,0.758,0.748,0.794,0.810,0.729
354,0.747,0.793,0.798,0.758,0.749,0.794,0.810,0.729
355,0.747,0.794,0.798,0.758,0.749,0.795,0.810,0.730
356,0.748,0.795,0.799,0.758,0.750,0.795,0.811,0.730
357,0.748,0.795,0.799,0.759,0.750,0.796,0.812,0.730
358,0.749,0.796,0.799,0.758,0.750,0.796,0.813,0.730
359,0.749,0.796,0.800,0.758,0.751,0.797,0.813,0.731
360,0.749,0.797,0.800,0.759,0.751,0.798,0.813,0.731
361,0.750,0.797,0.801,0.759,0.752,0.799,0.814,0.731
362,0.750,0.798,0.801,0.759,0.752,0.799,0.814,0.731
363,0.751,0.798,0.802,0.760,0.752,0.800,0.815,0.731
364,0.751,0.799,0.802,0.760,0.752,0.800,0.815,0.731
365,0.752,0.800,0.803,0.760,0.753,0.801,0.816,0.732
366,0.752,0.800,0.803,0.760,0.753,0.801,0.816,0.732
367,0.753,0.801,0.803,0.760,0.754,0.802,0.817,0.732
368,0.753,0.801,0.804,0.760,0.754,0.802,0.817,0.732
369,0.753,0.801,0.804,0.760,0.755,0.803,0.818,0.732
370,0.754,0.802,0.805,0.761,0.755,0.803,0.818,0.732
371,0.754,0.803,0.805,0.760,0.755,0.803,0.819,0.732
372,0.755,0.803,0.805,0.761,0.755,0.804,0.819,0.733
373,0.755,0.804,0.806,0.761,0.756,0.805,0.820,0.733
374,0.755,0.805,0.807,0.761,0.756,0.805,0.820,0.733
375,0.756,0.805,0.807,0.761,0.756,0.806,0.821,0.733
376,0.756,0.806,0.808,0.761,0.756,0.807,0.821,0.733
377,0.757,0.807,0.808,0.762,0.757,0.808,0.822,0.733
378,0.757,0.808,0.808,0.762,0.757,0.808,0.822,0.733
379,0.758,0.808,0.809,0.762,0.757,0.808,0.822,0.733
380,0.758,0.809,0.809,0.762,0.758,0.809,0.823,0.733
381,0.759,0.809,0.810,0.762,0.759,0.809,0.824,0.734
382,0.759,0.810,0.811,0.762,0.759,0.810,0.824,0.734
383,0.760,0.811,0.811,0.762,0.759,0.811,0.825,0.734
384,0.761,0.811,0.812,0.763,0.759,0.812,0.825,0.734
385,0.761,0.812,0.812,0.763,0.760,0.812,0.826,0.734
386,0.762,0.813,0.812,0.764,0.760,0.813,0.827,0.734
387,0.763,0.813,0.814,0.764,0.760,0.813,0.827,0.734
388,0.763,0.814,0.814,0.764,0.761,0.814,0.828,0.734
389,0.763,0.814,0.814,0.764,0.761,0.815,0.828,0.734
390,0.764,0.815,0.815,0.764,0.761,0.815,0.829,0.735
391,0.765,0.816,0.816,0.765,0.762,0.816,0.829,0.735
392,0.765,0.817,0.816,0.765,0.762,0.816,0.830,0.735
393,0.766,0.817,0.817,0.765,0.762,0.817,0.830,0.735
394,0.767,0.818,0.817,0.765,0.763,0.817,0.831,0.735
395,0.767,0.819,0.818,0.765,0.763,0.818,0.831,0.735
396,0.767,0.819,0.818,0.765,0.763,0.818,0.832,0.735
397,0.768,0.820,0.819,0.766,0.763,0.819,0.832,0.735
398,0.769,0.820,0.819,0.766,0.764,0.819,0.833,0.735
399,0.769,0.821,0.820,0.766,0.764,0.820,0.833,0.735
400,0.770,0.822,0.820,0.766,0.764,0.820,0.833,0.735
401,0.770,0.822,0.821,0.766,0.765,0.821,0.833,0.735
402,0.771,0.823,0.821,0.766,0.765,0.821,0.833,0.735
403,0.771,0.823,0.821,0.766,0.765,0.821,0.834,0.735
404,0.772,0.823,0.822,0.767,0.765,0.822,0.834,0.735
405,0.773,0.824,0.822,0.767,0.765,0.822,0.834,0.735
406,0.773,0.825,0.823,0.767,0.765,0.823,0.835,0.735
407,0.774,0.825,0.823,0.767,0.766,0.823,0.835,0.735
408,0.774,0.826,0.824,0.767,0.766,0.824,0.836,0.735
409,0.775,0.826,0.824,0.768,0.766,0.824,0.836,0.735
410,0.775,0.827,0.825,0.768,0.766,0.825,0.837,0.735
411,0.776,0.827,0.825,0.768,0.767,0.825,0.837,0.735
412,0.776,0.828,0.826,0.768,0.767,0.825,0.837,0.735
413,0.777,0.828,0.826,0.768,0.767,0.826,0.838,0.735
414,0.777,0.829,0.826,0.768,0.767,0.827,0.838,0.735
415,0.777,0.829,0.827,0.769,0.768,0.827,0.838,0.735
416,0.778,0.830,0.827,0.769,0.768,0.827,0.839,0.735
417,0.779,0.830,0.827,0.769,0.768,0.828,0.839,0.735
418,0.779,0.831,0.828,0.769,0.768,0.828,0.839,0.735
419,0.779,0.832,0.828,0.769,0.768,0.829,0.840,0.735
420,0.780,0.832,0.828,0.769,0.769,0.829,0.840,0.735
421,0.780,0.832,0.829,0.769,0.769,0.829,0.840,0.735
422,0.780,0.833,0.829,0.769,0.769,0.830,0.841,0.735
423,0.781,0.833,0.829,0.769,0.769,0.830,0.841,0.735
