Start time (UTC), 0850 
 Sky conditions, CO-SDV 
 Other notes, BOP: Maddie (ASD) Amy (NIR/uCT/snow sampling/photos). FYI: ASD @ position 1 snowpit working towards left w/ half 'optics core'.  Destructive sampling at RBB. Note: ASD data at RBB has some signal of specular reflection on wet surfaces resulting in albedo increases.  
 Ship latitude, 79.62702
 Ship longitude, -2.24956
Position, 1, 2, 3, 4
Surface type, NaN, NaN, NaN, NaN
Surface thickness (cm),NaN,NaN,NaN,NaN
Notes,                     snowpit location,                   at FYI coring site,                   at FYI coring site, at FYI coring site. near optics core
Change in incident (%),0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3
350,0.664,0.695,0.709,0.709
351,0.665,0.695,0.708,0.708
352,0.664,0.695,0.707,0.708
353,0.661,0.693,0.708,0.712
354,0.663,0.695,0.709,0.711
355,0.664,0.696,0.709,0.711
356,0.663,0.696,0.708,0.711
357,0.665,0.693,0.708,0.709
358,0.665,0.693,0.709,0.710
359,0.665,0.694,0.710,0.711
360,0.665,0.695,0.709,0.711
361,0.665,0.695,0.708,0.711
362,0.665,0.695,0.709,0.712
363,0.665,0.695,0.710,0.712
364,0.666,0.694,0.710,0.713
365,0.666,0.696,0.711,0.713
366,0.666,0.695,0.710,0.713
367,0.665,0.695,0.709,0.713
368,0.665,0.696,0.711,0.712
369,0.666,0.696,0.710,0.713
370,0.666,0.696,0.710,0.713
371,0.666,0.696,0.711,0.714
372,0.667,0.696,0.712,0.713
373,0.668,0.696,0.712,0.714
374,0.668,0.696,0.712,0.715
375,0.667,0.697,0.713,0.716
376,0.668,0.698,0.713,0.716
377,0.669,0.698,0.713,0.717
378,0.670,0.698,0.714,0.718
379,0.670,0.700,0.714,0.718
380,0.669,0.699,0.715,0.718
381,0.669,0.700,0.715,0.719
382,0.670,0.701,0.715,0.720
383,0.671,0.701,0.716,0.722
384,0.672,0.702,0.716,0.722
385,0.673,0.703,0.716,0.722
386,0.672,0.703,0.716,0.722
387,0.673,0.703,0.717,0.722
388,0.674,0.703,0.717,0.723
389,0.674,0.702,0.717,0.723
390,0.674,0.702,0.718,0.723
391,0.674,0.703,0.717,0.723
392,0.674,0.704,0.717,0.723
393,0.674,0.703,0.717,0.723
394,0.674,0.704,0.718,0.724
395,0.675,0.704,0.719,0.724
396,0.675,0.705,0.719,0.724
397,0.675,0.706,0.719,0.724
398,0.675,0.706,0.719,0.725
399,0.674,0.706,0.718,0.725
400,0.674,0.705,0.718,0.725
401,0.676,0.705,0.719,0.725
402,0.676,0.706,0.719,0.725
403,0.676,0.706,0.719,0.726
404,0.676,0.706,0.719,0.726
405,0.676,0.707,0.719,0.725
406,0.675,0.708,0.719,0.726
407,0.675,0.708,0.720,0.726
408,0.676,0.707,0.719,0.726
409,0.676,0.708,0.720,0.726
410,0.676,0.709,0.720,0.726
411,0.676,0.709,0.719,0.727
412,0.676,0.708,0.719,0.727
413,0.676,0.708,0.720,0.727
414,0.676,0.709,0.720,0.727
415,0.676,0.709,0.720,0.727
416,0.677,0.709,0.720,0.727
417,0.677,0.709,0.720,0.727
418,0.677,0.709,0.720,0.727
419,0.677,0.709,0.720,0.727
420,0.677,0.709,0.720,0.728
421,0.678,0.709,0.720,0.728
422,0.677,0.709,0.721,0.728
423,0.677,0.710,0.721,0.728
424,0.677,0.710,0.721,0.728
425,0.677,0.710,0.721,0.728
426,0.677,0.710,0.720,0.728
427,0.678,0.710,0.720,0.729
428,0.678,0.710,0.721,0.728
429,0.678,0.710,0.721,0.728
430,0.678,0.710,0.720,0.728
431,0.678,0.710,0.721,0.729
432,0.678,0.710,0.721,0.729
433,0.678,0.710,0.721,0.729
434,0.678,0.710,0.721,0.729
435,0.678,0.710,0.721,0.729
436,0.678,0.709,0.721,0.729
437,0.678,0.710,0.721,0.729
438,0.678,0.710,0.721,0.729
439,0.678,0.709,0.721,0.729
440,0.678,0.709,0.721,0.729
441,0.678,0.709,0.721,0.729
442,0.678,0.710,0.721,0.729
443,0.678,0.710,0.721,0.729
444,0.678,0.710,0.721,0.729
445,0.678,0.710,0.721,0.729
446,0.678,0.710,0.721,0.730
447,0.678,0.710,0.722,0.730
448,0.678,0.710,0.722,0.730
449,0.678,0.710,0.721,0.730
450,0.678,0.710,0.721,0.730
451,0.678,0.710,0.721,0.730
452,0.678,0.710,0.721,0.730
453,0.678,0.710,0.721,0.730
454,0.678,0.710,0.721,0.730
455,0.678,0.710,0.721,0.730
456,0.678,0.710,0.721,0.730
457,0.678,0.710,0.721,0.730
458,0.678,0.710,0.721,0.730
459,0.678,0.709,0.721,0.730
460,0.678,0.710,0.721,0.730
461,0.678,0.709,0.721,0.730
462,0.678,0.709,0.721,0.730
463,0.678,0.710,0.722,0.730
464,0.679,0.709,0.721,0.730
465,0.678,0.709,0.721,0.730
466,0.678,0.709,0.722,0.730
467,0.679,0.709,0.722,0.730
468,0.678,0.710,0.721,0.730
469,0.678,0.710,0.721,0.730
470,0.678,0.710,0.721,0.730
471,0.678,0.709,0.722,0.731
472,0.678,0.710,0.721,0.730
473,0.678,0.710,0.721,0.730
474,0.678,0.709,0.721,0.730
475,0.678,0.709,0.722,0.730
476,0.678,0.710,0.722,0.731
477,0.678,0.710,0.722,0.731
478,0.678,0.709,0.722,0.731
479,0.678,0.709,0.721,0.730
480,0.678,0.709,0.721,0.731
481,0.678,0.709,0.721,0.731
482,0.678,0.709,0.721,0.730
483,0.678,0.709,0.721,0.730
484,0.678,0.709,0.721,0.731
485,0.678,0.709,0.721,0.730
486,0.678,0.709,0.721,0.730
487,0.678,0.709,0.721,0.730
488,0.677,0.709,0.721,0.730
489,0.678,0.709,0.721,0.730
490,0.678,0.708,0.721,0.730
491,0.677,0.708,0.721,0.730
492,0.677,0.708,0.721,0.730
493,0.677,0.708,0.721,0.730
494,0.677,0.709,0.721,0.730
495,0.677,0.708,0.721,0.730
496,0.677,0.708,0.721,0.730
497,0.677,0.708,0.720,0.730
498,0.677,0.708,0.721,0.730
499,0.677,0.708,0.721,0.730
500,0.677,0.708,0.720,0.729
501,0.677,0.708,0.720,0.730
502,0.677,0.708,0.720,0.729
503,0.677,0.708,0.720,0.729
504,0.677,0.707,0.720,0.729
505,0.676,0.707,0.720,0.729
506,0.676,0.707,0.720,0.729
507,0.676,0.707,0.720,0.729
508,0.676,0.707,0.720,0.729
509,0.676,0.707,0.720,0.729
510,0.676,0.707,0.720,0.729
511,0.675,0.707,0.719,0.728
512,0.675,0.707,0.719,0.728
513,0.675,0.706,0.719,0.728
514,0.675,0.706,0.719,0.728
515,0.675,0.706,0.719,0.728
516,0.675,0.706,0.719,0.728
517,0.675,0.706,0.719,0.728
518,0.675,0.706,0.719,0.728
519,0.675,0.706,0.719,0.728
520,0.675,0.706,0.719,0.728
521,0.674,0.706,0.719,0.728
522,0.674,0.706,0.718,0.728
523,0.674,0.705,0.718,0.728
524,0.674,0.705,0.718,0.728
525,0.674,0.705,0.718,0.727
526,0.674,0.705,0.718,0.727
527,0.674,0.705,0.718,0.727
528,0.674,0.705,0.718,0.727
529,0.674,0.705,0.717,0.727
530,0.673,0.704,0.717,0.727
531,0.673,0.704,0.717,0.727
532,0.673,0.704,0.717,0.726
533,0.673,0.704,0.717,0.726
534,0.673,0.704,0.717,0.726
535,0.673,0.704,0.717,0.726
536,0.673,0.704,0.717,0.726
537,0.672,0.703,0.717,0.726
538,0.672,0.703,0.716,0.726
539,0.672,0.703,0.716,0.725
540,0.672,0.703,0.716,0.725
541,0.672,0.703,0.716,0.725
542,0.672,0.703,0.716,0.725
543,0.671,0.703,0.715,0.725
544,0.671,0.702,0.715,0.724
545,0.671,0.702,0.715,0.724
546,0.671,0.702,0.715,0.724
547,0.671,0.702,0.715,0.724
548,0.670,0.702,0.715,0.724
549,0.670,0.702,0.715,0.723
550,0.670,0.701,0.714,0.723
551,0.670,0.701,0.714,0.723
552,0.669,0.701,0.714,0.723
553,0.669,0.701,0.714,0.723
