Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Maddie (ASD then Kipps then photos but no notes). New ROV location away from edge. Many of ponds melting through and expanding into previously bare areas.  
 Ship latitude, 79.40207
 Ship longitude, -2.73756
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,              uneven,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,                 NaN,         green/algae,                 NaN,                 NaN,                 NaN,         now ponded ,                 NaN,                 NaN,                 NaN, pond melted through,                 NaN,                 NaN,      light sediment,                 NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29
350,0.559,0.322,0.607,0.649,0.463,0.132,0.553,0.505,0.567,0.317,0.164,0.551,0.598,0.378,0.260,0.135,0.315,0.148,0.144,0.593,0.539,0.222,0.580,0.260,0.216,0.143,0.311,0.645,0.590,0.638
351,0.560,0.323,0.608,0.649,0.463,0.132,0.553,0.505,0.567,0.317,0.165,0.551,0.598,0.379,0.261,0.135,0.315,0.148,0.144,0.594,0.540,0.222,0.580,0.260,0.217,0.144,0.311,0.645,0.591,0.638
352,0.560,0.323,0.609,0.649,0.463,0.133,0.553,0.505,0.567,0.318,0.165,0.552,0.598,0.379,0.261,0.136,0.315,0.149,0.144,0.594,0.541,0.222,0.580,0.260,0.217,0.144,0.312,0.645,0.591,0.638
353,0.561,0.323,0.609,0.650,0.463,0.133,0.553,0.506,0.568,0.318,0.166,0.552,0.598,0.379,0.261,0.136,0.316,0.150,0.145,0.595,0.541,0.223,0.581,0.261,0.218,0.144,0.313,0.645,0.591,0.638
354,0.560,0.324,0.609,0.650,0.464,0.133,0.554,0.506,0.568,0.319,0.166,0.552,0.598,0.379,0.262,0.136,0.317,0.150,0.145,0.595,0.541,0.224,0.581,0.262,0.218,0.145,0.313,0.646,0.592,0.639
355,0.561,0.325,0.610,0.650,0.464,0.134,0.554,0.507,0.568,0.319,0.166,0.553,0.599,0.380,0.263,0.137,0.317,0.150,0.145,0.596,0.542,0.224,0.581,0.262,0.218,0.146,0.314,0.646,0.593,0.639
356,0.562,0.326,0.610,0.651,0.464,0.135,0.554,0.507,0.568,0.320,0.167,0.553,0.600,0.380,0.263,0.137,0.318,0.151,0.146,0.596,0.542,0.225,0.582,0.263,0.219,0.146,0.315,0.647,0.593,0.639
357,0.562,0.327,0.610,0.652,0.465,0.135,0.555,0.507,0.569,0.321,0.167,0.554,0.600,0.381,0.264,0.138,0.319,0.151,0.147,0.597,0.543,0.225,0.583,0.263,0.220,0.147,0.316,0.647,0.594,0.640
358,0.562,0.327,0.611,0.652,0.465,0.135,0.555,0.508,0.569,0.321,0.168,0.554,0.600,0.382,0.264,0.138,0.320,0.152,0.147,0.597,0.543,0.226,0.583,0.264,0.220,0.147,0.316,0.648,0.594,0.641
359,0.563,0.328,0.612,0.652,0.465,0.136,0.556,0.508,0.569,0.322,0.168,0.554,0.600,0.382,0.265,0.139,0.320,0.152,0.148,0.597,0.543,0.226,0.583,0.264,0.220,0.147,0.317,0.648,0.595,0.641
360,0.563,0.328,0.612,0.652,0.466,0.137,0.556,0.508,0.570,0.322,0.169,0.554,0.600,0.382,0.266,0.139,0.321,0.152,0.148,0.598,0.543,0.226,0.584,0.264,0.221,0.148,0.317,0.649,0.595,0.641
361,0.564,0.328,0.612,0.652,0.466,0.137,0.556,0.509,0.570,0.322,0.169,0.555,0.601,0.383,0.266,0.140,0.321,0.153,0.148,0.598,0.544,0.227,0.584,0.265,0.221,0.148,0.318,0.649,0.596,0.641
362,0.564,0.329,0.613,0.653,0.466,0.138,0.557,0.509,0.571,0.323,0.170,0.555,0.601,0.383,0.267,0.140,0.322,0.153,0.149,0.599,0.544,0.227,0.584,0.266,0.222,0.149,0.318,0.649,0.596,0.641
