Start time (UTC), 1152 
 Sky conditions, CO-SDNV 
 Other notes, Maddie (ASD) Ian (Kipps) Luisa (photos/notes).  
 Ship latitude, 79.18676
 Ship longitude, -2.59011
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200
Surface type,   S,   S,   S,   P,   S,   S,   P,   S,   S,   S,   S,   S,   S,   S,   P,   S,   S,   P,   P,   P,   S,   P,   S, S/P,   S,   S, S/P,   P,   S,   P,   P,   S,   S,   S,   P,   P,   S,   S,   S,   S,   S
Surface thickness (cm),  3,  3,  2, 18,  3,  2, 35,  6,  3,  4,  2,  1,  3,  2, 28,  1,  2, 10, 10, 11,  1, 14,  2,  1,  2,  3,  4, 16,  2,  5, 16,  2,  1,  2, 16, 17,  2,  1,  2,  2,  1
Notes,                    NaN,                    NaN,                   edge,                    NaN,    marker fallen over ,                   edge,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                   pond,                    NaN,                    NaN,                    NaN,                    NaN,                   edge, *possible library site,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
Change in incident (%),10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28,Albedo29,Albedo30,Albedo31,Albedo32,Albedo33,Albedo34,Albedo35,Albedo36,Albedo37,Albedo38,Albedo39,Albedo40
350,0.709,0.673,0.442,0.237,0.438,0.389,0.276,0.717,0.643,0.701,0.670,0.673,0.678,0.699,0.276,0.628,0.631,0.161,0.158,0.161,0.552,0.172,0.558,0.519,0.637,0.472,0.526,0.254,0.681,0.261,0.401,0.750,0.555,0.667,0.422,0.192,0.714,0.754,0.719,0.748,0.731
351,0.710,0.673,0.443,0.238,0.439,0.390,0.278,0.717,0.644,0.701,0.671,0.674,0.679,0.700,0.277,0.628,0.632,0.161,0.159,0.161,0.553,0.172,0.559,0.519,0.638,0.473,0.527,0.254,0.682,0.261,0.401,0.749,0.555,0.666,0.422,0.192,0.715,0.755,0.719,0.748,0.732
352,0.711,0.674,0.444,0.238,0.440,0.390,0.279,0.718,0.645,0.702,0.672,0.675,0.680,0.701,0.278,0.628,0.632,0.162,0.159,0.162,0.554,0.172,0.560,0.519,0.638,0.474,0.528,0.255,0.682,0.261,0.401,0.750,0.555,0.666,0.422,0.192,0.715,0.755,0.719,0.748,0.732
353,0.711,0.675,0.445,0.239,0.441,0.391,0.281,0.718,0.646,0.702,0.673,0.676,0.680,0.701,0.279,0.629,0.632,0.162,0.159,0.162,0.554,0.173,0.560,0.520,0.639,0.475,0.529,0.255,0.683,0.261,0.402,0.750,0.555,0.666,0.423,0.193,0.715,0.755,0.719,0.748,0.732
354,0.711,0.675,0.446,0.240,0.442,0.393,0.282,0.719,0.647,0.703,0.674,0.676,0.681,0.702,0.280,0.629,0.633,0.163,0.160,0.162,0.555,0.174,0.561,0.520,0.640,0.476,0.530,0.257,0.683,0.262,0.402,0.750,0.556,0.666,0.423,0.193,0.715,0.755,0.720,0.748,0.732
355,0.712,0.676,0.448,0.241,0.442,0.394,0.283,0.720,0.647,0.703,0.674,0.677,0.681,0.703,0.281,0.630,0.633,0.163,0.161,0.162,0.555,0.174,0.561,0.521,0.641,0.477,0.531,0.258,0.684,0.262,0.403,0.750,0.556,0.667,0.424,0.193,0.716,0.755,0.720,0.749,0.733
356,0.712,0.676,0.449,0.243,0.443,0.395,0.285,0.720,0.648,0.703,0.675,0.678,0.682,0.703,0.282,0.630,0.633,0.164,0.161,0.163,0.556,0.175,0.562,0.521,0.642,0.478,0.531,0.259,0.684,0.262,0.404,0.750,0.556,0.667,0.424,0.194,0.716,0.756,0.720,0.749,0.733
357,0.713,0.677,0.451,0.244,0.444,0.396,0.287,0.721,0.649,0.704,0.676,0.679,0.682,0.704,0.283,0.630,0.634,0.164,0.161,0.163,0.556,0.175,0.563,0.522,0.643,0.479,0.532,0.260,0.684,0.263,0.404,0.750,0.556,0.668,0.424,0.194,0.716,0.756,0.720,0.749,0.733
358,0.713,0.677,0.452,0.244,0.445,0.398,0.288,0.722,0.649,0.704,0.677,0.680,0.683,0.705,0.284,0.630,0.634,0.164,0.162,0.164,0.557,0.175,0.563,0.522,0.644,0.480,0.533,0.260,0.685,0.263,0.405,0.750,0.556,0.668,0.424,0.195,0.716,0.756,0.720,0.749,0.733
359,0.714,0.678,0.453,0.245,0.445,0.399,0.290,0.722,0.650,0.705,0.678,0.680,0.683,0.706,0.285,0.630,0.634,0.165,0.162,0.164,0.557,0.176,0.564,0.522,0.644,0.481,0.533,0.261,0.685,0.263,0.405,0.751,0.556,0.668,0.424,0.195,0.716,0.756,0.720,0.749,0.733
360,0.714,0.678,0.454,0.246,0.446,0.400,0.291,0.723,0.651,0.705,0.678,0.681,0.684,0.707,0.286,0.630,0.634,0.165,0.162,0.164,0.557,0.177,0.564,0.523,0.645,0.482,0.534,0.262,0.685,0.263,0.405,0.751,0.556,0.667,0.425,0.195,0.717,0.756,0.720,0.748,0.734
361,0.715,0.679,0.455,0.247,0.447,0.401,0.293,0.723,0.651,0.706,0.679,0.682,0.684,0.707,0.287,0.631,0.634,0.166,0.162,0.164,0.558,0.176,0.564,0.523,0.647,0.483,0.535,0.263,0.686,0.263,0.406,0.751,0.556,0.667,0.425,0.195,0.717,0.756,0.720,0.749,0.734
362,0.715,0.679,0.457,0.248,0.448,0.402,0.294,0.724,0.652,0.706,0.680,0.682,0.685,0.708,0.288,0.631,0.635,0.166,0.163,0.165,0.558,0.177,0.565,0.524,0.648,0.484,0.536,0.264,0.686,0.263,0.406,0.751,0.556,0.668,0.425,0.196,0.717,0.756,0.720,0.749,0.734
363,0.716,0.679,0.458,0.249,0.449,0.403,0.296,0.725,0.653,0.707,0.681,0.683,0.686,0.709,0.290,0.631,0.635,0.166,0.164,0.165,0.559,0.178,0.565,0.524,0.648,0.485,0.537,0.265,0.686,0.263,0.407,0.751,0.557,0.668,0.425,0.196,0.717,0.756,0.720,0.750,0.734
364,0.716,0.680,0.459,0.250,0.450,0.404,0.297,0.725,0.653,0.707,0.681,0.683,0.686,0.710,0.291,0.631,0.635,0.167,0.164,0.166,0.560,0.178,0.566,0.525,0.649,0.486,0.537,0.265,0.687,0.263,0.407,0.752,0.557,0.668,0.426,0.197,0.718,0.756,0.720,0.749,0.734
365,0.716,0.680,0.460,0.251,0.451,0.405,0.298,0.725,0.654,0.707,0.682,0.684,0.687,0.710,0.292,0.632,0.635,0.168,0.164,0.166,0.560,0.179,0.566,0.525,0.650,0.487,0.538,0.266,0.687,0.264,0.408,0.751,0.557,0.668,0.426,0.197,0.718,0.757,0.721,0.749,0.734
366,0.717,0.681,0.461,0.252,0.451,0.407,0.300,0.726,0.655,0.708,0.683,0.685,0.687,0.711,0.292,0.632,0.635,0.168,0.164,0.167,0.560,0.179,0.567,0.525,0.651,0.488,0.539,0.267,0.687,0.264,0.408,0.751,0.557,0.668,0.426,0.197,0.718,0.757,0.721,0.749,0.734
367,0.717,0.682,0.463,0.253,0.452,0.408,0.302,0.727,0.655,0.708,0.684,0.686,0.688,0.711,0.293,0.632,0.635,0.169,0.165,0.167,0.561,0.180,0.567,0.526,0.651,0.489,0.540,0.268,0.687,0.264,0.408,0.752,0.557,0.668,0.426,0.198,0.718,0.757,0.721,0.749,0.735
368,0.717,0.682,0.464,0.254,0.453,0.409,0.303,0.727,0.656,0.708,0.684,0.686,0.688,0.712,0.294,0.632,0.636,0.169,0.165,0.167,0.561,0.180,0.567,0.526,0.653,0.490,0.540,0.269,0.688,0.264,0.408,0.752,0.557,0.668,0.426,0.198,0.718,0.756,0.721,0.749,0.735
369,0.718,0.683,0.465,0.255,0.454,0.410,0.304,0.727,0.656,0.709,0.685,0.687,0.689,0.713,0.295,0.632,0.636,0.170,0.166,0.168,0.562,0.181,0.568,0.526,0.653,0.491,0.541,0.269,0.688,0.264,0.409,0.751,0.557,0.668,0.426,0.198,0.719,0.757,0.721,0.749,0.735
