Start time (UTC), 1208 
 Sky conditions, nan 
 Other notes, Kinder line ends now at a shear zone after the 140m-stake. Diurnal freeze/thaw; small melt ponds freezing and w less water volume + larger ponds losing their lids due to melting.   
 Ship latitude, 87.76115
 Ship longitude, 106.06572
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, p, p, s, s, p, s, s, s, s, p, s, p, p, p, p, p, p, p, s, s, s, s, s, s, p, p, s, p
Surface thickness (cm), 16, 25, 31,  3,  4, 23,  3,  3,  3,  3, 24,  3, 35, 25, 37, 40, 37, 35, 25,  4,  2,  2,  3,  3,  4, 33, 32,  3, 24
Notes,       NaN, pond edge,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, pond edge,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.761,0.298,0.197,0.692,0.769,0.530,0.746,0.625,0.432,0.671,0.636,0.733,0.209,0.388,0.357,0.708,0.207,0.183,0.473,0.771,0.721,0.781,0.809,0.712,0.729,0.252,0.261,0.818,0.809
351,0.762,0.299,0.198,0.693,0.770,0.531,0.747,0.625,0.433,0.671,0.637,0.733,0.210,0.389,0.357,0.708,0.207,0.184,0.473,0.771,0.721,0.781,0.809,0.713,0.729,0.252,0.261,0.818,0.808
352,0.763,0.300,0.199,0.694,0.771,0.530,0.747,0.626,0.433,0.670,0.638,0.733,0.210,0.389,0.358,0.709,0.208,0.184,0.474,0.772,0.721,0.781,0.810,0.713,0.730,0.253,0.263,0.818,0.808
353,0.764,0.300,0.200,0.694,0.770,0.530,0.746,0.625,0.433,0.670,0.637,0.732,0.211,0.390,0.360,0.709,0.209,0.184,0.474,0.772,0.721,0.782,0.809,0.714,0.730,0.254,0.263,0.818,0.808
354,0.763,0.300,0.199,0.694,0.770,0.531,0.746,0.626,0.433,0.671,0.637,0.733,0.211,0.391,0.360,0.709,0.209,0.186,0.474,0.773,0.721,0.781,0.809,0.714,0.731,0.254,0.264,0.818,0.809
355,0.762,0.301,0.199,0.694,0.770,0.531,0.746,0.626,0.434,0.671,0.638,0.733,0.212,0.391,0.359,0.709,0.209,0.186,0.475,0.773,0.721,0.780,0.809,0.714,0.732,0.255,0.264,0.818,0.808
356,0.762,0.301,0.199,0.694,0.771,0.531,0.746,0.626,0.434,0.671,0.637,0.732,0.211,0.391,0.360,0.710,0.209,0.186,0.476,0.772,0.721,0.781,0.809,0.713,0.732,0.256,0.265,0.818,0.808
357,0.763,0.299,0.200,0.694,0.770,0.532,0.747,0.626,0.433,0.671,0.637,0.732,0.212,0.391,0.360,0.710,0.210,0.186,0.475,0.772,0.720,0.782,0.808,0.713,0.732,0.256,0.265,0.819,0.808
358,0.762,0.300,0.200,0.695,0.770,0.532,0.746,0.626,0.434,0.670,0.637,0.733,0.212,0.391,0.360,0.710,0.209,0.186,0.475,0.772,0.722,0.782,0.809,0.713,0.731,0.255,0.265,0.819,0.808
359,0.762,0.301,0.201,0.695,0.770,0.532,0.747,0.626,0.435,0.671,0.637,0.733,0.212,0.392,0.360,0.710,0.209,0.187,0.476,0.773,0.722,0.782,0.809,0.713,0.730,0.256,0.266,0.818,0.809
360,0.763,0.301,0.201,0.694,0.770,0.532,0.747,0.626,0.435,0.671,0.638,0.734,0.213,0.392,0.361,0.710,0.211,0.187,0.477,0.773,0.721,0.781,0.809,0.713,0.731,0.258,0.267,0.819,0.809
361,0.763,0.301,0.201,0.694,0.770,0.532,0.747,0.627,0.435,0.672,0.638,0.734,0.213,0.393,0.361,0.709,0.211,0.187,0.477,0.773,0.722,0.781,0.810,0.714,0.731,0.258,0.266,0.820,0.808
362,0.763,0.301,0.202,0.695,0.771,0.533,0.747,0.627,0.434,0.671,0.638,0.734,0.213,0.393,0.361,0.711,0.211,0.188,0.477,0.773,0.721,0.781,0.810,0.714,0.731,0.258,0.267,0.820,0.809
363,0.763,0.301,0.202,0.695,0.771,0.533,0.747,0.627,0.435,0.671,0.638,0.733,0.214,0.392,0.361,0.711,0.211,0.188,0.477,0.773,0.721,0.781,0.809,0.715,0.732,0.258,0.268,0.820,0.809
364,0.763,0.301,0.202,0.695,0.770,0.532,0.747,0.627,0.436,0.671,0.638,0.733,0.214,0.392,0.361,0.710,0.211,0.188,0.477,0.773,0.721,0.781,0.808,0.714,0.731,0.258,0.268,0.820,0.807
365,0.764,0.302,0.202,0.696,0.771,0.532,0.747,0.627,0.436,0.671,0.638,0.734,0.214,0.393,0.362,0.711,0.212,0.188,0.477,0.772,0.721,0.781,0.809,0.714,0.732,0.259,0.268,0.820,0.807
366,0.763,0.302,0.202,0.695,0.771,0.533,0.748,0.627,0.435,0.671,0.638,0.734,0.214,0.393,0.362,0.711,0.212,0.189,0.477,0.773,0.721,0.781,0.809,0.714,0.732,0.259,0.268,0.820,0.808
367,0.763,0.302,0.203,0.695,0.771,0.533,0.748,0.627,0.436,0.671,0.638,0.734,0.214,0.394,0.362,0.712,0.212,0.189,0.477,0.773,0.722,0.781,0.809,0.714,0.731,0.259,0.269,0.820,0.809
368,0.763,0.303,0.203,0.696,0.772,0.534,0.748,0.627,0.436,0.671,0.638,0.734,0.215,0.394,0.362,0.712,0.213,0.190,0.478,0.774,0.721,0.781,0.809,0.714,0.732,0.260,0.269,0.820,0.809
369,0.763,0.303,0.202,0.696,0.772,0.533,0.747,0.627,0.436,0.671,0.638,0.734,0.215,0.394,0.362,0.711,0.213,0.189,0.478,0.772,0.722,0.780,0.809,0.713,0.731,0.260,0.269,0.821,0.808
370,0.763,0.302,0.202,0.696,0.772,0.533,0.747,0.627,0.435,0.671,0.638,0.734,0.215,0.394,0.362,0.711,0.212,0.189,0.478,0.772,0.722,0.780,0.809,0.713,0.731,0.260,0.269,0.820,0.808
