Start time (UTC), 1410 
 Sky conditions, CO-SDNV 
 Other notes, aborted after 30m due to lack of time. Ponds refreezing with scant snowfall; NSDV. 
 Ship latitude, 87.76574
 Ship longitude, 105.47575
Position,  0,  5, 10, 15, 20, 25, 30
Surface type, s, s, p, p, s, s, s
Surface thickness (cm), 13,  9, 33, 22, 11,  9,  9
Notes,                                               NaN,                                               NaN,                                               NaN, pond/next to pond edge. Frozen with a 30cm wid...,                                               NaN,                                               NaN,                                               NaN
Change in incident (%),0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 20.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6
350,0.827,0.463,0.244,0.621,0.854,0.793,
351,0.827,0.463,0.244,0.621,0.855,0.794,
352,0.828,0.463,0.244,0.622,0.856,0.795,
353,0.829,0.463,0.246,0.622,0.854,0.796,
354,0.829,0.466,0.245,0.623,0.854,0.797,
355,0.829,0.466,0.245,0.623,0.854,0.796,
356,0.829,0.465,0.246,0.622,0.854,0.795,
357,0.830,0.465,0.246,0.623,0.855,0.795,
358,0.828,0.465,0.246,0.624,0.855,0.795,
359,0.828,0.465,0.246,0.624,0.854,0.796,
360,0.830,0.465,0.247,0.624,0.854,0.796,
361,0.829,0.466,0.247,0.623,0.855,0.796,
362,0.830,0.466,0.247,0.623,0.854,0.796,
363,0.830,0.466,0.247,0.624,0.854,0.796,
364,0.829,0.466,0.247,0.624,0.855,0.798,
365,0.829,0.466,0.247,0.624,0.855,0.796,
366,0.829,0.466,0.248,0.624,0.855,0.797,
367,0.829,0.466,0.249,0.623,0.855,0.797,
368,0.831,0.466,0.249,0.624,0.854,0.795,
369,0.830,0.467,0.248,0.625,0.855,0.797,
370,0.830,0.467,0.248,0.624,0.855,0.798,
371,0.830,0.467,0.248,0.624,0.854,0.798,
372,0.830,0.467,0.248,0.624,0.854,0.798,
373,0.830,0.467,0.248,0.624,0.854,0.797,
374,0.830,0.467,0.249,0.625,0.853,0.797,
