Start time (UTC), 1229 
 Sky conditions, sunny to foggy/sdv around 25 to nsdv at 40 
 Other notes, Melinda & Felix. Ponds refrozen with scant dusting of snow; SDV.  
 Ship latitude, 87.7816
 Ship longitude, 104.49022
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type,               s,               s,               s,               s,               s, frozenover pond,               s,               p,               p,               s,               s,               s,               s
Surface thickness (cm),  6,  6,  5,  5,  6,  0,  6, 37, 37,  7, 10,  5,  8
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),30.0, 20.0, 20.0, 30.0, 10.0, 30.0, 20.0, 20.0, 10.0, 10.0, 0.0, 0.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
350,,,,,,,0.885,0.220,0.217,0.841,0.871,0.897,0.898
351,,,,,,,0.884,0.221,0.218,0.842,0.871,0.897,0.898
352,,,,,,,0.884,0.221,0.219,0.842,0.871,0.896,0.898
353,,,,,,,0.885,0.222,0.220,0.841,0.871,0.895,0.898
354,,,,,,,0.885,0.223,0.221,0.842,0.871,0.896,0.898
355,,,,,,,0.885,0.223,0.221,0.842,0.871,0.896,0.898
356,,,,,,,0.885,0.224,0.221,0.842,0.872,0.897,0.897
357,,,,,,,0.885,0.224,0.222,0.841,0.872,0.898,0.898
358,,,,,,,0.886,0.223,0.222,0.842,0.872,0.897,0.898
359,,,,,,,0.886,0.224,0.222,0.842,0.872,0.897,0.898
360,,,,,,,0.885,0.225,0.224,0.843,0.872,0.898,0.897
361,,,,,,,0.885,0.226,0.224,0.842,0.871,0.898,0.898
362,,,,,,,0.885,0.226,0.224,0.843,0.871,0.898,0.898
363,,,,,,,0.886,0.227,0.225,0.843,0.872,0.898,0.898
364,,,,,,,0.886,0.227,0.225,0.842,0.872,0.898,0.898
