Start time (UTC), 0533 
 Sky conditions, sdv 
 Other notes, Melinda & Felix. Ponds refrozen with scant dusting of snow; SDV. Note: some signal of specular reflection on wet surfaces resulting in albedo increases.  
 Ship latitude, 87.77637
 Ship longitude, 104.85079
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, p
Surface thickness (cm),  7,  7, 29,  6,  7,  7,  7,  7,  6,  7, 34,  7, 32,  8, 43, 42, 38, 37, 39,  7,  6,  6,  7,  4,  6, 31, 33,  7, 27
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),20.0, 20.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 10.0, 20.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,,0.633,0.285,,,0.806,0.860,0.755,0.714,0.848,,0.766,0.296,0.606,0.279,,0.255,0.255,0.278,0.912,0.903,,0.911,0.897,0.899,0.297,0.312,0.910,
351,,0.634,0.286,,,0.806,0.860,0.755,0.714,0.848,,0.766,0.296,0.607,0.279,,0.255,0.256,0.279,0.912,0.903,,0.912,0.897,0.899,0.298,0.312,0.911,
352,,0.634,0.286,,,0.807,0.860,0.754,0.715,0.849,,0.766,0.297,0.607,0.280,,0.256,0.256,0.280,0.911,0.902,,0.912,0.896,0.900,0.299,0.313,0.911,
353,,0.637,0.287,,,0.807,0.860,0.754,0.716,0.849,,0.767,0.298,0.608,0.281,,0.256,0.257,0.281,0.912,0.903,,0.912,0.897,0.900,0.300,0.314,0.911,
354,,0.638,0.288,,,0.807,0.860,0.754,0.716,0.849,,0.767,0.298,0.609,0.281,,0.257,0.258,0.282,0.913,0.902,,0.911,0.896,0.900,0.301,0.315,0.911,
355,,0.639,0.289,,,0.808,0.861,0.755,0.717,0.849,,0.768,0.300,0.610,0.282,,0.258,0.259,0.283,0.913,0.901,,0.911,0.896,0.900,0.302,0.317,0.911,
356,,0.641,0.290,,,0.808,0.862,0.755,0.717,0.850,,0.769,0.301,0.610,0.283,,0.259,0.261,0.284,0.913,0.902,,0.911,0.896,0.900,0.303,0.317,0.911,
357,,0.643,0.291,,,0.808,0.862,0.755,0.717,0.851,,0.769,0.303,0.611,0.283,,0.260,0.263,0.285,0.913,0.902,,0.912,0.896,0.901,0.303,0.319,0.911,
358,,0.645,0.291,,,0.808,0.862,0.755,0.718,0.851,,0.769,0.304,0.611,0.283,,0.260,0.263,0.286,0.913,0.902,,0.912,0.897,0.901,0.304,0.319,0.912,
359,,0.646,0.291,,,0.809,0.863,0.756,0.719,0.852,,0.769,0.304,0.612,0.284,,0.261,0.263,0.287,0.913,0.902,,0.912,0.896,0.901,0.306,0.320,0.913,
360,,0.648,0.292,,,0.810,0.864,0.756,0.719,0.852,,0.770,0.305,0.613,0.285,,0.263,0.265,0.288,0.914,0.903,,0.912,0.896,0.901,0.306,0.322,0.912,
361,,0.650,0.293,,,0.809,0.864,0.756,0.719,0.852,,0.770,0.305,0.613,0.285,,0.262,0.266,0.288,0.915,0.903,,0.912,0.896,0.901,0.306,0.322,0.912,
362,,0.652,0.293,,,0.809,0.865,0.756,0.720,0.852,,0.771,0.306,0.614,0.285,,0.263,0.266,0.289,0.915,0.902,,0.912,0.896,0.902,0.307,0.324,0.912,
363,,0.653,0.294,,,0.810,0.865,0.756,0.720,0.853,,0.772,0.307,0.615,0.285,,0.264,0.267,0.290,0.915,0.902,,0.913,0.896,0.902,0.309,0.325,0.913,
364,,0.654,0.295,,,0.811,0.866,0.757,0.721,0.853,,0.771,0.308,0.615,0.286,,0.264,0.268,0.291,0.915,0.903,,0.913,0.895,0.901,0.310,0.325,0.913,
365,,0.656,0.296,,,0.811,0.866,0.757,0.721,0.854,,0.772,0.309,0.615,0.286,,0.265,0.269,0.292,0.916,0.903,,0.912,0.896,0.902,0.310,0.326,0.913,
366,,0.658,0.296,,,0.811,0.866,0.757,0.722,0.855,,0.772,0.310,0.616,0.287,,0.265,0.270,0.292,0.917,0.903,,0.912,0.897,0.902,0.311,0.327,0.913,
367,,0.659,0.296,,,0.811,0.867,0.757,0.722,0.855,,0.773,0.310,0.617,0.287,,0.266,0.271,0.293,0.917,0.903,,0.912,0.897,0.902,0.312,0.328,0.914,
368,,0.661,0.297,,,0.811,0.867,0.757,0.723,0.855,,0.773,0.311,0.616,0.287,,0.267,0.271,0.294,0.918,0.903,,0.912,0.896,0.903,0.312,0.328,0.914,
369,,0.663,0.297,,,0.811,0.868,0.758,0.724,0.855,,0.774,0.312,0.617,0.287,,0.267,0.272,0.294,0.917,0.903,,0.913,0.896,0.903,0.312,0.329,0.913,
370,,0.664,0.298,,,0.812,0.868,0.758,0.724,0.855,,0.774,0.312,0.618,0.287,,0.267,0.272,0.295,0.917,0.903,,0.912,0.897,0.903,0.313,0.330,0.914,
371,,0.666,0.298,,,0.813,0.868,0.757,0.724,0.856,,0.774,0.313,0.619,0.288,,0.268,0.273,0.295,0.917,0.904,,0.912,0.896,0.903,0.314,0.330,0.914,
372,,0.667,0.299,,,0.813,0.869,0.757,0.725,0.856,,0.775,0.314,0.619,0.288,,0.268,0.274,0.296,0.918,0.904,,0.912,0.896,0.904,0.314,0.331,0.914,
373,,0.669,0.299,,,0.813,0.869,0.758,0.725,0.857,,0.775,0.314,0.619,0.288,,0.269,0.275,0.298,0.918,0.903,,0.912,0.896,0.904,0.315,0.333,0.914,
374,,0.672,0.300,,,0.813,0.870,0.759,0.726,0.857,,0.775,0.315,0.620,0.289,,0.270,0.276,0.298,0.919,0.903,,0.913,0.896,0.904,0.316,0.334,0.915,
375,,0.673,0.301,,,0.813,0.870,0.759,0.726,0.858,,0.776,0.317,0.621,0.289,,0.270,0.277,0.299,0.919,0.904,,0.913,0.896,0.903,0.317,0.335,0.914,
376,,0.675,0.301,,,0.814,0.872,0.758,0.727,0.858,,0.777,0.317,0.621,0.289,,0.271,0.278,0.299,0.920,0.903,,0.912,0.896,0.904,0.317,0.336,0.914,
377,,0.677,0.302,,,0.814,0.872,0.758,0.728,0.859,,0.777,0.318,0.621,0.289,,0.272,0.279,0.300,0.920,0.903,,0.912,0.896,0.905,0.318,0.336,0.915,
378,,0.679,0.302,,,0.815,0.872,0.758,0.728,0.860,,0.777,0.319,0.622,0.289,,0.273,0.280,0.301,0.920,0.904,,0.913,0.896,0.905,0.319,0.337,0.915,
379,,0.681,0.303,,,0.815,0.872,0.758,0.728,0.860,,0.778,0.320,0.623,0.289,,0.273,0.280,0.302,0.920,0.905,,0.913,0.896,0.905,0.319,0.338,0.915,
380,,0.683,0.303,,,0.815,0.873,0.759,0.729,0.860,,0.777,0.321,0.624,0.290,,0.274,0.282,0.303,0.921,0.904,,0.913,0.896,0.905,0.320,0.339,0.915,
381,,0.685,0.304,,,0.815,0.874,0.759,0.730,0.861,,0.778,0.322,0.624,0.290,,0.274,0.283,0.304,0.921,0.904,,0.912,0.896,0.905,0.321,0.340,0.915,
382,,0.687,0.304,,,0.816,0.874,0.759,0.730,0.862,,0.778,0.322,0.624,0.290,,0.275,0.284,0.305,0.922,0.904,,0.912,0.896,0.906,0.321,0.340,0.915,
383,,0.689,0.305,,,0.816,0.875,0.759,0.730,0.862,,0.779,0.323,0.625,0.291,,0.276,0.285,0.305,0.922,0.903,,0.913,0.895,0.906,0.322,0.341,0.916,
384,,0.691,0.306,,,0.816,0.875,0.759,0.731,0.862,,0.779,0.324,0.626,0.291,,0.277,0.286,0.306,0.922,0.904,,0.913,0.895,0.906,0.324,0.343,0.916,
385,,0.693,0.306,,,0.817,0.876,0.759,0.732,0.862,,0.779,0.325,0.626,0.291,,0.277,0.287,0.307,0.923,0.904,,0.913,0.896,0.907,0.324,0.344,0.916,
386,,0.695,0.307,,,0.817,0.877,0.759,0.732,0.863,,0.780,0.325,0.626,0.291,,0.277,0.287,0.308,0.924,0.904,,0.912,0.896,0.907,0.325,0.345,0.917,
387,,0.697,0.308,,,0.817,0.877,0.760,0.732,0.864,,0.780,0.327,0.627,0.292,,0.278,0.288,0.309,0.924,0.904,,0.913,0.896,0.907,0.326,0.346,0.916,
388,,0.698,0.308,,,0.818,0.877,0.760,0.733,0.865,,0.781,0.327,0.628,0.292,,0.278,0.289,0.310,0.924,0.904,,0.913,0.895,0.908,0.326,0.347,0.916,
389,,0.700,0.308,,,0.818,0.878,0.760,0.734,0.865,,0.781,0.328,0.628,0.291,,0.279,0.290,0.310,0.925,0.904,,0.913,0.895,0.908,0.326,0.348,0.917,
390,,0.702,0.309,,,0.818,0.878,0.760,0.735,0.865,,0.781,0.328,0.629,0.292,,0.280,0.292,0.311,0.925,0.904,,0.912,0.896,0.907,0.327,0.348,0.916,
391,,0.704,0.309,,,0.819,0.879,0.760,0.735,0.866,,0.781,0.329,0.629,0.292,,0.280,0.292,0.311,0.925,0.904,,0.913,0.896,0.908,0.327,0.349,0.917,
392,,0.706,0.310,,,0.819,0.879,0.760,0.735,0.867,,0.782,0.330,0.630,0.292,,0.281,0.293,0.311,0.925,0.905,,0.913,0.895,0.909,0.328,0.349,0.918,
393,,0.708,0.310,,,0.819,0.879,0.760,0.736,0.867,,0.782,0.330,0.631,0.292,,0.281,0.293,0.312,0.925,0.905,,0.913,0.895,0.909,0.329,0.350,0.917,
394,,0.710,0.310,,,0.819,0.880,0.760,0.737,0.867,,0.782,0.331,0.631,0.292,,0.281,0.294,0.313,0.926,0.905,,0.914,0.895,0.909,0.329,0.352,0.917,
395,,0.712,0.311,,,0.819,0.880,0.760,0.737,0.868,,0.783,0.332,0.632,0.292,,0.282,0.295,0.314,0.926,0.905,,0.913,0.895,0.909,0.330,0.352,0.917,
396,,0.714,0.311,,,0.820,0.881,0.760,0.738,0.869,,0.783,0.333,0.632,0.292,,0.282,0.296,0.315,0.927,0.905,,0.913,0.894,0.909,0.331,0.353,0.918,
397,,0.715,0.312,,,0.821,0.881,0.760,0.739,0.869,,0.784,0.333,0.632,0.293,,0.283,0.296,0.315,0.927,0.905,,0.913,0.894,0.910,0.331,0.354,0.918,
398,,0.717,0.312,,,0.821,0.882,0.760,0.739,0.869,,0.784,0.334,0.633,0.292,,0.283,0.296,0.315,0.927,0.905,,0.913,0.894,0.910,0.331,0.354,0.917,
399,,0.719,0.313,,,0.821,0.882,0.760,0.739,0.870,,0.784,0.334,0.633,0.292,,0.284,0.297,0.316,0.927,0.905,,0.913,0.895,0.910,0.331,0.355,0.918,
400,,0.720,0.313,,,0.821,0.882,0.761,0.739,0.870,,0.784,0.334,0.634,0.292,,0.284,0.298,0.317,0.927,0.905,,0.913,0.895,0.911,0.332,0.356,0.918,
401,,0.722,0.314,,,0.821,0.883,0.761,0.740,0.871,,0.785,0.335,0.634,0.292,,0.284,0.299,0.317,0.928,0.905,,0.913,0.894,0.911,0.333,0.356,0.918,
402,,0.723,0.313,,,0.822,0.883,0.761,0.741,0.871,,0.785,0.335,0.634,0.292,,0.284,0.299,0.318,0.928,0.905,,0.913,0.894,0.910,0.333,0.356,0.918,
403,,0.725,0.314,,,0.822,0.883,0.761,0.741,0.871,,0.785,0.336,0.635,0.292,,0.285,0.300,0.318,0.929,0.905,,0.913,0.894,0.911,0.334,0.357,0.919,
404,,0.726,0.314,,,0.822,0.884,0.761,0.741,0.872,,0.785,0.336,0.635,0.292,,0.285,0.300,0.318,0.929,0.905,,0.913,0.894,0.911,0.334,0.358,0.919,
405,,0.728,0.314,,,0.822,0.884,0.761,0.742,0.872,,0.786,0.337,0.635,0.292,,0.286,0.301,0.319,0.929,0.905,,0.913,0.894,0.911,0.334,0.359,0.919,
406,,0.729,0.315,,,0.823,0.885,0.761,0.742,0.873,,0.786,0.337,0.636,0.292,,0.286,0.302,0.319,0.930,0.905,,0.913,0.894,0.911,0.335,0.359,0.919,
407,,0.731,0.315,,,0.823,0.885,0.761,0.743,0.873,,0.786,0.338,0.636,0.292,,0.287,0.302,0.320,0.930,0.905,,0.913,0.894,0.912,0.335,0.360,0.919,
408,,0.732,0.316,,,0.823,0.885,0.761,0.744,0.874,,0.786,0.338,0.637,0.292,,0.287,0.302,0.321,0.930,0.905,,0.913,0.894,0.912,0.336,0.361,0.919,
409,,0.734,0.316,,,0.823,0.886,0.761,0.744,0.874,,0.786,0.338,0.637,0.292,,0.287,0.303,0.321,0.931,0.905,,0.913,0.894,0.912,0.336,0.361,0.920,
410,,0.736,0.316,,,0.824,0.886,0.761,0.745,0.874,,0.787,0.339,0.637,0.292,,0.288,0.304,0.322,0.931,0.905,,0.913,0.894,0.912,0.337,0.362,0.919,
411,,0.738,0.316,,,0.824,0.886,0.761,0.745,0.875,,0.787,0.339,0.638,0.292,,0.288,0.305,0.322,0.931,0.905,,0.913,0.894,0.912,0.337,0.363,0.919,
412,,0.740,0.317,,,0.824,0.887,0.761,0.745,0.875,,0.787,0.340,0.638,0.292,,0.289,0.305,0.323,0.932,0.905,,0.913,0.894,0.913,0.338,0.363,0.920,
413,,0.741,0.317,,,0.824,0.887,0.761,0.746,0.876,,0.787,0.341,0.639,0.292,,0.289,0.306,0.323,0.932,0.906,,0.913,0.893,0.913,0.338,0.364,0.920,
414,,0.743,0.318,,,0.824,0.888,0.762,0.746,0.876,,0.787,0.341,0.639,0.292,,0.289,0.307,0.324,0.932,0.906,,0.913,0.893,0.913,0.338,0.365,0.920,
415,,0.744,0.318,,,0.824,0.888,0.761,0.747,0.877,,0.788,0.342,0.639,0.292,,0.290,0.307,0.324,0.932,0.906,,0.913,0.894,0.914,0.339,0.366,0.920,
416,,0.746,0.318,,,0.825,0.888,0.761,0.747,0.877,,0.788,0.342,0.640,0.292,,0.290,0.308,0.325,0.933,0.906,,0.913,0.893,0.914,0.340,0.366,0.920,
417,,0.748,0.319,,,0.825,0.889,0.761,0.748,0.877,,0.788,0.343,0.640,0.292,,0.291,0.309,0.325,0.933,0.906,,0.913,0.893,0.914,0.340,0.367,0.920,
418,,0.749,0.319,,,0.825,0.889,0.761,0.748,0.878,,0.789,0.343,0.640,0.292,,0.291,0.309,0.326,0.933,0.906,,0.913,0.893,0.914,0.341,0.367,0.921,
419,,0.751,0.319,,,0.825,0.890,0.761,0.749,0.878,,0.789,0.343,0.641,0.292,,0.291,0.310,0.326,0.934,0.906,,0.913,0.893,0.914,0.341,0.368,0.921,
420,,0.753,0.320,,,0.826,0.890,0.762,0.749,0.878,,0.789,0.344,0.641,0.292,,0.291,0.310,0.327,0.934,0.906,,0.913,0.893,0.915,0.342,0.369,0.921,
421,,0.754,0.320,,,0.826,0.890,0.762,0.749,0.879,,0.789,0.344,0.642,0.292,,0.292,0.311,0.328,0.934,0.906,,0.913,0.893,0.915,0.342,0.370,0.921,
422,,0.756,0.320,,,0.826,0.891,0.761,0.750,0.880,,0.790,0.345,0.642,0.292,,0.292,0.312,0.328,0.935,0.906,,0.913,0.893,0.915,0.343,0.370,0.921,
423,,0.757,0.321,,,0.827,0.891,0.762,0.750,0.880,,0.790,0.345,0.642,0.292,,0.293,0.312,0.329,0.935,0.906,,0.913,0.893,0.915,0.343,0.371,0.921,
424,,0.759,0.321,,,0.827,0.892,0.762,0.751,0.880,,0.790,0.346,0.643,0.292,,0.293,0.313,0.329,0.935,0.906,,0.913,0.892,0.915,0.343,0.371,0.921,
425,,0.760,0.321,,,0.827,0.892,0.762,0.751,0.881,,0.790,0.346,0.643,0.291,,0.293,0.313,0.330,0.936,0.906,,0.913,0.892,0.916,0.344,0.372,0.921,
426,,0.762,0.321,,,0.827,0.892,0.762,0.751,0.881,,0.790,0.346,0.643,0.291,,0.294,0.314,0.330,0.936,0.906,,0.913,0.893,0.916,0.344,0.373,0.921,
427,,0.763,0.322,,,0.827,0.893,0.762,0.752,0.881,,0.790,0.347,0.644,0.291,,0.294,0.314,0.331,0.936,0.906,,0.913,0.892,0.916,0.345,0.373,0.921,
428,,0.765,0.322,,,0.827,0.893,0.762,0.752,0.882,,0.790,0.347,0.644,0.291,,0.294,0.315,0.331,0.936,0.906,,0.913,0.892,0.916,0.345,0.374,0.921,
429,,0.767,0.322,,,0.828,0.893,0.762,0.752,0.882,,0.791,0.348,0.645,0.291,,0.294,0.316,0.332,0.937,0.906,,0.913,0.892,0.916,0.346,0.375,0.922,
430,,0.768,0.323,,,0.828,0.894,0.762,0.753,0.883,,0.791,0.348,0.645,0.291,,0.295,0.316,0.332,0.937,0.906,,0.913,0.892,0.916,0.346,0.376,0.922,
431,,0.770,0.323,,,0.828,0.894,0.762,0.753,0.883,,0.791,0.348,0.645,0.291,,0.295,0.317,0.333,0.938,0.906,,0.913,0.892,0.917,0.346,0.376,0.922,
432,,0.771,0.323,,,0.828,0.895,0.762,0.754,0.884,,0.791,0.349,0.646,0.291,,0.296,0.317,0.333,0.938,0.906,,0.913,0.891,0.917,0.347,0.377,0.922,
433,,0.773,0.323,,,0.828,0.895,0.762,0.754,0.884,,0.792,0.349,0.646,0.290,,0.296,0.318,0.334,0.938,0.906,,0.913,0.891,0.917,0.347,0.377,0.922,
434,,0.775,0.324,,,0.829,0.895,0.762,0.755,0.885,,0.792,0.350,0.646,0.290,,0.296,0.319,0.334,0.938,0.906,,0.913,0.891,0.917,0.347,0.377,0.922,
435,,0.776,0.324,,,0.829,0.896,0.762,0.755,0.885,,0.792,0.350,0.646,0.290,,0.296,0.319,0.334,0.939,0.906,,0.913,0.891,0.917,0.348,0.378,0.922,
