Start time (UTC), 0834 
 Sky conditions, NSDV 
 Other notes, Felix & Henna & Roberta. Melting conditions and pond lids are barely intact; NSDV. 
 Ship latitude, 87.94532
 Ship longitude, 107.493
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, p, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, p
Surface thickness (cm),  7,  3, 33, 23,  8,  3,  7,  6,  4,  5, 38,  5, 33,  4, 44, 43, 38, 42, 30,  8,  3,  8,  7,  2,  4, 32, 27,  3, 34
Notes,                                   NaN,                                   NaN,                                   NaN, edge of frozen pond. next to 4cm snow,                                   NaN,                                   NaN,                  ASD 3660&3661 errors,                                   NaN,              snow next to frozen pond,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                                   NaN,                   ASD 3700&3701 error,                                   NaN,                             lead edge
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 20.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.714,0.450,0.215,0.403,0.730,0.503,0.716,0.697,0.413,,,,,,,,,,,,,,,,,,,,
351,0.715,0.451,0.215,0.405,0.729,0.504,0.716,0.698,0.414,,,,,,,,,,,,,,,,,,,,
352,0.714,0.452,0.216,0.406,0.730,0.505,0.717,0.699,0.414,,,,,,,,,,,,,,,,,,,,
353,0.714,0.452,0.217,0.405,0.731,0.504,0.717,0.698,0.415,,,,,,,,,,,,,,,,,,,,
354,0.715,0.453,0.217,0.406,0.730,0.504,0.718,0.697,0.415,,,,,,,,,,,,,,,,,,,,
