Start time (UTC), 1100 
 Sky conditions, CO-SDNV 
 Other notes, Melinda & Felix. Melting conditions and pond lids melting. SSL present. NSDV. 
 Ship latitude, 88.11375
 Ship longitude, 109.49771
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, p, s, p, p, p, s, s, s
Surface thickness (cm),  0,  1,  3,  1,  1, 20,  1, 36, 36, 16,  5,  4,  0
Notes,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN, thin ice lid on pond,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
350,0.516,0.576,0.634,0.596,0.458,0.349,0.738,,0.202,0.404,0.682,0.673,0.633
351,0.518,0.575,0.635,0.597,0.457,0.348,0.737,,0.202,0.407,0.683,0.674,0.634
352,0.519,0.574,0.635,0.597,0.458,0.349,0.736,,0.202,0.410,0.683,0.676,0.633
353,0.517,0.575,0.636,0.595,0.462,0.352,0.737,,0.203,0.410,0.681,0.679,0.633
354,0.521,0.576,0.633,0.597,0.460,0.352,0.737,,0.205,0.410,0.683,0.677,0.635
355,0.523,0.577,0.633,0.597,0.459,0.351,0.737,,0.207,0.411,0.685,0.677,0.635
356,0.521,0.577,0.635,0.597,0.460,0.351,0.736,,0.207,0.412,0.685,0.677,0.633
357,0.521,0.576,0.635,0.599,0.461,0.350,0.737,,0.208,0.410,0.686,0.675,0.635
358,0.520,0.575,0.634,0.597,0.460,0.351,0.739,,0.206,0.409,0.684,0.676,0.635
359,0.519,0.575,0.634,0.596,0.460,0.353,0.739,,0.207,0.411,0.683,0.677,0.634
360,0.520,0.577,0.635,0.599,0.461,0.355,0.737,,0.211,0.414,0.684,0.678,0.635
361,0.521,0.577,0.633,0.598,0.460,0.352,0.735,,0.211,0.415,0.684,0.679,0.636
362,0.521,0.577,0.632,0.597,0.460,0.352,0.737,,0.210,0.415,0.686,0.678,0.635
363,0.521,0.575,0.633,0.597,0.460,0.352,0.737,,0.210,0.414,0.687,0.676,0.633
