Start time (UTC), 0840 
 Sky conditions, CO-SDNV 
 Other notes, Melinda & Felix. Melting conditions and pond lids melting. SSL present. NSDV. 
 Ship latitude, 88.10466
 Ship longitude, 109.4549
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm),  4.0,  6.0, 27.0,  0.0,  4.0,  2.0,  2.0,  2.0,  1.0,  1.0, 28.0,  1.5, 35.0,  1.0, 41.0, 38.0, 35.0, 38.0, 22.0,  2.0,  0.0,  3.0,  1.0,  0.0,  1.0, 32.0, 21.0,  2.0,  2.0
Notes,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, pond edge,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.715,0.368,0.199,0.769,0.703,0.499,0.655,0.477,0.365,0.552,0.666,0.645,0.198,0.308,,0.221,0.199,0.183,0.492,0.700,0.599,0.733,0.746,0.609,0.655,0.223,0.242,0.757,0.712
351,0.715,0.368,0.200,0.770,0.704,0.500,0.654,0.478,0.365,0.553,0.666,0.645,0.199,0.309,,0.222,0.201,0.185,0.492,0.700,0.600,0.733,0.745,0.608,0.655,0.224,0.242,0.757,0.712
352,0.715,0.368,0.201,0.771,0.706,0.501,0.654,0.479,0.366,0.555,0.666,0.646,0.199,0.309,,0.223,0.203,0.186,0.492,0.699,0.601,0.734,0.745,0.607,0.655,0.224,0.243,0.758,0.712
353,0.715,0.369,0.200,0.769,0.704,0.501,0.656,0.479,0.368,0.554,0.667,0.647,0.199,0.309,,0.224,0.203,0.185,0.494,0.699,0.601,0.735,0.747,0.608,0.656,0.224,0.245,0.760,0.713
354,0.716,0.370,0.202,0.770,0.704,0.502,0.655,0.478,0.369,0.554,0.666,0.646,0.200,0.311,,0.224,0.205,0.187,0.494,0.699,0.601,0.734,0.746,0.608,0.654,0.225,0.245,0.760,0.713
355,0.716,0.372,0.203,0.770,0.705,0.502,0.655,0.478,0.370,0.554,0.666,0.646,0.201,0.311,,0.224,0.205,0.188,0.494,0.700,0.600,0.735,0.746,0.610,0.655,0.226,0.245,0.760,0.714
356,0.716,0.372,0.202,0.769,0.705,0.501,0.656,0.479,0.370,0.554,0.667,0.648,0.202,0.311,,0.225,0.205,0.189,0.494,0.701,0.601,0.736,0.747,0.610,0.656,0.227,0.246,0.760,0.715
357,0.717,0.370,0.203,0.768,0.705,0.500,0.656,0.479,0.370,0.553,0.667,0.647,0.202,0.311,,0.226,0.206,0.188,0.495,0.700,0.600,0.733,0.747,0.609,0.656,0.227,0.245,0.759,0.714
358,0.716,0.370,0.202,0.770,0.704,0.500,0.656,0.479,0.369,0.554,0.665,0.647,0.202,0.311,,0.226,0.205,0.188,0.496,0.699,0.599,0.733,0.747,0.609,0.656,0.226,0.245,0.760,0.713
359,0.716,0.371,0.203,0.771,0.705,0.501,0.655,0.479,0.369,0.555,0.665,0.647,0.203,0.311,,0.225,0.206,0.189,0.496,0.698,0.599,0.735,0.747,0.609,0.655,0.227,0.246,0.759,0.713
360,0.717,0.372,0.205,0.771,0.707,0.502,0.655,0.479,0.370,0.554,0.667,0.647,0.204,0.312,,0.226,0.208,0.189,0.495,0.699,0.601,0.735,0.746,0.611,0.654,0.229,0.246,0.759,0.714
361,0.717,0.372,0.205,0.769,0.706,0.502,0.657,0.480,0.371,0.555,0.667,0.648,0.204,0.314,,0.228,0.208,0.189,0.495,0.699,0.601,0.734,0.748,0.610,0.656,0.230,0.247,0.761,0.714
362,0.717,0.372,0.204,0.770,0.704,0.502,0.656,0.480,0.371,0.555,0.667,0.648,0.204,0.314,,0.227,0.208,0.190,0.496,0.699,0.601,0.734,0.748,0.610,0.657,0.230,0.247,0.761,0.715
363,0.717,0.373,0.205,0.770,0.704,0.502,0.656,0.479,0.372,0.554,0.668,0.648,0.204,0.314,,0.227,0.207,0.190,0.497,0.699,0.602,0.735,0.748,0.610,0.656,0.230,0.248,0.760,0.716
364,0.718,0.372,0.205,0.770,0.705,0.502,0.657,0.479,0.371,0.554,0.667,0.648,0.204,0.314,,0.229,0.208,0.188,0.497,0.701,0.602,0.735,0.747,0.609,0.656,0.230,0.248,0.759,0.716
365,0.718,0.375,0.206,0.771,0.706,0.503,0.656,0.480,0.372,0.557,0.669,0.648,0.206,0.316,,0.229,0.210,0.191,0.497,0.700,0.602,0.735,0.747,0.610,0.656,0.231,0.249,0.759,0.716
366,0.718,0.375,0.207,0.771,0.706,0.503,0.656,0.480,0.372,0.557,0.669,0.648,0.207,0.317,,0.229,0.210,0.192,0.497,0.700,0.602,0.735,0.747,0.610,0.657,0.232,0.249,0.760,0.716
