Start time (UTC), 0432 
 Sky conditions, NSDV 
 Other notes, Melinda & Felix. Freezing conditions with previous dusting of snowfall. Some ponds still open. NSDV and light freezing mist from 100m to 135m marks 
 Ship latitude, 88.3399
 Ship longitude, 114.92212
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm),  1,  1, 30,  1,  1,  0,  2,  1,  0,  1, 31,  1, 29,  1, 41, 40, 35, 34, 39,  1,  0,  0,  1,  0,  1, 31, 22,  1,  1
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.781,,,0.745,0.728,0.584,0.705,0.463,0.501,0.612,,0.702,,0.369,,0.218,,,0.213,0.757,0.703,0.779,0.793,0.639,0.723,0.219,0.285,0.800,0.745
351,0.780,,,0.743,0.725,0.585,0.706,0.464,0.502,0.612,,0.703,,0.367,,0.216,,,0.215,0.758,0.700,0.781,0.791,0.641,0.726,0.221,0.287,0.801,0.749
352,0.781,,,0.741,0.723,0.586,0.707,0.464,0.502,0.612,,0.708,,0.365,,0.213,,,0.213,0.756,0.702,0.778,0.785,0.640,0.725,0.217,0.289,0.798,0.748
353,0.783,,,0.743,0.725,0.589,0.705,0.460,0.498,0.606,,0.713,,0.368,,0.214,,,0.206,0.754,0.704,0.769,0.784,0.637,0.722,0.211,0.288,0.794,0.742
354,0.786,,,0.747,0.720,0.589,0.701,0.464,0.503,0.614,,0.711,,0.366,,0.214,,,0.213,0.753,0.702,0.771,0.785,0.643,0.723,0.218,0.290,0.801,0.745
355,0.782,,,0.751,0.718,0.589,0.700,0.467,0.503,0.616,,0.708,,0.366,,0.216,,,0.215,0.753,0.702,0.773,0.783,0.646,0.723,0.219,0.291,0.801,0.745
356,0.778,,,0.750,0.720,0.588,0.703,0.463,0.499,0.612,,0.708,,0.368,,0.218,,,0.212,0.754,0.701,0.775,0.782,0.644,0.722,0.217,0.291,0.796,0.743
357,0.784,,,0.741,0.721,0.584,0.706,0.456,0.498,0.613,,0.710,,0.367,,0.219,,,0.210,0.758,0.697,0.779,0.790,0.641,0.718,0.220,0.294,0.800,0.746
358,0.777,,,0.743,0.719,0.583,0.702,0.454,0.498,0.607,,0.706,,0.365,,0.213,,,0.207,0.757,0.697,0.778,0.788,0.636,0.722,0.219,0.291,0.796,0.751
359,0.774,,,0.747,0.718,0.586,0.700,0.456,0.499,0.607,,0.705,,0.366,,0.214,,,0.210,0.752,0.700,0.776,0.787,0.638,0.724,0.220,0.291,0.795,0.753
360,0.779,,,0.746,0.719,0.590,0.703,0.459,0.502,0.614,,0.708,,0.369,,0.221,,,0.218,0.750,0.702,0.776,0.791,0.646,0.724,0.223,0.295,0.800,0.752
361,0.779,,,0.743,0.722,0.584,0.701,0.463,0.503,0.617,,0.709,,0.371,,0.218,,,0.215,0.753,0.699,0.778,0.786,0.643,0.729,0.224,0.288,0.799,0.750
362,0.783,,,0.747,0.721,0.583,0.697,0.460,0.503,0.615,,0.710,,0.369,,0.217,,,0.211,0.755,0.698,0.781,0.786,0.641,0.725,0.221,0.289,0.796,0.745
363,0.786,,,0.751,0.719,0.585,0.699,0.455,0.504,0.615,,0.711,,0.367,,0.219,,,0.211,0.757,0.699,0.781,0.789,0.638,0.721,0.219,0.290,0.797,0.744
364,0.783,,,0.750,0.721,0.586,0.708,0.454,0.505,0.620,,0.711,,0.368,,0.219,,,0.215,0.759,0.700,0.780,0.790,0.632,0.724,0.220,0.288,0.801,0.750
365,0.780,,,0.748,0.725,0.586,0.705,0.459,0.502,0.620,,0.711,,0.370,,0.215,,,0.218,0.751,0.702,0.778,0.786,0.639,0.721,0.222,0.297,0.800,0.748
366,0.780,,,0.749,0.726,0.586,0.704,0.457,0.504,0.618,,0.710,,0.373,,0.218,,,0.218,0.753,0.705,0.775,0.786,0.641,0.721,0.221,0.299,0.801,0.747
367,0.782,,,0.752,0.724,0.585,0.705,0.455,0.507,0.616,,0.708,,0.374,,0.224,,,0.216,0.760,0.705,0.774,0.789,0.640,0.723,0.221,0.296,0.801,0.748
368,0.784,,,0.751,0.720,0.583,0.709,0.459,0.505,0.616,,0.707,,0.373,,0.223,,,0.215,0.760,0.698,0.779,0.790,0.643,0.724,0.225,0.294,0.798,0.751
369,0.780,,,0.746,0.721,0.586,0.706,0.457,0.501,0.616,,0.709,,0.375,,0.224,,,0.213,0.759,0.698,0.782,0.786,0.646,0.722,0.223,0.292,0.797,0.749
370,0.781,,,0.746,0.724,0.588,0.707,0.457,0.502,0.616,,0.709,,0.377,,0.225,,,0.216,0.759,0.702,0.780,0.786,0.646,0.723,0.224,0.294,0.801,0.751
371,0.784,,,0.751,0.726,0.586,0.711,0.458,0.507,0.616,,0.708,,0.376,,0.223,,,0.222,0.760,0.704,0.778,0.787,0.643,0.727,0.225,0.297,0.803,0.754
372,0.777,,,0.752,0.721,0.584,0.705,0.459,0.508,0.615,,0.710,,0.372,,0.221,,,0.219,0.759,0.701,0.781,0.787,0.640,0.726,0.223,0.293,0.799,0.748
373,0.780,,,0.749,0.723,0.586,0.709,0.459,0.506,0.615,,0.714,,0.371,,0.225,,,0.218,0.759,0.703,0.777,0.789,0.641,0.727,0.226,0.296,0.801,0.750
374,0.784,,,0.747,0.724,0.587,0.712,0.461,0.504,0.614,,0.716,,0.373,,0.228,,,0.219,0.760,0.705,0.775,0.789,0.640,0.725,0.228,0.299,0.803,0.754
