Start time (UTC), 0543 
 Sky conditions, CO-SDNV 
 Other notes, Took optical measurements at 3 ponds each w 3 sites @ "bgc-meltpond-sampling-ponds". stickle-setup and notecam-setup (photos) also operated. Freezing conditions with light dusting of snow 
 Ship latitude, 88.42102
 Ship longitude, 117.282
Position, 1a, 1b, 1c, 2a, 2b, 2c, 3a, 3b, 3c
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
350,0.315,0.294,0.399,0.227,0.263,0.280,0.384,0.269,0.269
351,0.316,0.295,0.399,0.228,0.264,0.280,0.384,0.271,0.271
352,0.317,0.297,0.400,0.228,0.265,0.281,0.384,0.272,0.273
353,0.318,0.298,0.401,0.229,0.265,0.282,0.385,0.272,0.273
354,0.319,0.299,0.402,0.231,0.266,0.283,0.384,0.273,0.275
355,0.320,0.300,0.402,0.232,0.267,0.284,0.384,0.273,0.276
356,0.321,0.300,0.403,0.231,0.269,0.285,0.384,0.274,0.276
357,0.321,0.301,0.404,0.231,0.268,0.285,0.385,0.275,0.276
358,0.321,0.302,0.404,0.232,0.270,0.286,0.385,0.275,0.277
359,0.322,0.303,0.405,0.233,0.271,0.287,0.385,0.276,0.279
360,0.324,0.304,0.407,0.233,0.272,0.288,0.386,0.276,0.280
361,0.326,0.305,0.408,0.233,0.273,0.289,0.386,0.276,0.280
362,0.326,0.306,0.408,0.234,0.273,0.290,0.386,0.277,0.281
363,0.326,0.307,0.408,0.235,0.274,0.290,0.387,0.277,0.281
364,0.328,0.307,0.409,0.235,0.275,0.291,0.387,0.277,0.282
365,0.329,0.309,0.410,0.236,0.276,0.292,0.387,0.278,0.283
366,0.329,0.310,0.411,0.236,0.278,0.293,0.388,0.279,0.284
