Start time (UTC), 1111 
 Sky conditions, NSDV 
 Other notes, Melinda&Felix. Freezing conditions with light dusting of snow. Large ponds are still open. Smallest and shallowest ponds are completely frozen and most extensively covered in snow. SDV changing to NSDV.  
 Ship latitude, 88.44366
 Ship longitude, 117.75033
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, s, s, p, p, p, s, s, s
Surface thickness (cm),  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 36.0, 33.0,  0.0,  1.0,  1.0,  0.5
Notes,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                       frozen pond edge,                       frozen pond edge,                                    NaN,                                    NaN,                                    NaN, frozen pond edge. no depth measurement,                                    NaN,                                    NaN,                                    NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
350,0.652,0.691,0.719,0.685,0.369,0.464,0.741,0.137,0.140,0.448,0.659,0.712,0.691
351,0.653,0.691,0.719,0.685,0.370,0.464,0.741,0.139,0.141,0.448,0.659,0.713,0.691
352,0.654,0.693,0.719,0.684,0.370,0.465,0.742,0.141,0.143,0.448,0.659,0.714,0.692
353,0.653,0.694,0.720,0.683,0.371,0.467,0.743,0.141,0.145,0.451,0.659,0.714,0.692
354,0.653,0.693,0.719,0.683,0.371,0.466,0.742,0.142,0.145,0.451,0.660,0.715,0.692
355,0.654,0.693,0.719,0.684,0.371,0.466,0.742,0.144,0.146,0.452,0.660,0.714,0.691
356,0.654,0.694,0.720,0.683,0.371,0.467,0.743,0.145,0.147,0.453,0.661,0.713,0.691
357,0.654,0.693,0.721,0.682,0.370,0.466,0.743,0.146,0.146,0.454,0.662,0.714,0.691
358,0.653,0.693,0.720,0.683,0.371,0.465,0.744,0.146,0.149,0.453,0.661,0.714,0.690
359,0.653,0.693,0.719,0.684,0.372,0.466,0.744,0.147,0.151,0.454,0.661,0.714,0.691
360,0.655,0.693,0.719,0.684,0.373,0.468,0.743,0.149,0.152,0.457,0.662,0.714,0.691
361,0.653,0.693,0.720,0.684,0.373,0.467,0.743,0.150,0.153,0.456,0.663,0.716,0.691
362,0.654,0.694,0.720,0.684,0.373,0.467,0.743,0.150,0.153,0.456,0.662,0.715,0.691
363,0.655,0.694,0.720,0.684,0.373,0.468,0.744,0.151,0.154,0.457,0.663,0.715,0.691
364,0.655,0.694,0.720,0.684,0.373,0.469,0.744,0.152,0.153,0.458,0.664,0.716,0.693
365,0.656,0.694,0.720,0.685,0.373,0.469,0.744,0.153,0.156,0.458,0.663,0.716,0.693
366,0.656,0.694,0.720,0.685,0.373,0.469,0.745,0.154,0.157,0.459,0.663,0.716,0.694
367,0.656,0.694,0.720,0.685,0.374,0.469,0.745,0.155,0.158,0.462,0.664,0.716,0.694
368,0.656,0.694,0.720,0.686,0.375,0.468,0.745,0.155,0.159,0.462,0.664,0.717,0.692
369,0.656,0.694,0.720,0.686,0.374,0.470,0.745,0.156,0.160,0.461,0.664,0.717,0.693
370,0.656,0.695,0.721,0.686,0.374,0.469,0.745,0.157,0.161,0.461,0.664,0.717,0.693
371,0.656,0.695,0.722,0.685,0.375,0.468,0.744,0.158,0.161,0.463,0.664,0.717,0.693
