Start time (UTC), 0419 
 Sky conditions, SDV;  NSDV from 65m mark on 
 Other notes, Melinda & Felix. Freezing conditions with light dusting of snow. Large ponds are still open. Smallest and shallowest ponds are completely frozen and most extensively covered in snow. SDV changing to NSDV.  
 Ship latitude, 88.4146
 Ship longitude, 117.16766
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm),  1.0,  0.0, 30.0,  0.0,  0.0,  1.0,  0.0,  0.0,  0.0,  0.0, 26.0,  1.0, 37.0,  0.0, 36.0, 39.0, 35.0, 33.0, 26.0,  0.0,  0.0,  0.5,  1.0,  0.0,  0.0, 32.0, 24.0,  0.0,  0.0
Notes,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, ice lid,     NaN,     NaN
Change in incident (%),0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.744,0.482,0.197,0.755,0.692,0.549,0.699,,0.366,0.637,0.413,0.610,0.182,0.450,0.188,0.192,0.185,0.185,0.269,0.725,0.671,0.787,0.777,0.586,0.703,0.231,0.305,0.780,0.789
351,0.743,0.483,0.198,0.755,0.691,0.550,0.699,,0.366,0.638,0.413,0.610,0.183,0.450,0.189,0.193,0.186,0.185,0.270,0.724,0.671,0.788,0.778,0.586,0.704,0.232,0.306,0.781,0.789
352,0.744,0.485,0.199,0.755,0.691,0.551,0.700,,0.366,0.638,0.414,0.611,0.184,0.450,0.189,0.194,0.187,0.186,0.271,0.724,0.671,0.787,0.778,0.586,0.704,0.232,0.307,0.781,0.789
353,0.745,0.486,0.199,0.756,0.691,0.551,0.699,,0.367,0.638,0.413,0.611,0.184,0.451,0.190,0.195,0.187,0.187,0.271,0.725,0.671,0.787,0.778,0.587,0.702,0.232,0.307,0.781,0.790
354,0.744,0.486,0.199,0.756,0.693,0.551,0.699,,0.368,0.639,0.414,0.612,0.185,0.451,0.191,0.195,0.188,0.188,0.272,0.726,0.671,0.787,0.777,0.588,0.703,0.234,0.308,0.781,0.789
