Start time (UTC), 0446 
 Sky conditions, NSDV, from 50m mark on mist 
 Other notes, Freezing conditions with light dusting of snow. Large ponds are still open. Smallest and shallowest ponds are completely frozen and most extensively covered in snow. SDV changing to NSDV and misting from 50-m onward. 
 Ship latitude, 88.55312
 Ship longitude, 119.4471
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm),  1.0,  0.5, 31.0,  3.0,  0.5,  0.5,  2.0,  1.0,  0.5,  1.0, 35.0,  1.0, 34.0,  1.0, 47.0, 50.0, 47.0, 40.0, 32.0,  1.0,  0.0,  1.0,  1.0,  0.0,  0.5, 45.0,  0.0,  2.0,  2.0
Notes,                                               NaN,                                     asd3995 error,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                           from here on light mist,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,               camera changed due to icing of lens,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,                                               NaN,            frozen. Poked a hole: 25cm water depth,                                               NaN, (~25cm from lead edge. Lead/meltpond is 30cm d...
Change in incident (%),10.0, 20.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 20.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.769,0.471,0.191,0.713,0.752,0.543,0.679,0.526,0.426,0.609,0.290,0.741,0.184,0.547,0.187,0.228,0.186,0.173,0.300,0.753,0.670,0.757,0.760,0.624,0.705,0.246,0.304,0.796,0.617
351,0.770,0.471,0.191,0.714,0.751,0.544,0.679,0.526,0.426,0.610,0.291,0.741,0.184,0.547,0.188,0.228,0.186,0.173,0.301,0.753,0.670,0.759,0.760,0.624,0.706,0.247,0.306,0.796,0.616
352,0.770,0.472,0.191,0.715,0.750,0.544,0.679,0.527,0.427,0.610,0.292,0.742,0.185,0.548,0.189,0.227,0.187,0.174,0.301,0.754,0.669,0.759,0.761,0.625,0.707,0.247,0.307,0.795,0.617
353,0.769,0.473,0.192,0.715,0.750,0.543,0.680,0.526,0.427,0.611,0.293,0.743,0.185,0.550,0.190,0.229,0.188,0.175,0.302,0.755,0.670,0.757,0.761,0.625,0.707,0.247,0.307,0.794,0.619
354,0.769,0.473,0.193,0.715,0.751,0.542,0.680,0.526,0.427,0.610,0.292,0.743,0.185,0.549,0.191,0.231,0.189,0.175,0.302,0.755,0.670,0.757,0.761,0.625,0.708,0.248,0.307,0.795,0.618
