Start time (UTC), 0435 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Freezing conditions. 1-2 cm dusting of snow. More ponds becoming frozen with lids ranging in 1-4 cm thickness and dusted with snow 
 Ship latitude, 88.69853
 Ship longitude, 120.66368
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, p, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm),  2.0,  1.0, 32.0,  3.0,  2.0,  1.0,  2.0,  1.0,  1.0,  2.0, 35.0,  1.0, 33.0,  0.0, 42.0, 48.0, 36.0, 36.0, 30.0,  2.0,  1.0,  1.0,  1.0,  0.5,  0.5, 32.0, 25.0,  1.0,  2.0
Notes,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,        2.5cm ice lid,                  NaN,          4cm ice lid,               frozen,          3cm ice lid,        1.5cm ice lid,          2cm ice lid,           grease ice,        2.5cm ice lid,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,          2cm ice lid,          3cm ice lid,                  NaN, ~25cm from lead edge
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 20.0, 20.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.757,0.433,0.190,0.768,0.738,0.625,,0.697,0.494,0.730,0.409,0.701,0.173,0.344,0.189,0.211,0.182,0.184,0.345,0.751,0.731,0.793,0.808,0.703,0.746,0.244,0.281,0.808,0.780
351,0.757,0.433,0.191,0.770,0.738,0.625,,0.698,0.494,0.731,0.411,0.701,0.174,0.345,0.190,0.212,0.183,0.185,0.345,0.751,0.731,0.793,0.809,0.703,0.746,0.245,0.283,0.809,0.779
352,0.757,0.434,0.193,0.771,0.738,0.625,,0.698,0.494,0.730,0.411,0.701,0.176,0.347,0.191,0.213,0.184,0.185,0.346,0.752,0.733,0.793,0.810,0.703,0.746,0.247,0.284,0.809,0.779
353,0.757,0.435,0.194,0.770,0.739,0.625,,0.699,0.493,0.729,0.410,0.702,0.177,0.348,0.192,0.214,0.185,0.185,0.347,0.751,0.733,0.793,0.809,0.703,0.746,0.248,0.283,0.807,0.779
354,0.758,0.436,0.195,0.770,0.737,0.625,,0.699,0.495,0.731,0.410,0.703,0.178,0.349,0.193,0.214,0.185,0.186,0.346,0.750,0.731,0.793,0.810,0.703,0.746,0.249,0.284,0.809,0.780
355,0.757,0.436,0.196,0.770,0.737,0.626,,0.698,0.495,0.731,0.412,0.703,0.178,0.349,0.194,0.215,0.186,0.186,0.347,0.751,0.732,0.793,0.811,0.704,0.746,0.249,0.285,0.810,0.780
356,0.757,0.437,0.196,0.771,0.738,0.626,,0.698,0.494,0.730,0.413,0.702,0.178,0.348,0.195,0.216,0.186,0.187,0.348,0.753,0.733,0.794,0.810,0.704,0.747,0.250,0.285,0.810,0.781
357,0.759,0.437,0.195,0.770,0.737,0.625,,0.697,0.495,0.731,0.411,0.703,0.178,0.349,0.195,0.216,0.187,0.187,0.347,0.751,0.732,0.795,0.810,0.704,0.748,0.251,0.285,0.810,0.780
358,0.758,0.438,0.196,0.770,0.737,0.625,,0.698,0.495,0.731,0.411,0.703,0.178,0.350,0.195,0.216,0.188,0.186,0.347,0.751,0.731,0.793,0.809,0.704,0.747,0.251,0.286,0.809,0.780
359,0.757,0.438,0.197,0.772,0.738,0.626,,0.698,0.496,0.731,0.412,0.703,0.179,0.350,0.196,0.217,0.188,0.187,0.348,0.751,0.732,0.794,0.809,0.703,0.747,0.251,0.287,0.809,0.780
360,0.759,0.438,0.198,0.772,0.739,0.626,,0.698,0.496,0.731,0.413,0.703,0.180,0.351,0.197,0.218,0.189,0.190,0.349,0.752,0.733,0.795,0.811,0.703,0.747,0.253,0.288,0.809,0.781
361,0.759,0.439,0.198,0.771,0.739,0.626,,0.698,0.496,0.730,0.414,0.704,0.181,0.352,0.197,0.218,0.189,0.189,0.350,0.751,0.732,0.794,0.811,0.704,0.747,0.253,0.289,0.808,0.781
362,0.758,0.439,0.199,0.771,0.739,0.627,,0.698,0.496,0.731,0.414,0.703,0.182,0.352,0.197,0.219,0.190,0.190,0.350,0.751,0.733,0.793,0.810,0.704,0.748,0.254,0.289,0.809,0.781
363,0.758,0.439,0.199,0.772,0.739,0.627,,0.698,0.497,0.731,0.414,0.703,0.182,0.352,0.198,0.219,0.191,0.190,0.350,0.752,0.733,0.794,0.809,0.705,0.748,0.255,0.289,0.809,0.781
364,0.759,0.440,0.199,0.772,0.738,0.627,,0.698,0.496,0.731,0.413,0.703,0.183,0.353,0.198,0.220,0.191,0.190,0.350,0.752,0.734,0.795,0.809,0.704,0.747,0.255,0.289,0.808,0.781
365,0.760,0.440,0.200,0.772,0.739,0.627,,0.698,0.497,0.731,0.414,0.703,0.182,0.354,0.200,0.221,0.191,0.191,0.351,0.751,0.734,0.795,0.811,0.704,0.747,0.256,0.290,0.810,0.781
366,0.760,0.441,0.200,0.772,0.739,0.627,,0.698,0.498,0.731,0.415,0.704,0.183,0.355,0.201,0.221,0.192,0.191,0.351,0.752,0.734,0.795,0.810,0.705,0.748,0.257,0.291,0.810,0.780
367,0.759,0.441,0.201,0.772,0.739,0.627,,0.698,0.497,0.731,0.415,0.705,0.185,0.355,0.201,0.222,0.192,0.191,0.352,0.753,0.734,0.794,0.809,0.705,0.748,0.258,0.292,0.810,0.781
368,0.759,0.442,0.201,0.773,0.739,0.627,,0.698,0.498,0.730,0.416,0.705,0.185,0.356,0.202,0.222,0.193,0.192,0.352,0.753,0.734,0.796,0.810,0.704,0.748,0.258,0.293,0.809,0.782
369,0.759,0.441,0.202,0.773,0.738,0.628,,0.697,0.498,0.730,0.416,0.705,0.186,0.355,0.203,0.222,0.193,0.193,0.352,0.752,0.735,0.795,0.810,0.705,0.748,0.258,0.293,0.809,0.781
370,0.760,0.441,0.202,0.772,0.738,0.628,,0.697,0.498,0.732,0.416,0.705,0.186,0.356,0.203,0.222,0.193,0.193,0.352,0.751,0.734,0.795,0.811,0.705,0.748,0.259,0.293,0.810,0.781
371,0.760,0.442,0.203,0.773,0.739,0.628,,0.697,0.498,0.732,0.416,0.705,0.186,0.357,0.203,0.223,0.194,0.192,0.352,0.751,0.734,0.796,0.811,0.704,0.747,0.259,0.294,0.811,0.781
372,0.760,0.443,0.203,0.773,0.739,0.627,,0.697,0.498,0.731,0.416,0.705,0.185,0.356,0.204,0.224,0.193,0.193,0.353,0.752,0.733,0.796,0.810,0.705,0.748,0.259,0.294,0.810,0.781
373,0.761,0.444,0.203,0.773,0.739,0.627,,0.697,0.498,0.731,0.417,0.705,0.186,0.357,0.204,0.224,0.194,0.194,0.353,0.753,0.734,0.796,0.810,0.704,0.748,0.261,0.294,0.810,0.781
374,0.761,0.444,0.204,0.773,0.738,0.628,,0.697,0.499,0.732,0.417,0.705,0.188,0.358,0.205,0.224,0.196,0.195,0.354,0.753,0.734,0.796,0.811,0.704,0.748,0.262,0.295,0.811,0.781
375,0.760,0.444,0.204,0.773,0.739,0.628,,0.697,0.499,0.732,0.418,0.706,0.189,0.359,0.206,0.226,0.196,0.196,0.355,0.751,0.734,0.795,0.811,0.705,0.748,0.262,0.296,0.811,0.782
376,0.761,0.444,0.205,0.773,0.739,0.628,,0.698,0.500,0.731,0.418,0.706,0.189,0.359,0.207,0.225,0.197,0.196,0.353,0.752,0.734,0.795,0.811,0.705,0.747,0.263,0.297,0.811,0.782
377,0.760,0.444,0.205,0.773,0.739,0.628,,0.698,0.499,0.732,0.419,0.706,0.190,0.359,0.206,0.226,0.198,0.197,0.355,0.753,0.735,0.796,0.811,0.705,0.747,0.264,0.297,0.811,0.781
378,0.760,0.444,0.205,0.773,0.739,0.627,,0.697,0.498,0.732,0.418,0.706,0.190,0.359,0.206,0.227,0.197,0.197,0.356,0.752,0.736,0.796,0.811,0.705,0.748,0.264,0.297,0.810,0.781
379,0.761,0.444,0.206,0.774,0.740,0.628,,0.697,0.499,0.732,0.418,0.706,0.191,0.359,0.207,0.227,0.197,0.196,0.355,0.751,0.737,0.797,0.810,0.705,0.748,0.265,0.298,0.810,0.782
380,0.761,0.446,0.206,0.774,0.740,0.628,,0.697,0.499,0.732,0.419,0.706,0.192,0.360,0.208,0.227,0.199,0.198,0.356,0.753,0.736,0.797,0.811,0.705,0.749,0.265,0.299,0.811,0.782
381,0.761,0.446,0.205,0.773,0.740,0.628,,0.697,0.500,0.733,0.420,0.707,0.192,0.361,0.209,0.228,0.199,0.198,0.356,0.753,0.737,0.796,0.811,0.705,0.749,0.265,0.300,0.811,0.781
382,0.761,0.445,0.205,0.773,0.739,0.627,,0.697,0.501,0.733,0.420,0.707,0.193,0.361,0.209,0.228,0.198,0.197,0.356,0.752,0.738,0.795,0.812,0.706,0.748,0.266,0.300,0.811,0.781
383,0.761,0.446,0.207,0.774,0.740,0.629,,0.697,0.501,0.732,0.419,0.707,0.193,0.361,0.210,0.229,0.200,0.199,0.357,0.752,0.737,0.796,0.811,0.704,0.748,0.267,0.300,0.812,0.782
384,0.762,0.446,0.207,0.774,0.741,0.629,,0.697,0.499,0.733,0.420,0.707,0.193,0.362,0.210,0.230,0.200,0.199,0.358,0.754,0.736,0.797,0.812,0.704,0.748,0.267,0.300,0.813,0.781
385,0.762,0.447,0.207,0.774,0.741,0.629,,0.697,0.499,0.733,0.420,0.707,0.194,0.363,0.210,0.230,0.200,0.199,0.359,0.754,0.737,0.797,0.812,0.705,0.748,0.267,0.301,0.812,0.780
386,0.762,0.448,0.207,0.775,0.740,0.629,,0.696,0.502,0.733,0.420,0.706,0.195,0.363,0.211,0.229,0.201,0.200,0.358,0.752,0.737,0.796,0.812,0.706,0.749,0.268,0.302,0.811,0.781
