Start time (UTC), 0433 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Freezing conditions with all ponds frozen. 2-3 cm dusting of snow. mostly NSDV with brief SDV. 
 Ship latitude, 88.75032
 Ship longitude, 119.46099
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm),  3.0,  2.0, 32.0,  3.0,  2.0,  3.0,  2.0,  3.0,  2.0,  3.5, 38.0,  3.0, 38.0,  2.0, 47.0, 48.0, 50.0, 47.0, 33.0,  2.0,  2.0,  3.0,  3.0,  3.0,  2.0, 32.0,  0.0,  3.5,  1.0
Notes,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            SDV,            NaN,           NSDV,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,    frozen pond,            NaN, (next to lead)
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.845,0.463,0.211,0.840,0.855,0.811,0.853,0.841,0.802,0.833,0.435,0.772,0.210,0.466,0.206,0.234,0.221,0.214,0.375,0.862,0.847,0.865,0.865,0.849,0.841,0.262,0.306,0.863,0.801
351,0.844,0.463,0.211,0.839,0.855,0.810,0.852,0.841,0.803,0.834,0.435,0.772,0.210,0.466,0.208,0.235,0.222,0.214,0.376,0.862,0.848,0.865,0.864,0.849,0.842,0.263,0.307,0.863,0.802
352,0.844,0.464,0.212,0.839,0.856,0.809,0.853,0.842,0.803,0.834,0.435,0.772,0.211,0.467,0.209,0.236,0.223,0.215,0.377,0.861,0.848,0.866,0.864,0.848,0.843,0.263,0.307,0.863,0.803
353,0.845,0.465,0.213,0.838,0.855,0.810,0.853,0.841,0.802,0.834,0.437,0.773,0.212,0.468,0.209,0.236,0.224,0.216,0.377,0.860,0.848,0.866,0.863,0.848,0.842,0.263,0.309,0.864,0.803
354,0.845,0.465,0.212,0.839,0.856,0.810,0.853,0.841,0.801,0.834,0.437,0.774,0.213,0.469,0.209,0.237,0.225,0.216,0.377,0.861,0.848,0.866,0.863,0.849,0.842,0.263,0.310,0.863,0.802
355,0.845,0.466,0.213,0.840,0.856,0.810,0.853,0.842,0.802,0.835,0.437,0.774,0.214,0.469,0.210,0.238,0.225,0.217,0.377,0.861,0.848,0.866,0.864,0.849,0.842,0.264,0.310,0.863,0.802
356,0.845,0.466,0.214,0.840,0.855,0.810,0.852,0.843,0.802,0.835,0.438,0.774,0.214,0.468,0.211,0.238,0.226,0.218,0.378,0.861,0.847,0.866,0.864,0.848,0.843,0.265,0.311,0.863,0.803
357,0.845,0.467,0.214,0.839,0.856,0.810,0.852,0.842,0.802,0.835,0.438,0.773,0.215,0.468,0.210,0.238,0.227,0.218,0.379,0.862,0.847,0.865,0.865,0.849,0.843,0.266,0.310,0.863,0.804
358,0.845,0.467,0.214,0.839,0.856,0.811,0.853,0.841,0.802,0.835,0.438,0.774,0.215,0.468,0.211,0.238,0.226,0.218,0.378,0.863,0.847,0.865,0.865,0.849,0.842,0.266,0.311,0.862,0.804
359,0.845,0.467,0.215,0.839,0.855,0.811,0.853,0.841,0.802,0.835,0.438,0.774,0.216,0.469,0.213,0.240,0.226,0.219,0.378,0.862,0.847,0.865,0.864,0.848,0.841,0.267,0.312,0.862,0.803
360,0.845,0.468,0.216,0.839,0.855,0.810,0.851,0.841,0.802,0.835,0.439,0.775,0.216,0.471,0.213,0.241,0.228,0.220,0.380,0.861,0.848,0.865,0.864,0.847,0.842,0.267,0.312,0.863,0.803
361,0.846,0.469,0.217,0.839,0.856,0.812,0.853,0.842,0.801,0.835,0.438,0.774,0.217,0.472,0.214,0.241,0.228,0.221,0.380,0.861,0.848,0.865,0.864,0.849,0.842,0.268,0.313,0.863,0.804
362,0.845,0.469,0.217,0.839,0.856,0.811,0.853,0.841,0.801,0.835,0.438,0.774,0.217,0.472,0.215,0.241,0.229,0.221,0.380,0.861,0.848,0.865,0.863,0.848,0.841,0.269,0.314,0.863,0.803
363,0.844,0.469,0.217,0.839,0.857,0.810,0.853,0.841,0.801,0.835,0.439,0.774,0.217,0.472,0.215,0.242,0.229,0.221,0.381,0.861,0.847,0.865,0.863,0.847,0.841,0.269,0.314,0.863,0.803
364,0.844,0.469,0.218,0.839,0.857,0.811,0.853,0.842,0.801,0.835,0.439,0.774,0.217,0.471,0.215,0.241,0.230,0.221,0.380,0.861,0.846,0.865,0.864,0.849,0.842,0.270,0.315,0.864,0.804
365,0.845,0.470,0.218,0.840,0.857,0.811,0.854,0.842,0.801,0.835,0.439,0.775,0.218,0.472,0.216,0.243,0.230,0.223,0.381,0.861,0.848,0.865,0.864,0.848,0.842,0.271,0.315,0.864,0.805
366,0.846,0.470,0.219,0.840,0.857,0.811,0.853,0.841,0.802,0.835,0.439,0.775,0.220,0.473,0.217,0.243,0.231,0.223,0.382,0.861,0.848,0.865,0.864,0.848,0.841,0.271,0.315,0.864,0.805
367,0.847,0.470,0.220,0.840,0.857,0.811,0.852,0.841,0.802,0.835,0.439,0.775,0.220,0.474,0.218,0.244,0.232,0.223,0.382,0.861,0.847,0.865,0.864,0.849,0.841,0.272,0.316,0.864,0.805
368,0.847,0.471,0.220,0.840,0.857,0.810,0.852,0.841,0.801,0.835,0.440,0.775,0.220,0.475,0.219,0.245,0.232,0.224,0.382,0.862,0.848,0.865,0.864,0.848,0.842,0.272,0.316,0.865,0.805
369,0.846,0.472,0.221,0.840,0.856,0.810,0.853,0.841,0.802,0.835,0.440,0.776,0.221,0.474,0.219,0.245,0.232,0.224,0.382,0.862,0.847,0.865,0.863,0.847,0.842,0.272,0.316,0.864,0.804
370,0.846,0.472,0.221,0.840,0.856,0.810,0.853,0.842,0.802,0.835,0.440,0.776,0.221,0.474,0.220,0.245,0.233,0.225,0.382,0.861,0.847,0.865,0.864,0.848,0.842,0.273,0.316,0.863,0.804
371,0.847,0.472,0.221,0.840,0.855,0.811,0.853,0.843,0.801,0.834,0.440,0.775,0.221,0.474,0.220,0.245,0.234,0.225,0.383,0.862,0.846,0.865,0.865,0.849,0.842,0.274,0.317,0.863,0.805
372,0.846,0.472,0.221,0.841,0.856,0.810,0.852,0.842,0.802,0.835,0.441,0.776,0.222,0.475,0.220,0.246,0.234,0.224,0.383,0.861,0.847,0.865,0.864,0.848,0.842,0.275,0.317,0.864,0.806
373,0.846,0.472,0.221,0.840,0.856,0.810,0.853,0.842,0.802,0.835,0.442,0.776,0.223,0.476,0.221,0.247,0.234,0.225,0.384,0.860,0.847,0.865,0.864,0.848,0.842,0.275,0.318,0.865,0.805
374,0.846,0.473,0.222,0.839,0.856,0.810,0.853,0.841,0.801,0.836,0.442,0.776,0.224,0.476,0.221,0.248,0.235,0.226,0.384,0.860,0.847,0.864,0.863,0.848,0.842,0.275,0.319,0.865,0.805
375,0.846,0.473,0.223,0.840,0.857,0.811,0.853,0.841,0.801,0.836,0.442,0.774,0.224,0.476,0.222,0.248,0.236,0.226,0.384,0.861,0.847,0.865,0.863,0.848,0.842,0.276,0.319,0.865,0.804
376,0.847,0.473,0.223,0.840,0.857,0.811,0.852,0.842,0.802,0.836,0.442,0.775,0.225,0.476,0.222,0.248,0.236,0.227,0.384,0.861,0.846,0.866,0.864,0.848,0.842,0.277,0.319,0.865,0.805
377,0.846,0.473,0.224,0.840,0.857,0.811,0.852,0.841,0.802,0.837,0.442,0.776,0.225,0.477,0.223,0.248,0.237,0.228,0.384,0.861,0.847,0.865,0.864,0.848,0.842,0.277,0.320,0.865,0.805
378,0.846,0.474,0.224,0.840,0.856,0.811,0.853,0.841,0.802,0.837,0.442,0.776,0.225,0.477,0.224,0.249,0.238,0.228,0.385,0.861,0.847,0.865,0.864,0.848,0.842,0.278,0.320,0.864,0.805
379,0.846,0.474,0.224,0.840,0.856,0.810,0.853,0.841,0.802,0.836,0.441,0.775,0.226,0.477,0.224,0.250,0.237,0.229,0.385,0.861,0.846,0.864,0.863,0.848,0.842,0.278,0.320,0.864,0.806
380,0.847,0.475,0.225,0.841,0.857,0.810,0.851,0.842,0.802,0.835,0.442,0.776,0.227,0.477,0.226,0.251,0.238,0.229,0.386,0.861,0.846,0.864,0.863,0.848,0.841,0.278,0.322,0.865,0.806
381,0.846,0.475,0.226,0.841,0.857,0.811,0.852,0.843,0.802,0.836,0.442,0.776,0.227,0.478,0.226,0.251,0.239,0.229,0.386,0.861,0.847,0.865,0.863,0.848,0.841,0.279,0.322,0.865,0.806
382,0.846,0.475,0.226,0.841,0.856,0.810,0.853,0.842,0.802,0.836,0.441,0.776,0.228,0.479,0.225,0.251,0.239,0.230,0.386,0.861,0.847,0.865,0.864,0.848,0.842,0.280,0.321,0.866,0.805
383,0.848,0.476,0.227,0.841,0.856,0.810,0.853,0.842,0.802,0.836,0.442,0.777,0.228,0.479,0.225,0.252,0.240,0.231,0.387,0.861,0.847,0.864,0.864,0.847,0.843,0.282,0.323,0.865,0.805
384,0.847,0.476,0.227,0.841,0.856,0.811,0.852,0.841,0.802,0.836,0.443,0.778,0.229,0.479,0.226,0.252,0.241,0.231,0.387,0.860,0.847,0.864,0.864,0.847,0.842,0.282,0.323,0.865,0.805
385,0.847,0.476,0.227,0.840,0.856,0.812,0.852,0.841,0.802,0.836,0.443,0.778,0.230,0.479,0.228,0.252,0.241,0.231,0.387,0.861,0.847,0.864,0.863,0.848,0.841,0.282,0.323,0.865,0.806
386,0.847,0.477,0.228,0.840,0.858,0.812,0.852,0.841,0.802,0.836,0.443,0.777,0.229,0.480,0.228,0.253,0.241,0.231,0.387,0.861,0.846,0.864,0.864,0.848,0.841,0.282,0.324,0.864,0.807
387,0.846,0.477,0.228,0.840,0.857,0.811,0.852,0.842,0.802,0.836,0.444,0.777,0.231,0.480,0.229,0.254,0.243,0.232,0.388,0.860,0.847,0.864,0.864,0.847,0.841,0.282,0.324,0.865,0.807
388,0.846,0.478,0.229,0.840,0.856,0.811,0.851,0.842,0.803,0.836,0.445,0.777,0.231,0.481,0.229,0.255,0.242,0.233,0.388,0.861,0.847,0.865,0.864,0.848,0.842,0.283,0.325,0.865,0.806
