Start time (UTC), 1312 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Freezing conditions with all ponds frozen. 2-3 cm dusting of snow. mostly NSDV with brief SDV. 
 Ship latitude, 88.74587
 Ship longitude, 119.2608
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm),  3,  2, 33,  4,  2,  2,  3,  2,  2,  2, 42,  3, 34,  2, 52, 49, 54, 47, 33,  2,  3,  3,  3,  2,  3, 37,  0,  2,  1
Notes,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,                NaN,   frozen over pond,                NaN, snow. next to lead
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.858,0.493,0.213,0.833,0.847,0.813,0.852,0.832,0.805,0.832,0.424,0.814,0.215,0.437,0.198,0.208,0.226,0.217,0.314,0.851,0.844,0.868,0.870,0.848,0.836,0.275,0.290,0.870,0.833
351,0.859,0.492,0.214,0.834,0.850,0.812,0.852,0.831,0.806,0.832,0.426,0.812,0.217,0.437,0.200,0.210,0.226,0.218,0.315,0.852,0.844,0.868,0.870,0.847,0.837,0.275,0.289,0.871,0.832
352,0.860,0.493,0.214,0.832,0.851,0.812,0.853,0.830,0.806,0.833,0.427,0.811,0.217,0.438,0.202,0.211,0.227,0.220,0.315,0.852,0.844,0.867,0.871,0.847,0.838,0.275,0.290,0.872,0.831
353,0.861,0.495,0.216,0.831,0.847,0.816,0.852,0.832,0.804,0.831,0.426,0.814,0.218,0.440,0.201,0.211,0.230,0.222,0.316,0.851,0.846,0.865,0.871,0.850,0.837,0.277,0.292,0.870,0.833
354,0.861,0.494,0.216,0.832,0.848,0.816,0.854,0.830,0.806,0.833,0.425,0.813,0.219,0.439,0.201,0.213,0.230,0.220,0.318,0.850,0.843,0.867,0.870,0.848,0.836,0.277,0.292,0.870,0.831
355,0.859,0.495,0.216,0.833,0.850,0.815,0.857,0.829,0.806,0.833,0.425,0.812,0.218,0.439,0.202,0.214,0.230,0.220,0.318,0.850,0.843,0.868,0.870,0.847,0.837,0.277,0.292,0.871,0.831
356,0.858,0.497,0.216,0.834,0.851,0.815,0.857,0.831,0.805,0.833,0.425,0.812,0.217,0.440,0.203,0.214,0.231,0.221,0.317,0.850,0.844,0.866,0.871,0.847,0.837,0.277,0.293,0.872,0.832
357,0.857,0.496,0.216,0.832,0.849,0.814,0.853,0.832,0.804,0.833,0.425,0.812,0.220,0.440,0.203,0.213,0.230,0.222,0.319,0.851,0.841,0.863,0.871,0.847,0.836,0.278,0.293,0.872,0.831
358,0.859,0.496,0.216,0.833,0.849,0.816,0.852,0.832,0.804,0.833,0.425,0.811,0.221,0.439,0.204,0.213,0.231,0.222,0.318,0.851,0.844,0.866,0.870,0.847,0.836,0.278,0.293,0.871,0.834
359,0.859,0.497,0.217,0.833,0.849,0.816,0.853,0.832,0.805,0.833,0.426,0.812,0.222,0.440,0.204,0.214,0.232,0.223,0.318,0.851,0.844,0.868,0.869,0.847,0.836,0.279,0.293,0.871,0.835
360,0.858,0.498,0.218,0.832,0.849,0.816,0.853,0.833,0.805,0.832,0.428,0.813,0.222,0.443,0.205,0.215,0.233,0.225,0.319,0.851,0.841,0.868,0.870,0.846,0.836,0.280,0.294,0.870,0.833
361,0.860,0.498,0.219,0.833,0.848,0.817,0.853,0.832,0.804,0.834,0.428,0.813,0.223,0.443,0.207,0.216,0.232,0.224,0.322,0.849,0.843,0.867,0.871,0.847,0.835,0.282,0.295,0.872,0.834
