Start time (UTC), 1515 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. All ponds frozen over with light drifting snow. Increasing snowfall and gusty winds. NSDV 
 Ship latitude, 88.75705
 Ship longitude, 116.57345
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, s, s, s, p, s, p, s, p, p, p, p, p, s, s, s, s, s, s, p, p, s, s
Surface thickness (cm), 1.0, 1.0, 0.0, 5.0, 3.0, 2.0, 3.0, 1.0, 2.0, 4.0, 0.0, 1.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 2.0, 1.5, 2.0, 1.0, 0.0, 0.0, 3.0, 2.0
Notes,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN, ice surface swamped while breaking ice,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN, ice surface swamped while breaking ice,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN,                                    NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.828,0.475,0.248,0.818,0.834,0.777,0.844,0.819,0.782,0.818,0.544,0.797,0.242,0.560,0.245,0.317,0.220,0.237,0.338,0.847,0.830,0.855,0.860,0.842,0.836,0.353,0.400,0.858,0.779
351,0.826,0.475,0.247,0.817,0.834,0.778,0.845,0.819,0.783,0.819,0.545,0.798,0.244,0.561,0.248,0.318,0.221,0.238,0.340,0.848,0.830,0.855,0.858,0.840,0.836,0.352,0.402,0.859,0.778
352,0.827,0.476,0.246,0.817,0.833,0.777,0.845,0.815,0.786,0.820,0.545,0.797,0.246,0.561,0.249,0.320,0.222,0.239,0.340,0.848,0.829,0.857,0.857,0.839,0.835,0.353,0.405,0.858,0.776
353,0.829,0.477,0.249,0.819,0.834,0.776,0.841,0.816,0.784,0.819,0.544,0.797,0.244,0.563,0.249,0.322,0.223,0.239,0.340,0.847,0.829,0.857,0.858,0.843,0.834,0.356,0.404,0.855,0.778
354,0.829,0.476,0.249,0.820,0.835,0.776,0.844,0.818,0.781,0.821,0.546,0.797,0.244,0.562,0.248,0.321,0.224,0.238,0.340,0.845,0.830,0.859,0.859,0.842,0.836,0.357,0.403,0.858,0.779
355,0.828,0.476,0.249,0.818,0.833,0.777,0.843,0.818,0.781,0.822,0.548,0.795,0.246,0.560,0.249,0.321,0.225,0.240,0.342,0.845,0.830,0.858,0.859,0.840,0.837,0.356,0.404,0.861,0.778
356,0.828,0.477,0.250,0.816,0.832,0.778,0.840,0.817,0.783,0.821,0.549,0.794,0.248,0.560,0.252,0.321,0.226,0.241,0.343,0.847,0.830,0.856,0.859,0.839,0.835,0.356,0.404,0.861,0.776
357,0.830,0.477,0.252,0.820,0.834,0.776,0.842,0.814,0.784,0.820,0.547,0.797,0.246,0.564,0.250,0.321,0.224,0.240,0.342,0.850,0.828,0.855,0.860,0.838,0.833,0.357,0.403,0.859,0.775
358,0.828,0.477,0.251,0.819,0.834,0.777,0.843,0.817,0.783,0.821,0.544,0.798,0.244,0.562,0.249,0.322,0.226,0.239,0.342,0.846,0.831,0.854,0.861,0.840,0.837,0.357,0.402,0.860,0.778
359,0.827,0.477,0.251,0.818,0.835,0.778,0.844,0.818,0.781,0.821,0.544,0.798,0.246,0.563,0.250,0.323,0.228,0.241,0.342,0.845,0.831,0.855,0.862,0.843,0.838,0.356,0.403,0.860,0.780
360,0.830,0.478,0.253,0.818,0.835,0.777,0.844,0.816,0.779,0.820,0.546,0.798,0.251,0.567,0.252,0.324,0.228,0.243,0.343,0.848,0.829,0.856,0.861,0.843,0.836,0.357,0.407,0.860,0.780
361,0.829,0.477,0.254,0.818,0.834,0.777,0.841,0.817,0.781,0.822,0.547,0.800,0.250,0.568,0.254,0.324,0.227,0.245,0.344,0.848,0.831,0.858,0.861,0.841,0.836,0.359,0.408,0.859,0.779
362,0.829,0.479,0.254,0.819,0.835,0.777,0.844,0.817,0.782,0.822,0.547,0.799,0.249,0.566,0.254,0.325,0.227,0.244,0.345,0.849,0.830,0.858,0.861,0.840,0.835,0.360,0.407,0.858,0.779
363,0.829,0.480,0.253,0.819,0.836,0.777,0.846,0.817,0.782,0.821,0.547,0.798,0.249,0.564,0.253,0.326,0.226,0.243,0.345,0.849,0.829,0.858,0.861,0.840,0.835,0.359,0.405,0.857,0.780
364,0.829,0.479,0.253,0.818,0.834,0.775,0.842,0.818,0.782,0.821,0.548,0.797,0.248,0.563,0.252,0.324,0.227,0.244,0.344,0.847,0.829,0.859,0.863,0.839,0.836,0.357,0.406,0.859,0.778
365,0.828,0.480,0.254,0.819,0.835,0.778,0.841,0.818,0.783,0.823,0.547,0.798,0.250,0.565,0.254,0.324,0.228,0.244,0.345,0.847,0.832,0.858,0.862,0.841,0.838,0.359,0.408,0.859,0.778
366,0.828,0.481,0.255,0.820,0.835,0.777,0.842,0.819,0.783,0.824,0.547,0.798,0.252,0.566,0.256,0.326,0.230,0.245,0.346,0.848,0.831,0.859,0.860,0.842,0.837,0.360,0.408,0.858,0.778
367,0.829,0.482,0.256,0.819,0.835,0.776,0.843,0.819,0.782,0.824,0.548,0.798,0.253,0.566,0.257,0.329,0.232,0.246,0.347,0.849,0.828,0.859,0.861,0.843,0.836,0.361,0.407,0.858,0.778
368,0.829,0.483,0.258,0.817,0.836,0.780,0.843,0.817,0.781,0.824,0.550,0.798,0.254,0.566,0.258,0.330,0.232,0.246,0.348,0.849,0.830,0.858,0.862,0.842,0.837,0.362,0.408,0.860,0.779
