Start time (UTC), 1051 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. All ponds frozen over with light drifting snow. Increasing snowfall and gusty winds. NSDV 
 Ship latitude, 88.74355
 Ship longitude, 117.93712
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, p, s, s, s, s, p, p, p, p, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s
Surface thickness (cm),  2.0,  0.0,  1.0,  2.0,  3.0,  4.0, 38.0, 27.0, 33.0,  0.0,  2.0,  3.5,  1.0,  3.0,  1.0,  1.0,  1.0,  2.0,  2.0,  3.0,  2.0,  3.0,  2.0,  3.0,  1.0,  2.0,  1.0,  3.0,  4.5
Notes,    NaN, frozen,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN, frozen,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN
Change in incident (%),10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.792,0.511,0.836,0.858,0.848,0.799,0.240,0.239,0.224,0.410,0.658,0.852,0.855,0.835,0.854,0.783,0.840,0.839,0.843,0.868,0.858,0.893,0.888,0.899,0.899,0.891,0.916,0.892,0.871
351,0.793,0.511,0.836,0.858,0.849,0.799,0.241,0.240,0.225,0.412,0.658,0.852,0.854,0.835,0.855,0.782,0.842,0.840,0.842,0.867,0.859,0.893,0.887,0.898,0.897,0.893,0.916,0.892,0.872
352,0.793,0.513,0.836,0.857,0.848,0.798,0.241,0.240,0.226,0.413,0.657,0.850,0.852,0.834,0.856,0.782,0.842,0.842,0.842,0.866,0.859,0.894,0.886,0.899,0.896,0.894,0.914,0.892,0.872
353,0.793,0.514,0.836,0.857,0.847,0.800,0.245,0.240,0.227,0.414,0.657,0.852,0.853,0.834,0.856,0.783,0.840,0.842,0.843,0.866,0.856,0.893,0.886,0.899,0.898,0.892,0.913,0.893,0.872
354,0.792,0.514,0.835,0.857,0.847,0.800,0.245,0.241,0.227,0.413,0.660,0.851,0.853,0.835,0.855,0.784,0.842,0.842,0.843,0.867,0.857,0.893,0.888,0.898,0.898,0.890,0.913,0.892,0.870
