Start time (UTC), 0437 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Freezing conditions with a light snowfall 
 Ship latitude, 88.7704
 Ship longitude, 101.64534
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, s, s, p, s, s, s, s, s
Surface thickness (cm),  3,  5,  6,  2, 11, 14,  4,  0,  2,  8,  3,  4,  7
Notes,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN, frozen pond,         NaN,         NaN,         NaN,         NaN,         NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
350,0.872,0.869,0.912,0.906,0.934,0.880,0.877,0.596,0.875,0.903,0.915,0.874,0.911
351,0.871,0.870,0.911,0.906,0.933,0.880,0.875,0.597,0.873,0.903,0.915,0.873,0.910
352,0.871,0.872,0.912,0.907,0.933,0.880,0.874,0.597,0.872,0.903,0.917,0.874,0.911
353,0.870,0.871,0.915,0.905,0.935,0.879,0.877,0.597,0.874,0.904,0.917,0.873,0.914
354,0.872,0.871,0.914,0.906,0.934,0.881,0.876,0.598,0.873,0.904,0.917,0.874,0.912
355,0.872,0.872,0.912,0.906,0.933,0.882,0.876,0.598,0.873,0.904,0.915,0.874,0.911
356,0.871,0.873,0.912,0.906,0.933,0.881,0.876,0.598,0.873,0.904,0.914,0.874,0.912
357,0.872,0.873,0.914,0.906,0.932,0.881,0.876,0.598,0.872,0.905,0.916,0.874,0.912
358,0.872,0.871,0.913,0.907,0.932,0.881,0.876,0.598,0.874,0.903,0.915,0.873,0.912
359,0.872,0.871,0.912,0.907,0.933,0.880,0.876,0.598,0.874,0.902,0.915,0.874,0.912
360,0.871,0.873,0.912,0.906,0.935,0.879,0.876,0.598,0.872,0.903,0.917,0.875,0.910
361,0.871,0.871,0.912,0.905,0.935,0.882,0.876,0.600,0.874,0.904,0.916,0.874,0.911
362,0.872,0.871,0.914,0.905,0.935,0.882,0.876,0.599,0.874,0.904,0.916,0.873,0.912
363,0.872,0.872,0.914,0.905,0.934,0.881,0.876,0.598,0.874,0.903,0.916,0.873,0.912
364,0.871,0.872,0.913,0.906,0.934,0.882,0.875,0.598,0.874,0.902,0.917,0.874,0.911
365,0.871,0.872,0.914,0.905,0.933,0.881,0.875,0.600,0.874,0.904,0.916,0.875,0.911
366,0.871,0.871,0.914,0.905,0.933,0.882,0.875,0.600,0.874,0.904,0.916,0.875,0.913
367,0.871,0.871,0.913,0.905,0.933,0.882,0.875,0.600,0.874,0.903,0.916,0.874,0.914
368,0.871,0.872,0.913,0.906,0.933,0.881,0.876,0.601,0.875,0.904,0.917,0.874,0.912
369,0.872,0.873,0.913,0.907,0.934,0.882,0.876,0.601,0.875,0.904,0.917,0.875,0.912
370,0.872,0.873,0.913,0.907,0.934,0.882,0.877,0.601,0.873,0.904,0.915,0.874,0.912
371,0.871,0.872,0.914,0.905,0.934,0.882,0.877,0.602,0.872,0.904,0.914,0.873,0.911
372,0.869,0.872,0.914,0.905,0.933,0.882,0.877,0.603,0.874,0.903,0.915,0.874,0.912
373,0.871,0.872,0.913,0.906,0.934,0.882,0.876,0.602,0.874,0.904,0.916,0.875,0.912
374,0.872,0.872,0.913,0.906,0.934,0.882,0.876,0.601,0.873,0.903,0.916,0.874,0.911
375,0.871,0.871,0.913,0.906,0.934,0.881,0.876,0.602,0.874,0.903,0.916,0.874,0.911
376,0.871,0.872,0.913,0.906,0.934,0.882,0.877,0.602,0.874,0.904,0.917,0.874,0.911
377,0.872,0.872,0.914,0.906,0.934,0.882,0.876,0.602,0.875,0.904,0.916,0.874,0.912
378,0.871,0.872,0.914,0.905,0.933,0.883,0.875,0.602,0.875,0.903,0.916,0.873,0.913
379,0.870,0.873,0.913,0.906,0.935,0.883,0.876,0.604,0.875,0.903,0.915,0.874,0.911
380,0.871,0.873,0.912,0.905,0.932,0.881,0.876,0.604,0.875,0.903,0.915,0.873,0.912
381,0.872,0.872,0.912,0.906,0.933,0.881,0.875,0.604,0.874,0.904,0.916,0.873,0.912
382,0.871,0.872,0.913,0.906,0.935,0.881,0.875,0.604,0.874,0.904,0.918,0.874,0.913
383,0.871,0.873,0.912,0.905,0.933,0.882,0.876,0.604,0.875,0.903,0.916,0.876,0.913
384,0.870,0.873,0.912,0.906,0.934,0.882,0.876,0.604,0.875,0.904,0.915,0.875,0.912
385,0.871,0.873,0.913,0.906,0.934,0.883,0.876,0.605,0.874,0.904,0.916,0.874,0.911
386,0.871,0.873,0.913,0.906,0.934,0.882,0.875,0.605,0.873,0.903,0.917,0.875,0.912
387,0.871,0.873,0.912,0.907,0.934,0.882,0.877,0.605,0.874,0.904,0.916,0.875,0.912
388,0.870,0.872,0.911,0.906,0.935,0.883,0.877,0.605,0.874,0.905,0.917,0.874,0.912
389,0.870,0.872,0.912,0.906,0.935,0.884,0.876,0.605,0.874,0.905,0.917,0.873,0.912
390,0.871,0.870,0.914,0.906,0.934,0.883,0.875,0.605,0.873,0.905,0.916,0.874,0.914
391,0.872,0.873,0.913,0.906,0.935,0.883,0.876,0.606,0.875,0.904,0.918,0.875,0.914
392,0.871,0.873,0.912,0.905,0.934,0.883,0.876,0.605,0.874,0.903,0.917,0.875,0.912
393,0.870,0.871,0.913,0.905,0.933,0.883,0.876,0.605,0.873,0.903,0.915,0.875,0.912
394,0.870,0.872,0.912,0.906,0.933,0.883,0.875,0.606,0.875,0.903,0.915,0.875,0.912
395,0.870,0.872,0.912,0.905,0.934,0.884,0.877,0.606,0.875,0.904,0.915,0.875,0.912
396,0.870,0.873,0.912,0.905,0.934,0.885,0.877,0.605,0.875,0.904,0.916,0.875,0.912
397,0.869,0.872,0.912,0.906,0.934,0.884,0.875,0.606,0.875,0.904,0.917,0.874,0.912
398,0.870,0.873,0.912,0.905,0.934,0.883,0.876,0.606,0.874,0.904,0.916,0.874,0.911
399,0.870,0.872,0.913,0.905,0.934,0.883,0.876,0.606,0.874,0.904,0.915,0.874,0.911
400,0.870,0.872,0.913,0.906,0.935,0.883,0.876,0.606,0.874,0.903,0.916,0.875,0.912
401,0.871,0.872,0.912,0.906,0.935,0.884,0.876,0.606,0.875,0.903,0.917,0.876,0.912
402,0.870,0.872,0.913,0.906,0.934,0.884,0.875,0.606,0.874,0.903,0.917,0.874,0.913
403,0.870,0.872,0.913,0.906,0.934,0.884,0.876,0.606,0.874,0.904,0.916,0.874,0.912
404,0.870,0.872,0.912,0.906,0.934,0.884,0.876,0.606,0.875,0.903,0.916,0.875,0.911
405,0.869,0.873,0.912,0.905,0.934,0.884,0.875,0.607,0.875,0.902,0.915,0.875,0.912
406,0.870,0.872,0.913,0.905,0.934,0.884,0.876,0.606,0.875,0.903,0.916,0.875,0.911
407,0.870,0.871,0.913,0.905,0.934,0.884,0.876,0.606,0.875,0.903,0.917,0.874,0.911
408,0.870,0.872,0.912,0.905,0.935,0.883,0.876,0.606,0.874,0.903,0.916,0.874,0.911
409,0.870,0.872,0.913,0.905,0.934,0.884,0.876,0.607,0.875,0.903,0.915,0.875,0.912
410,0.870,0.872,0.913,0.905,0.934,0.884,0.876,0.607,0.875,0.903,0.915,0.875,0.911
411,0.869,0.872,0.912,0.905,0.934,0.884,0.876,0.608,0.875,0.903,0.916,0.874,0.911
412,0.869,0.872,0.912,0.905,0.935,0.884,0.876,0.608,0.874,0.903,0.916,0.875,0.912
413,0.870,0.872,0.913,0.905,0.934,0.884,0.876,0.608,0.874,0.903,0.915,0.875,0.912
414,0.869,0.872,0.913,0.905,0.934,0.884,0.876,0.607,0.874,0.903,0.915,0.874,0.912
415,0.869,0.872,0.912,0.905,0.933,0.884,0.876,0.607,0.874,0.902,0.916,0.874,0.912
416,0.869,0.872,0.912,0.905,0.933,0.884,0.876,0.608,0.875,0.902,0.916,0.874,0.911
417,0.870,0.872,0.912,0.905,0.934,0.884,0.876,0.608,0.874,0.902,0.916,0.874,0.911
418,0.869,0.872,0.912,0.905,0.934,0.885,0.876,0.608,0.874,0.903,0.916,0.875,0.912
419,0.869,0.871,0.911,0.905,0.934,0.885,0.876,0.608,0.874,0.903,0.915,0.875,0.911
420,0.869,0.871,0.912,0.905,0.934,0.885,0.876,0.608,0.875,0.902,0.915,0.874,0.911
421,0.869,0.872,0.912,0.905,0.933,0.885,0.876,0.608,0.874,0.902,0.915,0.875,0.911
422,0.869,0.872,0.912,0.905,0.934,0.885,0.876,0.608,0.874,0.902,0.915,0.875,0.911
423,0.869,0.872,0.912,0.905,0.934,0.885,0.876,0.608,0.874,0.902,0.915,0.874,0.911
424,0.869,0.871,0.912,0.904,0.934,0.886,0.876,0.608,0.875,0.902,0.915,0.874,0.911
425,0.869,0.871,0.912,0.904,0.934,0.886,0.876,0.608,0.874,0.902,0.915,0.874,0.911
426,0.869,0.871,0.912,0.904,0.934,0.886,0.876,0.608,0.874,0.902,0.915,0.874,0.911
427,0.868,0.871,0.912,0.904,0.933,0.886,0.876,0.608,0.875,0.902,0.915,0.874,0.912
428,0.869,0.872,0.912,0.904,0.933,0.885,0.876,0.608,0.874,0.902,0.915,0.874,0.911
429,0.869,0.872,0.912,0.905,0.933,0.886,0.876,0.608,0.875,0.902,0.915,0.874,0.911
430,0.868,0.872,0.912,0.905,0.933,0.886,0.876,0.608,0.875,0.902,0.914,0.874,0.911
431,0.868,0.872,0.912,0.905,0.933,0.886,0.876,0.608,0.874,0.902,0.914,0.874,0.911
432,0.868,0.872,0.912,0.905,0.933,0.886,0.876,0.608,0.874,0.902,0.915,0.875,0.911
433,0.868,0.871,0.911,0.904,0.933,0.886,0.875,0.608,0.874,0.901,0.915,0.875,0.911
434,0.868,0.871,0.911,0.904,0.933,0.886,0.875,0.608,0.874,0.901,0.915,0.874,0.911
435,0.868,0.871,0.911,0.904,0.933,0.886,0.875,0.608,0.874,0.901,0.914,0.874,0.911
436,0.868,0.871,0.911,0.904,0.933,0.886,0.876,0.608,0.874,0.901,0.914,0.874,0.911
437,0.868,0.871,0.911,0.904,0.933,0.886,0.876,0.608,0.874,0.901,0.914,0.874,0.910
438,0.868,0.871,0.911,0.904,0.933,0.887,0.876,0.609,0.874,0.901,0.915,0.874,0.911
439,0.868,0.871,0.911,0.904,0.933,0.887,0.876,0.609,0.874,0.901,0.914,0.874,0.911
440,0.868,0.871,0.911,0.904,0.933,0.886,0.876,0.608,0.874,0.901,0.914,0.874,0.911
441,0.868,0.871,0.911,0.904,0.933,0.886,0.875,0.608,0.874,0.901,0.914,0.874,0.911
442,0.868,0.871,0.911,0.904,0.933,0.886,0.875,0.608,0.874,0.901,0.914,0.874,0.911
443,0.868,0.871,0.910,0.904,0.933,0.887,0.876,0.608,0.874,0.901,0.914,0.874,0.911
444,0.868,0.871,0.910,0.904,0.933,0.887,0.876,0.608,0.874,0.901,0.914,0.874,0.911
445,0.868,0.871,0.911,0.903,0.933,0.887,0.875,0.608,0.874,0.901,0.914,0.874,0.911
446,0.867,0.871,0.911,0.903,0.933,0.887,0.875,0.608,0.874,0.901,0.914,0.874,0.911
