Start time (UTC), 0532 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Freezing conditions with a light snowfall 
 Ship latitude, 88.77147
 Ship longitude, 101.60265
Position, 1, 1
Surface type,NaN,NaN
Surface thickness (cm),NaN,NaN
Notes, standing position, kneeling position
Change in incident (%),10.0, 10.0
Wavelengths,Albedo0,Albedo1
350,0.573,0.474
351,0.573,0.474
352,0.573,0.474
353,0.574,0.475
354,0.574,0.475
355,0.574,0.475
356,0.574,0.475
357,0.574,0.475
358,0.573,0.473
359,0.574,0.474
360,0.575,0.475
361,0.575,0.475
362,0.574,0.474
363,0.574,0.474
364,0.574,0.474
365,0.573,0.475
366,0.573,0.476
367,0.573,0.475
368,0.572,0.474
369,0.573,0.475
370,0.574,0.475
371,0.573,0.475
372,0.573,0.476
373,0.574,0.476
374,0.574,0.475
375,0.573,0.476
376,0.573,0.476
377,0.573,0.475
378,0.573,0.475
379,0.573,0.475
380,0.573,0.474
381,0.573,0.474
382,0.574,0.474
383,0.572,0.475
384,0.572,0.475
385,0.573,0.475
386,0.572,0.474
387,0.571,0.474
388,0.572,0.475
389,0.573,0.476
390,0.574,0.475
391,0.573,0.475
392,0.574,0.476
393,0.574,0.476
394,0.574,0.476
395,0.573,0.476
396,0.573,0.476
397,0.573,0.475
398,0.573,0.475
399,0.574,0.475
400,0.574,0.475
401,0.574,0.475
402,0.574,0.475
403,0.573,0.475
404,0.573,0.475
405,0.574,0.476
406,0.573,0.476
407,0.573,0.476
408,0.573,0.475
409,0.573,0.476
410,0.573,0.476
411,0.574,0.476
412,0.573,0.475
413,0.573,0.475
414,0.573,0.475
415,0.573,0.475
416,0.573,0.476
417,0.573,0.476
418,0.573,0.475
419,0.573,0.475
420,0.573,0.476
421,0.573,0.476
422,0.573,0.476
423,0.574,0.476
424,0.573,0.475
425,0.573,0.476
426,0.573,0.476
427,0.573,0.476
428,0.573,0.475
429,0.573,0.476
430,0.573,0.476
431,0.572,0.476
432,0.572,0.476
433,0.572,0.476
434,0.573,0.476
435,0.573,0.476
436,0.573,0.476
437,0.572,0.476
438,0.572,0.476
439,0.573,0.476
440,0.573,0.476
441,0.573,0.476
442,0.572,0.476
443,0.573,0.476
444,0.573,0.476
445,0.572,0.476
446,0.572,0.476
447,0.572,0.476
448,0.572,0.476
449,0.572,0.476
450,0.572,0.476
451,0.572,0.476
452,0.572,0.476
453,0.572,0.476
454,0.572,0.476
455,0.572,0.476
456,0.572,0.476
457,0.572,0.476
458,0.572,0.476
459,0.572,0.476
460,0.572,0.477
461,0.572,0.477
462,0.572,0.477
463,0.572,0.477
464,0.572,0.476
465,0.572,0.476
466,0.572,0.476
467,0.571,0.476
468,0.572,0.477
469,0.572,0.477
470,0.572,0.477
471,0.572,0.477
472,0.572,0.477
473,0.572,0.477
474,0.572,0.477
475,0.571,0.477
476,0.572,0.476
477,0.572,0.476
478,0.571,0.477
479,0.571,0.477
480,0.571,0.477
481,0.571,0.477
482,0.571,0.477
483,0.571,0.477
484,0.571,0.477
485,0.572,0.477
486,0.571,0.477
487,0.571,0.477
488,0.571,0.477
489,0.571,0.477
490,0.571,0.477
491,0.571,0.477
492,0.571,0.477
493,0.571,0.478
494,0.571,0.478
495,0.571,0.478
496,0.571,0.478
497,0.571,0.478
498,0.571,0.477
499,0.571,0.477
500,0.571,0.478
501,0.571,0.478
502,0.571,0.478
503,0.570,0.478
504,0.570,0.478
505,0.570,0.477
506,0.571,0.478
507,0.571,0.478
508,0.570,0.478
509,0.570,0.478
510,0.571,0.478
511,0.571,0.478
512,0.570,0.478
513,0.570,0.478
514,0.570,0.478
515,0.571,0.478
516,0.570,0.478
517,0.570,0.478
518,0.570,0.479
519,0.570,0.478
520,0.570,0.478
521,0.570,0.478
522,0.570,0.478
523,0.570,0.478
524,0.570,0.478
525,0.570,0.478
526,0.570,0.479
527,0.570,0.478
528,0.570,0.478
529,0.570,0.479
530,0.570,0.478
531,0.570,0.478
532,0.569,0.478
533,0.570,0.478
534,0.570,0.478
535,0.570,0.478
536,0.570,0.478
537,0.569,0.478
538,0.569,0.478
539,0.569,0.478
540,0.570,0.479
541,0.569,0.479
542,0.569,0.479
543,0.569,0.479
544,0.569,0.479
545,0.569,0.479
546,0.569,0.479
547,0.569,0.479
548,0.569,0.479
549,0.569,0.479
550,0.569,0.479
551,0.569,0.479
552,0.569,0.479
553,0.569,0.479
554,0.569,0.479
555,0.568,0.479
556,0.568,0.479
557,0.568,0.479
558,0.568,0.479
559,0.568,0.479
560,0.569,0.479
561,0.568,0.479
562,0.568,0.479
563,0.568,0.479
564,0.568,0.479
565,0.568,0.479
566,0.568,0.479
567,0.568,0.479
568,0.568,0.479
569,0.568,0.479
570,0.568,0.479
571,0.568,0.479
572,0.568,0.479
573,0.568,0.479
574,0.568,0.479
575,0.567,0.479
576,0.567,0.479
577,0.568,0.479
578,0.568,0.480
579,0.568,0.480
580,0.568,0.480
581,0.568,0.480
582,0.568,0.480
583,0.568,0.479
584,0.568,0.479
585,0.568,0.480
586,0.568,0.480
587,0.568,0.480
588,0.568,0.480
589,0.567,0.480
590,0.567,0.480
591,0.567,0.480
592,0.567,0.480
593,0.567,0.480
594,0.567,0.480
595,0.567,0.480
596,0.567,0.480
597,0.567,0.480
598,0.567,0.480
599,0.567,0.480
600,0.568,0.480
601,0.568,0.480
602,0.567,0.480
603,0.567,0.481
604,0.568,0.480
605,0.568,0.480
606,0.568,0.480
607,0.567,0.481
608,0.567,0.481
609,0.567,0.481
610,0.567,0.481
611,0.567,0.481
612,0.567,0.481
613,0.567,0.481
614,0.567,0.480
615,0.567,0.480
616,0.566,0.480
617,0.566,0.481
618,0.566,0.481
619,0.567,0.481
620,0.567,0.481
621,0.566,0.481
622,0.566,0.481
623,0.566,0.480
624,0.566,0.481
625,0.566,0.481
626,0.565,0.481
627,0.566,0.480
628,0.565,0.480
629,0.565,0.480
630,0.565,0.480
631,0.565,0.480
632,0.565,0.480
633,0.565,0.481
634,0.565,0.480
635,0.565,0.481
636,0.565,0.481
637,0.565,0.481
638,0.565,0.481
639,0.565,0.481
640,0.564,0.481
641,0.564,0.480
642,0.565,0.481
643,0.565,0.481
644,0.565,0.481
645,0.564,0.481
646,0.564,0.481
647,0.564,0.481
648,0.564,0.481
649,0.564,0.481
650,0.564,0.480
651,0.564,0.480
652,0.564,0.481
653,0.564,0.481
654,0.564,0.481
655,0.564,0.481
656,0.564,0.481
657,0.564,0.481
658,0.563,0.481
659,0.563,0.481
660,0.563,0.481
661,0.564,0.481
662,0.564,0.481
663,0.563,0.481
664,0.563,0.481
665,0.563,0.481
666,0.563,0.481
667,0.563,0.481
668,0.563,0.481
669,0.563,0.481
670,0.562,0.482
671,0.562,0.481
672,0.563,0.481
673,0.563,0.481
674,0.563,0.481
675,0.562,0.481
676,0.562,0.481
677,0.562,0.481
678,0.562,0.481
679,0.562,0.481
680,0.562,0.481
681,0.562,0.481
682,0.562,0.481
683,0.562,0.481
684,0.562,0.481
685,0.562,0.481
686,0.562,0.480
687,0.562,0.480
688,0.561,0.480
689,0.561,0.480
690,0.561,0.481
691,0.561,0.481
692,0.561,0.480
693,0.561,0.481
694,0.561,0.481
695,0.561,0.481
696,0.561,0.481
697,0.561,0.481
698,0.561,0.481
699,0.561,0.481
700,0.560,0.481
701,0.561,0.481
702,0.561,0.480
703,0.560,0.480
704,0.561,0.480
705,0.561,0.481
706,0.561,0.481
707,0.560,0.481
708,0.560,0.481
709,0.560,0.481
710,0.560,0.481
711,0.560,0.481
712,0.560,0.481
713,0.560,0.481
714,0.559,0.481
715,0.560,0.481
716,0.559,0.480
717,0.558,0.479
718,0.558,0.479
719,0.557,0.478
720,0.558,0.479
721,0.559,0.479
722,0.558,0.480
723,0.557,0.479
724,0.557,0.479
725,0.558,0.479
726,0.557,0.478
727,0.558,0.479
728,0.558,0.480
729,0.558,0.480
730,0.558,0.480
731,0.558,0.480
732,0.558,0.480
733,0.558,0.480
734,0.558,0.481
735,0.559,0.481
736,0.558,0.480
737,0.558,0.480
738,0.558,0.481
739,0.558,0.481
740,0.558,0.481
741,0.558,0.481
742,0.558,0.481
743,0.558,0.481
744,0.558,0.482
745,0.558,0.481
746,0.557,0.481
747,0.557,0.481
748,0.557,0.481
749,0.557,0.480
750,0.557,0.480
751,0.557,0.480
752,0.557,0.480
753,0.556,0.481
754,0.556,0.481
755,0.556,0.481
756,0.556,0.480
757,0.555,0.480
758,0.556,0.481
759,0.556,0.480
760,0.556,0.478
761,0.554,0.476
762,0.553,0.478
763,0.550,0.474
764,0.551,0.475
765,0.553,0.477
766,0.553,0.478
767,0.553,0.479
768,0.553,0.480
769,0.553,0.480
770,0.553,0.479
771,0.553,0.480
772,0.553,0.480
773,0.552,0.480
774,0.552,0.480
775,0.552,0.479
776,0.551,0.479
777,0.551,0.479
778,0.551,0.479
779,0.551,0.479
780,0.550,0.479
781,0.551,0.479
782,0.550,0.479
783,0.550,0.479
784,0.550,0.479
785,0.550,0.479
786,0.549,0.479
787,0.549,0.478
788,0.549,0.478
789,0.548,0.478
790,0.548,0.478
791,0.548,0.478
792,0.547,0.478
793,0.548,0.478
794,0.548,0.478
795,0.548,0.478
796,0.547,0.478
797,0.547,0.478
798,0.547,0.479
799,0.547,0.478
800,0.548,0.478
801,0.548,0.478
802,0.548,0.478
803,0.548,0.478
804,0.547,0.478
805,0.547,0.478
806,0.547,0.478
807,0.547,0.478
808,0.547,0.478
