Start time (UTC), 0434 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Melting conditions with rain mist and strong gusts. Rainwater accumulating on frozen ponds and producing wet slush on ponds that have a snow cover 
 Ship latitude, 89.00418
 Ship longitude, 99.06171
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, p, s, s, s, s, s, s, p, p, s, s, s, s, s, s, s, s, s, s, s, s, s
Surface thickness (cm), 13.0,  4.0,  0.6, 11.0, 10.0,  4.0,  5.0,  1.3,  6.0,  7.0,  6.0,  6.0,  6.0, 10.0,  0.0,  0.0,  9.0,  4.0,  7.0,  3.0,  3.0,  4.0,  8.0,  9.0,  2.0,  4.5,  6.0,  3.0,  5.0
Notes,                        NaN,                        NaN,       water on frozen pond,                        NaN,                        NaN,                        NaN,                        NaN,    wet mush on frozen pond,                        NaN,                        NaN,                        NaN,                        NaN,                        NaN,                        NaN,         1cm frozen nodules,         1cm frozen nodules,                        NaN,                        NaN,                        NaN,                        NaN, mush (rain saturated snow),                        NaN,                        NaN,                        NaN,                        NaN,                        NaN,                        NaN,                        NaN,                        NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.919,0.860,0.381,0.821,0.818,0.873,0.852,0.468,0.776,0.829,0.820,0.817,0.522,0.873,0.503,0.629,0.738,0.680,0.822,0.817,0.772,0.822,0.830,0.892,0.794,0.797,0.767,0.842,0.829
351,0.920,0.858,0.382,0.822,0.819,0.873,0.852,0.468,0.776,0.828,0.821,0.815,0.521,0.873,0.504,0.629,0.738,0.681,0.822,0.816,0.772,0.821,0.829,0.893,0.794,0.795,0.769,0.840,0.828
352,0.920,0.857,0.380,0.821,0.820,0.871,0.853,0.468,0.777,0.825,0.822,0.815,0.522,0.875,0.504,0.629,0.738,0.683,0.822,0.816,0.772,0.822,0.828,0.894,0.793,0.794,0.769,0.838,0.828
353,0.923,0.859,0.380,0.819,0.821,0.870,0.851,0.469,0.775,0.826,0.820,0.817,0.525,0.875,0.504,0.631,0.738,0.681,0.825,0.817,0.773,0.822,0.828,0.895,0.793,0.795,0.765,0.840,0.828
354,0.924,0.861,0.382,0.819,0.822,0.871,0.851,0.470,0.777,0.827,0.819,0.817,0.524,0.875,0.505,0.628,0.741,0.681,0.825,0.818,0.774,0.823,0.829,0.895,0.793,0.796,0.768,0.842,0.827
355,0.921,0.863,0.383,0.821,0.823,0.869,0.850,0.469,0.777,0.827,0.820,0.817,0.524,0.875,0.503,0.627,0.740,0.681,0.822,0.817,0.774,0.822,0.830,0.895,0.793,0.796,0.770,0.841,0.828
356,0.919,0.863,0.381,0.822,0.823,0.867,0.850,0.467,0.774,0.828,0.820,0.818,0.524,0.876,0.502,0.629,0.738,0.682,0.819,0.816,0.772,0.821,0.830,0.894,0.792,0.795,0.770,0.838,0.829
357,0.922,0.858,0.380,0.821,0.822,0.870,0.853,0.467,0.774,0.831,0.817,0.816,0.522,0.876,0.504,0.630,0.739,0.681,0.821,0.816,0.773,0.823,0.829,0.890,0.792,0.794,0.767,0.839,0.828
358,0.920,0.857,0.381,0.820,0.823,0.871,0.852,0.467,0.775,0.830,0.818,0.817,0.523,0.875,0.503,0.629,0.738,0.680,0.821,0.816,0.775,0.823,0.828,0.890,0.793,0.794,0.767,0.840,0.827
359,0.919,0.860,0.382,0.819,0.823,0.870,0.851,0.467,0.776,0.828,0.819,0.819,0.525,0.876,0.504,0.628,0.737,0.680,0.821,0.817,0.777,0.823,0.827,0.892,0.793,0.796,0.768,0.840,0.827
360,0.921,0.862,0.383,0.820,0.823,0.869,0.852,0.466,0.777,0.826,0.819,0.819,0.526,0.878,0.506,0.628,0.737,0.680,0.823,0.819,0.778,0.822,0.827,0.894,0.792,0.797,0.769,0.838,0.827
361,0.919,0.859,0.383,0.820,0.821,0.870,0.851,0.467,0.775,0.827,0.821,0.818,0.523,0.876,0.505,0.629,0.739,0.681,0.822,0.818,0.776,0.823,0.829,0.892,0.793,0.796,0.770,0.840,0.828
362,0.921,0.858,0.384,0.819,0.820,0.871,0.850,0.467,0.775,0.830,0.821,0.819,0.524,0.878,0.506,0.629,0.740,0.683,0.822,0.818,0.774,0.823,0.828,0.892,0.794,0.796,0.771,0.841,0.828
363,0.922,0.858,0.385,0.819,0.820,0.872,0.850,0.467,0.775,0.830,0.821,0.819,0.524,0.879,0.506,0.629,0.738,0.683,0.822,0.817,0.774,0.822,0.829,0.892,0.794,0.797,0.770,0.841,0.829
364,0.920,0.856,0.383,0.820,0.821,0.872,0.849,0.465,0.773,0.828,0.821,0.816,0.524,0.878,0.505,0.629,0.735,0.682,0.821,0.816,0.774,0.820,0.832,0.893,0.793,0.795,0.767,0.841,0.830
365,0.921,0.858,0.385,0.820,0.823,0.870,0.853,0.466,0.775,0.830,0.821,0.819,0.526,0.878,0.507,0.628,0.737,0.681,0.823,0.818,0.774,0.821,0.830,0.893,0.794,0.794,0.769,0.840,0.829
366,0.921,0.858,0.385,0.820,0.822,0.870,0.854,0.468,0.777,0.832,0.822,0.820,0.526,0.878,0.508,0.628,0.738,0.680,0.821,0.817,0.773,0.820,0.828,0.893,0.794,0.794,0.769,0.840,0.828
367,0.920,0.858,0.386,0.820,0.821,0.871,0.854,0.468,0.777,0.832,0.822,0.818,0.526,0.877,0.508,0.628,0.739,0.680,0.820,0.817,0.773,0.821,0.828,0.893,0.794,0.794,0.768,0.840,0.829
368,0.919,0.859,0.387,0.819,0.824,0.872,0.854,0.468,0.774,0.830,0.820,0.818,0.527,0.877,0.509,0.630,0.739,0.680,0.823,0.819,0.773,0.823,0.828,0.894,0.793,0.794,0.769,0.840,0.830
369,0.920,0.860,0.386,0.818,0.824,0.870,0.852,0.467,0.777,0.830,0.821,0.819,0.527,0.880,0.508,0.630,0.739,0.682,0.823,0.818,0.773,0.821,0.829,0.893,0.793,0.797,0.769,0.839,0.830
370,0.920,0.858,0.385,0.819,0.823,0.869,0.849,0.467,0.777,0.830,0.821,0.820,0.527,0.881,0.507,0.628,0.739,0.682,0.823,0.818,0.773,0.821,0.829,0.892,0.793,0.796,0.769,0.839,0.830
371,0.920,0.856,0.385,0.821,0.823,0.869,0.847,0.468,0.775,0.829,0.820,0.820,0.528,0.878,0.508,0.627,0.738,0.681,0.824,0.818,0.774,0.823,0.828,0.893,0.793,0.794,0.769,0.840,0.830
372,0.921,0.858,0.388,0.819,0.824,0.871,0.852,0.468,0.776,0.829,0.821,0.819,0.526,0.879,0.508,0.627,0.736,0.683,0.822,0.816,0.774,0.822,0.828,0.893,0.794,0.794,0.768,0.838,0.829
373,0.921,0.860,0.389,0.819,0.824,0.870,0.851,0.469,0.777,0.829,0.822,0.821,0.526,0.879,0.509,0.627,0.737,0.683,0.823,0.817,0.775,0.821,0.829,0.893,0.793,0.794,0.767,0.838,0.828
374,0.921,0.861,0.389,0.820,0.824,0.870,0.851,0.469,0.776,0.830,0.822,0.821,0.527,0.879,0.509,0.628,0.739,0.682,0.824,0.817,0.774,0.821,0.830,0.894,0.792,0.796,0.769,0.839,0.828
375,0.921,0.861,0.390,0.821,0.824,0.872,0.852,0.467,0.776,0.830,0.821,0.820,0.528,0.880,0.509,0.629,0.738,0.681,0.823,0.816,0.774,0.821,0.829,0.893,0.793,0.798,0.771,0.838,0.827
376,0.918,0.859,0.391,0.821,0.824,0.872,0.855,0.469,0.778,0.830,0.822,0.821,0.527,0.880,0.510,0.629,0.738,0.682,0.823,0.817,0.774,0.821,0.828,0.892,0.793,0.795,0.770,0.839,0.829
377,0.920,0.858,0.391,0.822,0.825,0.871,0.854,0.468,0.778,0.831,0.820,0.820,0.528,0.881,0.511,0.628,0.739,0.682,0.823,0.817,0.775,0.820,0.827,0.892,0.793,0.794,0.771,0.840,0.830
378,0.921,0.858,0.390,0.822,0.826,0.870,0.852,0.467,0.777,0.830,0.819,0.819,0.528,0.883,0.511,0.628,0.739,0.682,0.822,0.816,0.774,0.820,0.826,0.893,0.793,0.795,0.770,0.841,0.829
379,0.918,0.859,0.389,0.823,0.825,0.872,0.853,0.469,0.777,0.827,0.822,0.824,0.527,0.882,0.510,0.630,0.736,0.682,0.821,0.816,0.773,0.820,0.826,0.893,0.793,0.795,0.767,0.842,0.831
380,0.918,0.859,0.392,0.822,0.824,0.873,0.851,0.468,0.777,0.828,0.822,0.822,0.528,0.881,0.512,0.629,0.738,0.683,0.821,0.816,0.774,0.822,0.827,0.891,0.793,0.795,0.768,0.842,0.831
381,0.919,0.859,0.393,0.820,0.825,0.871,0.850,0.467,0.777,0.829,0.823,0.821,0.528,0.881,0.512,0.629,0.740,0.684,0.822,0.816,0.774,0.823,0.828,0.890,0.791,0.796,0.768,0.841,0.831
382,0.921,0.859,0.393,0.819,0.826,0.870,0.852,0.466,0.776,0.830,0.823,0.822,0.527,0.882,0.509,0.629,0.739,0.683,0.823,0.816,0.773,0.822,0.828,0.891,0.790,0.796,0.768,0.840,0.831
383,0.920,0.860,0.392,0.820,0.825,0.872,0.854,0.467,0.775,0.830,0.822,0.819,0.528,0.883,0.512,0.630,0.737,0.682,0.821,0.818,0.773,0.820,0.828,0.892,0.794,0.793,0.769,0.842,0.831
384,0.919,0.859,0.392,0.820,0.824,0.870,0.855,0.468,0.776,0.827,0.821,0.820,0.527,0.883,0.513,0.629,0.738,0.682,0.822,0.818,0.774,0.819,0.828,0.892,0.794,0.795,0.768,0.841,0.832
385,0.920,0.859,0.393,0.822,0.824,0.869,0.854,0.469,0.778,0.827,0.821,0.821,0.527,0.881,0.513,0.629,0.738,0.682,0.822,0.817,0.773,0.819,0.829,0.893,0.794,0.796,0.768,0.840,0.830
386,0.920,0.860,0.395,0.823,0.825,0.870,0.851,0.468,0.779,0.830,0.822,0.819,0.528,0.880,0.512,0.629,0.738,0.682,0.823,0.816,0.773,0.819,0.828,0.894,0.794,0.794,0.768,0.840,0.828
387,0.919,0.858,0.397,0.825,0.826,0.871,0.854,0.468,0.775,0.829,0.819,0.818,0.528,0.880,0.513,0.630,0.737,0.682,0.822,0.817,0.774,0.819,0.828,0.892,0.792,0.795,0.768,0.840,0.831
388,0.920,0.860,0.397,0.824,0.825,0.873,0.854,0.469,0.776,0.830,0.821,0.820,0.528,0.880,0.512,0.630,0.739,0.682,0.822,0.818,0.773,0.819,0.827,0.891,0.791,0.795,0.768,0.841,0.831
389,0.921,0.861,0.396,0.822,0.825,0.872,0.854,0.469,0.777,0.830,0.823,0.821,0.529,0.880,0.512,0.631,0.740,0.682,0.821,0.817,0.773,0.820,0.827,0.891,0.791,0.795,0.769,0.841,0.829
390,0.921,0.858,0.395,0.820,0.825,0.870,0.855,0.468,0.774,0.829,0.822,0.820,0.530,0.880,0.514,0.631,0.737,0.681,0.820,0.817,0.776,0.821,0.827,0.892,0.793,0.797,0.770,0.840,0.829
391,0.923,0.858,0.396,0.822,0.826,0.871,0.853,0.468,0.776,0.828,0.821,0.818,0.530,0.881,0.512,0.629,0.736,0.683,0.822,0.818,0.774,0.821,0.827,0.890,0.792,0.797,0.771,0.841,0.830
392,0.921,0.859,0.397,0.822,0.825,0.872,0.854,0.468,0.776,0.828,0.821,0.819,0.529,0.880,0.512,0.630,0.738,0.683,0.822,0.817,0.774,0.821,0.828,0.890,0.792,0.796,0.769,0.841,0.830
393,0.919,0.860,0.397,0.821,0.825,0.871,0.855,0.467,0.777,0.828,0.822,0.821,0.528,0.880,0.512,0.632,0.739,0.682,0.822,0.816,0.776,0.821,0.827,0.892,0.792,0.796,0.768,0.841,0.830
394,0.922,0.858,0.396,0.822,0.825,0.870,0.853,0.468,0.779,0.829,0.822,0.820,0.529,0.884,0.512,0.631,0.738,0.683,0.821,0.818,0.775,0.821,0.828,0.893,0.792,0.796,0.768,0.843,0.830
395,0.922,0.860,0.396,0.824,0.826,0.871,0.854,0.468,0.778,0.832,0.823,0.820,0.529,0.881,0.513,0.630,0.739,0.683,0.821,0.817,0.775,0.822,0.827,0.893,0.791,0.795,0.769,0.842,0.831
396,0.921,0.860,0.398,0.824,0.825,0.872,0.854,0.468,0.778,0.831,0.822,0.819,0.530,0.879,0.514,0.631,0.739,0.682,0.821,0.817,0.775,0.821,0.826,0.893,0.791,0.795,0.770,0.840,0.832
397,0.920,0.859,0.399,0.824,0.823,0.871,0.853,0.469,0.779,0.829,0.822,0.818,0.530,0.879,0.515,0.631,0.738,0.682,0.820,0.818,0.774,0.820,0.826,0.893,0.791,0.795,0.769,0.840,0.833
398,0.922,0.859,0.399,0.823,0.824,0.870,0.853,0.467,0.778,0.831,0.821,0.818,0.529,0.880,0.514,0.630,0.738,0.683,0.822,0.817,0.774,0.822,0.826,0.891,0.791,0.795,0.770,0.842,0.833
399,0.921,0.861,0.399,0.822,0.825,0.871,0.853,0.468,0.776,0.830,0.821,0.818,0.529,0.879,0.514,0.629,0.737,0.681,0.822,0.817,0.775,0.821,0.826,0.892,0.792,0.795,0.769,0.842,0.833
400,0.921,0.861,0.399,0.823,0.825,0.872,0.853,0.468,0.776,0.829,0.821,0.818,0.529,0.878,0.514,0.630,0.737,0.681,0.820,0.816,0.775,0.821,0.826,0.893,0.792,0.795,0.769,0.841,0.833
401,0.922,0.861,0.399,0.824,0.824,0.872,0.853,0.466,0.777,0.830,0.823,0.819,0.529,0.880,0.514,0.631,0.739,0.683,0.821,0.816,0.773,0.822,0.824,0.892,0.792,0.795,0.769,0.840,0.832
402,0.921,0.859,0.398,0.823,0.824,0.870,0.853,0.466,0.776,0.830,0.823,0.820,0.529,0.882,0.515,0.630,0.740,0.683,0.822,0.817,0.774,0.822,0.825,0.892,0.791,0.794,0.770,0.841,0.833
403,0.921,0.859,0.398,0.823,0.825,0.870,0.853,0.467,0.776,0.829,0.823,0.820,0.528,0.882,0.515,0.630,0.740,0.682,0.822,0.817,0.774,0.821,0.825,0.892,0.791,0.794,0.770,0.841,0.833
404,0.921,0.859,0.398,0.824,0.825,0.871,0.853,0.467,0.776,0.829,0.823,0.820,0.528,0.881,0.515,0.631,0.739,0.682,0.821,0.816,0.774,0.821,0.825,0.891,0.792,0.795,0.768,0.841,0.832
405,0.922,0.859,0.398,0.823,0.824,0.870,0.854,0.467,0.775,0.828,0.821,0.819,0.530,0.882,0.516,0.630,0.737,0.682,0.821,0.816,0.774,0.821,0.825,0.891,0.792,0.794,0.768,0.840,0.830
406,0.921,0.860,0.400,0.824,0.825,0.871,0.852,0.468,0.777,0.829,0.821,0.820,0.530,0.882,0.516,0.630,0.738,0.681,0.822,0.816,0.774,0.821,0.825,0.891,0.791,0.793,0.770,0.841,0.831
407,0.921,0.860,0.400,0.824,0.826,0.871,0.852,0.468,0.777,0.829,0.821,0.820,0.530,0.882,0.516,0.630,0.739,0.681,0.821,0.816,0.773,0.821,0.825,0.891,0.790,0.793,0.770,0.841,0.833
408,0.921,0.859,0.399,0.823,0.826,0.871,0.853,0.467,0.776,0.828,0.822,0.821,0.529,0.881,0.517,0.630,0.738,0.681,0.821,0.816,0.774,0.821,0.824,0.891,0.791,0.794,0.769,0.840,0.833
409,0.920,0.860,0.399,0.823,0.825,0.871,0.852,0.467,0.776,0.829,0.821,0.820,0.529,0.882,0.516,0.631,0.739,0.680,0.821,0.816,0.774,0.819,0.825,0.892,0.791,0.794,0.769,0.842,0.832
410,0.921,0.860,0.399,0.823,0.826,0.870,0.852,0.467,0.777,0.830,0.821,0.821,0.529,0.883,0.516,0.629,0.739,0.681,0.821,0.816,0.773,0.819,0.824,0.892,0.791,0.794,0.769,0.841,0.832
411,0.922,0.859,0.399,0.823,0.826,0.870,0.853,0.468,0.777,0.830,0.820,0.821,0.529,0.882,0.516,0.628,0.739,0.681,0.820,0.816,0.773,0.820,0.824,0.891,0.791,0.794,0.769,0.840,0.832
