Start time (UTC), 1520 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Freezing mist & gusts with ~4-5 mm of new ice accumulation on bamboo stick at end of albedo line. 
 Ship latitude, 89.04774
 Ship longitude, 103.89845
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, p, s, s, s, s, p, s, s, s, s, s, s, p, p, s, s, s, s, p, s, s, s, s, s, s, s, s
Surface thickness (cm),  7.5,  4.0,  0.0,  6.0,  9.0,  6.0,  5.0,  0.0,  5.0,  7.0,  6.0,  6.0,  4.0, 10.0,  0.0,  0.0,  9.0,  4.0,  7.0,  3.0,  0.0,  4.0,  7.0,  8.0,  1.5,  4.0,  7.0,  3.0,  5.0
Notes, crust,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.914,0.806,0.375,0.814,0.835,0.814,0.840,0.454,0.719,0.827,0.829,0.836,0.526,0.934,0.504,0.600,0.723,0.692,0.832,0.818,0.773,0.831,0.835,0.883,0.794,0.792,0.765,0.832,0.792
351,0.911,0.808,0.375,0.811,0.833,0.816,0.839,0.454,0.723,0.829,0.831,0.839,0.526,0.933,0.506,0.600,0.724,0.694,0.832,0.819,0.776,0.832,0.835,0.881,0.794,0.793,0.764,0.832,0.791
352,0.910,0.809,0.375,0.807,0.834,0.818,0.835,0.453,0.726,0.828,0.835,0.843,0.527,0.931,0.506,0.598,0.725,0.694,0.828,0.820,0.780,0.832,0.838,0.879,0.794,0.794,0.765,0.833,0.790
353,0.917,0.808,0.377,0.809,0.838,0.817,0.831,0.454,0.721,0.825,0.836,0.842,0.530,0.933,0.502,0.596,0.723,0.693,0.826,0.822,0.779,0.831,0.840,0.882,0.793,0.795,0.770,0.833,0.795
354,0.914,0.812,0.379,0.811,0.835,0.817,0.833,0.457,0.723,0.826,0.831,0.843,0.531,0.930,0.505,0.596,0.719,0.693,0.829,0.820,0.775,0.830,0.839,0.878,0.792,0.799,0.770,0.837,0.792
