Start time (UTC), 0927 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Bare ice has frozen crust/glazing with light dusting of needle snow. Larger ponds have slush with an upper snow layer is present. very light snowfall of needle crystals.  
 Ship latitude, 89.06395
 Ship longitude, 107.71369
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, p, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s
Surface thickness (cm), 3.0, 0.0, 0.5, 0.5, 1.0, 1.0, 3.5, 2.0, 0.5, 0.5, 0.5, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0, 4.0, 2.0, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 3.0, 3.0, 4.0
Notes,                         NaN, frozen pond with scant snow,                         NaN,                         NaN,                         NaN,      3cm snow under glazing,                         NaN,                         NaN,            pver frozen pond,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN,                         NaN
Change in incident (%),0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.792,0.545,0.836,0.839,0.835,0.843,0.553,0.587,0.578,0.868,0.904,0.847,0.844,0.842,0.843,0.880,0.844,0.851,0.883,0.887,0.869,0.854,0.873,0.911,0.904,0.898,0.907,0.913,0.866
351,0.794,0.544,0.837,0.840,0.834,0.841,0.553,0.589,0.581,0.868,0.904,0.849,0.841,0.844,0.843,0.881,0.844,0.851,0.884,0.888,0.869,0.852,0.873,0.910,0.904,0.898,0.904,0.912,0.870
352,0.792,0.544,0.838,0.841,0.836,0.840,0.555,0.589,0.583,0.868,0.902,0.849,0.842,0.846,0.844,0.883,0.842,0.850,0.884,0.888,0.873,0.854,0.875,0.909,0.907,0.897,0.902,0.912,0.872
353,0.790,0.547,0.836,0.838,0.837,0.844,0.557,0.586,0.578,0.873,0.903,0.849,0.847,0.843,0.843,0.885,0.846,0.849,0.883,0.889,0.871,0.859,0.875,0.911,0.910,0.899,0.904,0.915,0.869
354,0.790,0.548,0.838,0.837,0.838,0.843,0.558,0.589,0.580,0.870,0.902,0.848,0.845,0.843,0.842,0.883,0.841,0.852,0.883,0.889,0.871,0.859,0.878,0.909,0.907,0.899,0.904,0.913,0.870
355,0.789,0.546,0.840,0.837,0.833,0.843,0.557,0.591,0.583,0.868,0.898,0.851,0.846,0.842,0.844,0.882,0.841,0.850,0.881,0.887,0.873,0.861,0.879,0.909,0.904,0.897,0.904,0.911,0.870
356,0.789,0.545,0.838,0.837,0.832,0.844,0.556,0.590,0.583,0.869,0.897,0.852,0.849,0.842,0.848,0.883,0.845,0.847,0.879,0.886,0.875,0.861,0.878,0.911,0.903,0.897,0.904,0.910,0.869
357,0.792,0.549,0.834,0.838,0.843,0.842,0.557,0.589,0.579,0.868,0.903,0.847,0.846,0.843,0.846,0.881,0.843,0.848,0.883,0.888,0.871,0.856,0.877,0.912,0.907,0.900,0.904,0.909,0.872
358,0.793,0.547,0.835,0.840,0.841,0.842,0.555,0.588,0.578,0.867,0.903,0.849,0.844,0.843,0.843,0.882,0.841,0.851,0.883,0.887,0.873,0.855,0.877,0.910,0.908,0.900,0.906,0.908,0.870
359,0.794,0.545,0.837,0.841,0.839,0.843,0.558,0.587,0.580,0.866,0.901,0.851,0.845,0.843,0.842,0.882,0.842,0.852,0.882,0.886,0.873,0.858,0.876,0.912,0.908,0.899,0.907,0.908,0.870
360,0.796,0.548,0.837,0.839,0.840,0.844,0.562,0.586,0.582,0.868,0.902,0.850,0.847,0.844,0.843,0.883,0.842,0.851,0.883,0.886,0.870,0.860,0.875,0.915,0.908,0.900,0.906,0.909,0.872
361,0.794,0.550,0.838,0.841,0.838,0.843,0.558,0.591,0.581,0.869,0.902,0.850,0.847,0.843,0.844,0.883,0.840,0.851,0.883,0.889,0.868,0.859,0.877,0.910,0.908,0.900,0.905,0.914,0.872
362,0.795,0.550,0.839,0.843,0.838,0.846,0.557,0.593,0.582,0.869,0.902,0.851,0.846,0.844,0.844,0.884,0.841,0.849,0.882,0.890,0.870,0.858,0.879,0.910,0.906,0.899,0.905,0.913,0.873
363,0.795,0.548,0.840,0.843,0.839,0.848,0.557,0.592,0.581,0.869,0.901,0.851,0.848,0.844,0.844,0.886,0.843,0.848,0.882,0.890,0.873,0.858,0.877,0.911,0.906,0.897,0.906,0.911,0.873
364,0.793,0.547,0.844,0.842,0.839,0.846,0.556,0.592,0.580,0.869,0.903,0.848,0.850,0.843,0.845,0.885,0.844,0.851,0.883,0.889,0.874,0.858,0.873,0.909,0.909,0.895,0.909,0.913,0.871
365,0.792,0.548,0.841,0.841,0.838,0.843,0.560,0.593,0.582,0.869,0.904,0.848,0.848,0.845,0.847,0.881,0.845,0.850,0.882,0.889,0.872,0.857,0.876,0.911,0.910,0.897,0.904,0.914,0.872
366,0.794,0.549,0.840,0.840,0.837,0.843,0.561,0.592,0.581,0.868,0.902,0.849,0.846,0.846,0.847,0.881,0.842,0.850,0.881,0.889,0.872,0.858,0.877,0.911,0.909,0.898,0.903,0.913,0.872
367,0.795,0.549,0.840,0.840,0.838,0.845,0.559,0.591,0.580,0.867,0.901,0.850,0.847,0.845,0.846,0.882,0.840,0.851,0.880,0.889,0.874,0.860,0.878,0.910,0.909,0.896,0.905,0.913,0.872
368,0.794,0.549,0.839,0.839,0.839,0.846,0.557,0.592,0.583,0.869,0.901,0.852,0.849,0.843,0.844,0.883,0.843,0.853,0.881,0.886,0.875,0.859,0.879,0.909,0.911,0.895,0.907,0.915,0.872
369,0.795,0.550,0.841,0.841,0.839,0.845,0.557,0.590,0.582,0.868,0.902,0.850,0.848,0.843,0.846,0.885,0.844,0.850,0.882,0.886,0.872,0.861,0.878,0.909,0.910,0.897,0.907,0.915,0.871
370,0.794,0.552,0.838,0.840,0.839,0.844,0.557,0.590,0.582,0.869,0.902,0.849,0.847,0.843,0.847,0.884,0.843,0.851,0.883,0.886,0.872,0.861,0.877,0.910,0.908,0.901,0.907,0.913,0.872
371,0.792,0.551,0.835,0.837,0.837,0.844,0.557,0.591,0.582,0.871,0.902,0.851,0.847,0.843,0.847,0.882,0.843,0.853,0.883,0.886,0.873,0.859,0.876,0.912,0.908,0.902,0.908,0.911,0.872
372,0.795,0.551,0.839,0.839,0.836,0.842,0.559,0.591,0.581,0.870,0.903,0.852,0.845,0.844,0.846,0.883,0.843,0.853,0.882,0.888,0.871,0.859,0.876,0.909,0.908,0.899,0.907,0.913,0.873
373,0.794,0.553,0.839,0.841,0.838,0.843,0.559,0.591,0.582,0.869,0.902,0.851,0.844,0.847,0.846,0.880,0.846,0.853,0.882,0.887,0.872,0.858,0.878,0.909,0.907,0.899,0.909,0.912,0.874
374,0.792,0.554,0.839,0.840,0.840,0.844,0.558,0.592,0.581,0.869,0.901,0.851,0.845,0.847,0.846,0.879,0.846,0.853,0.882,0.886,0.874,0.856,0.879,0.909,0.906,0.900,0.910,0.911,0.875
375,0.792,0.553,0.840,0.838,0.842,0.843,0.558,0.591,0.580,0.871,0.901,0.852,0.848,0.845,0.845,0.883,0.844,0.851,0.883,0.886,0.874,0.854,0.878,0.910,0.906,0.900,0.908,0.911,0.875
376,0.792,0.554,0.839,0.839,0.841,0.843,0.558,0.592,0.583,0.872,0.901,0.849,0.848,0.845,0.846,0.883,0.844,0.851,0.884,0.888,0.874,0.861,0.876,0.912,0.906,0.900,0.908,0.913,0.875
377,0.792,0.554,0.836,0.839,0.842,0.843,0.560,0.592,0.584,0.871,0.902,0.848,0.845,0.846,0.845,0.884,0.844,0.852,0.884,0.888,0.874,0.860,0.877,0.913,0.906,0.896,0.907,0.913,0.873
378,0.792,0.554,0.834,0.840,0.842,0.843,0.562,0.590,0.584,0.870,0.903,0.848,0.845,0.846,0.845,0.883,0.844,0.852,0.884,0.886,0.874,0.857,0.878,0.912,0.906,0.895,0.906,0.913,0.871
379,0.794,0.554,0.836,0.842,0.840,0.844,0.559,0.590,0.584,0.874,0.901,0.850,0.848,0.844,0.846,0.879,0.845,0.851,0.883,0.885,0.871,0.859,0.876,0.911,0.908,0.899,0.907,0.916,0.870
380,0.794,0.551,0.837,0.842,0.839,0.845,0.559,0.594,0.582,0.871,0.901,0.850,0.846,0.843,0.848,0.882,0.844,0.852,0.882,0.886,0.871,0.857,0.878,0.913,0.911,0.900,0.907,0.916,0.871
381,0.791,0.551,0.839,0.841,0.840,0.846,0.561,0.595,0.582,0.869,0.903,0.850,0.847,0.844,0.847,0.882,0.843,0.853,0.881,0.886,0.874,0.859,0.880,0.913,0.910,0.898,0.906,0.915,0.872
382,0.789,0.555,0.841,0.841,0.840,0.846,0.561,0.593,0.582,0.869,0.904,0.851,0.849,0.846,0.845,0.881,0.843,0.853,0.881,0.887,0.875,0.861,0.878,0.911,0.908,0.897,0.907,0.914,0.873
383,0.792,0.558,0.839,0.841,0.838,0.846,0.560,0.592,0.580,0.870,0.905,0.848,0.846,0.848,0.845,0.882,0.844,0.854,0.885,0.887,0.873,0.859,0.874,0.908,0.908,0.899,0.910,0.914,0.873
384,0.792,0.556,0.838,0.841,0.839,0.845,0.561,0.596,0.578,0.872,0.903,0.848,0.846,0.848,0.847,0.880,0.844,0.854,0.884,0.886,0.873,0.859,0.877,0.909,0.905,0.900,0.909,0.912,0.873
385,0.791,0.555,0.837,0.841,0.839,0.846,0.561,0.596,0.578,0.871,0.901,0.848,0.847,0.846,0.847,0.881,0.844,0.852,0.881,0.885,0.871,0.860,0.880,0.910,0.906,0.901,0.909,0.912,0.873
386,0.790,0.557,0.837,0.840,0.839,0.847,0.559,0.591,0.581,0.869,0.901,0.849,0.848,0.844,0.846,0.883,0.845,0.852,0.880,0.888,0.869,0.858,0.880,0.910,0.910,0.903,0.909,0.914,0.874
387,0.793,0.557,0.836,0.839,0.842,0.846,0.561,0.591,0.585,0.870,0.902,0.851,0.848,0.845,0.848,0.881,0.846,0.853,0.881,0.889,0.872,0.859,0.878,0.913,0.909,0.903,0.909,0.915,0.873
388,0.792,0.558,0.837,0.843,0.841,0.845,0.561,0.592,0.583,0.869,0.903,0.851,0.847,0.844,0.847,0.881,0.844,0.852,0.883,0.892,0.872,0.863,0.876,0.914,0.909,0.899,0.909,0.916,0.875
389,0.793,0.558,0.837,0.844,0.839,0.846,0.562,0.595,0.582,0.868,0.904,0.850,0.844,0.844,0.845,0.881,0.842,0.852,0.883,0.892,0.872,0.863,0.877,0.913,0.908,0.896,0.909,0.917,0.876
390,0.795,0.556,0.834,0.841,0.841,0.845,0.561,0.597,0.585,0.869,0.903,0.849,0.843,0.847,0.844,0.881,0.845,0.853,0.882,0.889,0.873,0.857,0.882,0.912,0.906,0.899,0.908,0.916,0.874
391,0.794,0.559,0.836,0.841,0.838,0.843,0.561,0.597,0.581,0.868,0.900,0.852,0.846,0.845,0.846,0.883,0.845,0.852,0.883,0.889,0.873,0.859,0.878,0.915,0.908,0.901,0.909,0.913,0.874
392,0.792,0.558,0.837,0.841,0.837,0.845,0.559,0.595,0.580,0.869,0.900,0.852,0.848,0.844,0.849,0.882,0.845,0.851,0.882,0.887,0.873,0.861,0.877,0.913,0.907,0.900,0.909,0.913,0.875
393,0.791,0.557,0.837,0.840,0.837,0.846,0.558,0.593,0.582,0.870,0.901,0.850,0.848,0.843,0.849,0.881,0.845,0.851,0.881,0.884,0.872,0.860,0.878,0.910,0.906,0.899,0.909,0.915,0.876
394,0.792,0.559,0.836,0.840,0.838,0.843,0.560,0.592,0.582,0.869,0.901,0.848,0.847,0.842,0.843,0.881,0.844,0.851,0.880,0.886,0.872,0.857,0.875,0.913,0.906,0.898,0.908,0.913,0.875
395,0.793,0.559,0.838,0.841,0.836,0.845,0.562,0.594,0.583,0.870,0.904,0.848,0.847,0.843,0.843,0.880,0.844,0.853,0.880,0.888,0.872,0.860,0.876,0.911,0.906,0.900,0.907,0.914,0.873
396,0.794,0.560,0.840,0.841,0.836,0.846,0.563,0.595,0.583,0.869,0.905,0.850,0.847,0.844,0.845,0.881,0.843,0.854,0.882,0.887,0.873,0.859,0.879,0.910,0.906,0.900,0.908,0.914,0.875
397,0.794,0.561,0.841,0.842,0.837,0.843,0.562,0.593,0.582,0.867,0.903,0.851,0.846,0.844,0.846,0.883,0.842,0.853,0.884,0.885,0.875,0.857,0.880,0.912,0.907,0.899,0.910,0.913,0.876
398,0.791,0.560,0.839,0.841,0.835,0.843,0.561,0.592,0.583,0.869,0.899,0.848,0.846,0.845,0.845,0.880,0.843,0.850,0.883,0.885,0.874,0.860,0.876,0.911,0.907,0.899,0.908,0.915,0.874
399,0.792,0.560,0.837,0.839,0.838,0.845,0.562,0.593,0.583,0.869,0.899,0.847,0.847,0.845,0.846,0.881,0.843,0.851,0.883,0.886,0.872,0.862,0.876,0.912,0.909,0.900,0.908,0.915,0.874
400,0.793,0.560,0.837,0.838,0.839,0.846,0.563,0.594,0.584,0.869,0.901,0.849,0.847,0.845,0.847,0.882,0.844,0.852,0.882,0.887,0.871,0.861,0.877,0.912,0.908,0.900,0.908,0.914,0.876
401,0.794,0.560,0.837,0.838,0.838,0.846,0.562,0.593,0.584,0.871,0.903,0.850,0.846,0.845,0.847,0.882,0.844,0.849,0.883,0.887,0.873,0.859,0.879,0.911,0.907,0.900,0.907,0.913,0.875
402,0.794,0.560,0.837,0.839,0.838,0.846,0.561,0.592,0.583,0.869,0.902,0.849,0.846,0.844,0.845,0.881,0.843,0.850,0.881,0.887,0.874,0.858,0.878,0.911,0.906,0.899,0.908,0.913,0.874
403,0.792,0.560,0.837,0.839,0.838,0.845,0.561,0.592,0.582,0.869,0.901,0.849,0.847,0.843,0.845,0.882,0.842,0.851,0.881,0.887,0.874,0.859,0.877,0.911,0.908,0.899,0.909,0.914,0.875
404,0.791,0.561,0.837,0.839,0.837,0.845,0.561,0.593,0.582,0.869,0.901,0.848,0.847,0.842,0.846,0.883,0.841,0.851,0.882,0.888,0.873,0.859,0.876,0.911,0.908,0.899,0.909,0.914,0.876
405,0.791,0.560,0.836,0.840,0.838,0.845,0.562,0.593,0.581,0.868,0.900,0.847,0.846,0.843,0.847,0.883,0.842,0.849,0.883,0.887,0.872,0.857,0.875,0.911,0.907,0.899,0.908,0.914,0.875
406,0.792,0.560,0.837,0.840,0.837,0.845,0.563,0.594,0.582,0.870,0.902,0.848,0.847,0.844,0.846,0.882,0.843,0.850,0.880,0.886,0.873,0.859,0.877,0.911,0.907,0.898,0.909,0.915,0.875
407,0.793,0.561,0.838,0.840,0.836,0.845,0.562,0.593,0.583,0.870,0.901,0.848,0.848,0.845,0.844,0.882,0.843,0.851,0.881,0.885,0.874,0.860,0.877,0.912,0.907,0.898,0.910,0.915,0.875
408,0.792,0.562,0.838,0.840,0.836,0.844,0.561,0.592,0.583,0.869,0.900,0.849,0.847,0.845,0.843,0.882,0.843,0.850,0.882,0.886,0.873,0.859,0.876,0.911,0.907,0.898,0.909,0.915,0.875
409,0.793,0.561,0.837,0.840,0.837,0.844,0.561,0.592,0.583,0.870,0.900,0.850,0.847,0.844,0.845,0.881,0.843,0.851,0.881,0.886,0.874,0.859,0.877,0.910,0.908,0.899,0.909,0.915,0.875
410,0.793,0.561,0.836,0.840,0.836,0.844,0.562,0.594,0.582,0.869,0.901,0.850,0.846,0.844,0.845,0.882,0.844,0.851,0.881,0.887,0.874,0.859,0.877,0.910,0.909,0.899,0.909,0.914,0.876
411,0.793,0.561,0.836,0.840,0.836,0.844,0.562,0.594,0.582,0.868,0.901,0.850,0.845,0.844,0.845,0.882,0.844,0.851,0.881,0.886,0.874,0.858,0.877,0.911,0.909,0.899,0.910,0.914,0.876
412,0.793,0.559,0.837,0.839,0.836,0.844,0.562,0.593,0.583,0.868,0.902,0.849,0.847,0.844,0.845,0.882,0.842,0.851,0.882,0.885,0.875,0.858,0.877,0.911,0.908,0.899,0.910,0.915,0.875
413,0.792,0.560,0.836,0.840,0.837,0.844,0.561,0.593,0.582,0.869,0.903,0.849,0.847,0.843,0.845,0.882,0.843,0.851,0.882,0.885,0.874,0.859,0.876,0.911,0.909,0.898,0.910,0.915,0.875
414,0.792,0.561,0.836,0.839,0.837,0.844,0.562,0.593,0.582,0.868,0.902,0.849,0.847,0.843,0.844,0.881,0.844,0.851,0.881,0.886,0.875,0.859,0.876,0.910,0.908,0.898,0.910,0.914,0.874
415,0.793,0.562,0.836,0.838,0.836,0.844,0.562,0.593,0.582,0.868,0.901,0.849,0.847,0.843,0.844,0.882,0.844,0.850,0.881,0.886,0.875,0.859,0.876,0.911,0.908,0.897,0.909,0.913,0.875
416,0.793,0.561,0.837,0.840,0.836,0.844,0.561,0.593,0.584,0.868,0.901,0.849,0.847,0.844,0.844,0.883,0.843,0.851,0.881,0.886,0.874,0.859,0.878,0.912,0.909,0.897,0.909,0.914,0.875
417,0.793,0.562,0.836,0.839,0.837,0.845,0.562,0.593,0.583,0.868,0.900,0.849,0.847,0.844,0.846,0.883,0.843,0.850,0.880,0.885,0.873,0.859,0.878,0.910,0.909,0.898,0.910,0.915,0.875
418,0.792,0.562,0.836,0.839,0.836,0.845,0.562,0.592,0.583,0.868,0.901,0.850,0.847,0.844,0.846,0.882,0.843,0.850,0.881,0.885,0.873,0.859,0.877,0.910,0.908,0.899,0.910,0.914,0.875
419,0.792,0.562,0.836,0.839,0.836,0.845,0.562,0.592,0.583,0.869,0.902,0.850,0.847,0.844,0.846,0.882,0.843,0.850,0.881,0.886,0.874,0.859,0.876,0.911,0.907,0.899,0.909,0.913,0.875
420,0.792,0.561,0.836,0.839,0.836,0.845,0.563,0.592,0.583,0.868,0.901,0.850,0.848,0.843,0.846,0.882,0.843,0.850,0.880,0.886,0.874,0.859,0.877,0.911,0.907,0.898,0.909,0.914,0.876
421,0.792,0.562,0.837,0.839,0.836,0.844,0.562,0.592,0.583,0.868,0.901,0.849,0.846,0.843,0.845,0.882,0.843,0.850,0.880,0.887,0.875,0.858,0.877,0.911,0.907,0.898,0.908,0.914,0.875
422,0.792,0.563,0.836,0.838,0.836,0.843,0.562,0.592,0.583,0.868,0.901,0.849,0.846,0.843,0.844,0.882,0.842,0.850,0.880,0.886,0.875,0.858,0.877,0.910,0.906,0.899,0.909,0.914,0.875
423,0.792,0.563,0.835,0.838,0.836,0.844,0.562,0.592,0.583,0.868,0.901,0.849,0.847,0.844,0.844,0.883,0.842,0.850,0.880,0.886,0.875,0.859,0.877,0.910,0.906,0.899,0.910,0.913,0.875
424,0.793,0.562,0.835,0.838,0.836,0.844,0.563,0.592,0.583,0.868,0.901,0.848,0.847,0.843,0.844,0.881,0.842,0.850,0.881,0.886,0.874,0.858,0.876,0.911,0.908,0.898,0.909,0.913,0.874
425,0.793,0.562,0.836,0.839,0.836,0.844,0.563,0.592,0.583,0.868,0.901,0.848,0.847,0.843,0.845,0.882,0.842,0.850,0.881,0.886,0.874,0.859,0.876,0.912,0.908,0.898,0.909,0.913,0.874
426,0.792,0.562,0.836,0.838,0.836,0.844,0.563,0.592,0.583,0.869,0.901,0.848,0.846,0.843,0.845,0.882,0.843,0.850,0.881,0.885,0.874,0.859,0.877,0.911,0.907,0.899,0.910,0.914,0.875
427,0.793,0.562,0.836,0.838,0.836,0.844,0.563,0.592,0.583,0.868,0.900,0.848,0.847,0.843,0.845,0.881,0.843,0.850,0.881,0.885,0.874,0.858,0.876,0.910,0.907,0.898,0.909,0.915,0.875
428,0.792,0.562,0.835,0.838,0.836,0.844,0.563,0.592,0.584,0.868,0.901,0.848,0.847,0.843,0.844,0.881,0.843,0.849,0.881,0.886,0.874,0.858,0.876,0.910,0.907,0.898,0.909,0.914,0.875
429,0.792,0.562,0.836,0.838,0.836,0.844,0.563,0.592,0.583,0.868,0.900,0.848,0.846,0.843,0.844,0.881,0.843,0.849,0.881,0.886,0.874,0.859,0.876,0.910,0.907,0.898,0.909,0.914,0.875
430,0.791,0.563,0.837,0.839,0.835,0.844,0.563,0.592,0.582,0.868,0.900,0.848,0.847,0.842,0.844,0.881,0.844,0.850,0.881,0.886,0.874,0.859,0.876,0.911,0.907,0.897,0.909,0.913,0.875
431,0.792,0.563,0.836,0.839,0.836,0.844,0.562,0.592,0.583,0.867,0.901,0.849,0.847,0.842,0.844,0.882,0.844,0.850,0.881,0.886,0.874,0.857,0.876,0.912,0.907,0.897,0.909,0.913,0.876
432,0.792,0.563,0.835,0.839,0.836,0.844,0.563,0.593,0.582,0.867,0.901,0.849,0.847,0.844,0.844,0.881,0.843,0.850,0.880,0.885,0.874,0.858,0.877,0.910,0.907,0.897,0.909,0.913,0.875
433,0.792,0.563,0.835,0.839,0.835,0.844,0.563,0.593,0.582,0.867,0.901,0.849,0.846,0.844,0.844,0.881,0.842,0.850,0.880,0.885,0.873,0.859,0.877,0.910,0.908,0.898,0.909,0.913,0.875
434,0.792,0.563,0.836,0.838,0.834,0.844,0.562,0.593,0.582,0.867,0.901,0.849,0.846,0.843,0.844,0.882,0.843,0.850,0.881,0.886,0.874,0.858,0.876,0.911,0.907,0.898,0.908,0.913,0.875
435,0.792,0.563,0.835,0.838,0.835,0.844,0.562,0.592,0.581,0.867,0.901,0.848,0.847,0.842,0.844,0.881,0.843,0.850,0.880,0.886,0.875,0.858,0.876,0.911,0.908,0.898,0.909,0.914,0.874
