Start time (UTC), 0430 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Kipps retired due to low light. ~1.5mm new icing since last observation (new layer on manually cleared parts). Ice nodules still reaching the surface with snow filling in grooves. Crust layer  up to 1 cm in thickness with <1 cm of snow on top and deeper snow underneath in places. Light freezing mist intensifying from the 105-m mark onward 
 Ship latitude, 89.0897
 Ship longitude, 108.64592
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s
Surface thickness (cm), 14.0,  2.5,  0.2, 11.0,  8.0,  6.0,  3.0,  0.5,  6.0,  6.0,  6.0,  5.0,  4.0, 11.0,  0.5,  1.0,  4.0,  1.0,  9.0,  3.0,  1.0,  5.0,  7.0,  8.0,  1.0,  4.0,  6.0,  1.0,  1.0
Notes,                                       light crust,                                               NaN,                            2-3mm over frozen pond,                                        hard crust,                                               NaN,              6cm total. ~3mm above a crusty layer,                                               NaN,                         8mm in grooves. tops free, also frozen pond with <<6cm snow in instrument...,                                               NaN,                5mm above crust. then 6cm in total,                                     same as above,                     frozen pond with <4cm in view,                11cm tot. 1cm above a crusty layer,                       1cm in grooves.~1mm on tops,                             snow over frozen pond,                                               NaN,                        12mm in grooves. tops free,                 9cm tot. 0.5cm above crusty layer,                         0.5cm in grooves of crust,                                               NaN,                                    1cm over crust,                                     same as above,                                    2cm over crust,                  snow over structured ice surface,                  snow over structured ice surface, snow drift with crusty layer on top at old pon...,                                 filled-up grooves,                          1cm snow over hard crust
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.921,0.872,0.671,0.870,0.878,0.861,0.870,0.719,0.816,0.849,0.846,0.864,0.663,0.902,0.757,0.747,0.776,0.776,0.857,0.848,0.835,0.879,0.861,0.890,0.837,0.844,0.846,0.863,0.852
351,0.921,0.872,0.674,0.869,0.877,0.863,0.869,0.717,0.817,0.849,0.850,0.864,0.661,0.901,0.759,0.748,0.775,0.777,0.860,0.849,0.838,0.880,0.861,0.892,0.838,0.845,0.843,0.861,0.853
352,0.923,0.870,0.672,0.868,0.874,0.864,0.867,0.719,0.819,0.849,0.853,0.864,0.660,0.901,0.759,0.749,0.774,0.781,0.863,0.851,0.838,0.881,0.857,0.892,0.841,0.848,0.842,0.858,0.854
353,0.924,0.868,0.671,0.867,0.875,0.863,0.869,0.722,0.817,0.849,0.846,0.863,0.664,0.906,0.754,0.746,0.774,0.782,0.858,0.852,0.839,0.877,0.856,0.890,0.840,0.852,0.846,0.862,0.856
354,0.925,0.870,0.674,0.868,0.876,0.864,0.868,0.721,0.815,0.849,0.846,0.866,0.663,0.905,0.754,0.748,0.775,0.781,0.862,0.850,0.840,0.878,0.859,0.892,0.837,0.847,0.848,0.860,0.857
355,0.926,0.870,0.673,0.868,0.878,0.863,0.868,0.721,0.815,0.850,0.848,0.867,0.663,0.903,0.754,0.747,0.776,0.779,0.862,0.851,0.839,0.879,0.859,0.893,0.839,0.846,0.847,0.861,0.856
356,0.926,0.869,0.670,0.866,0.879,0.861,0.867,0.722,0.815,0.850,0.849,0.867,0.664,0.902,0.755,0.745,0.777,0.778,0.859,0.853,0.837,0.879,0.856,0.891,0.842,0.848,0.845,0.864,0.855
357,0.919,0.871,0.672,0.867,0.877,0.864,0.867,0.722,0.816,0.852,0.848,0.868,0.663,0.904,0.757,0.748,0.775,0.780,0.859,0.853,0.838,0.883,0.856,0.891,0.839,0.846,0.846,0.862,0.855
358,0.924,0.870,0.672,0.867,0.877,0.865,0.869,0.720,0.813,0.852,0.848,0.865,0.662,0.901,0.758,0.747,0.774,0.781,0.858,0.852,0.836,0.882,0.857,0.889,0.839,0.846,0.845,0.861,0.852
359,0.927,0.871,0.670,0.868,0.877,0.864,0.868,0.718,0.813,0.852,0.848,0.864,0.663,0.901,0.759,0.746,0.774,0.782,0.860,0.851,0.834,0.880,0.858,0.890,0.840,0.848,0.846,0.861,0.853
360,0.924,0.873,0.670,0.869,0.876,0.862,0.865,0.719,0.815,0.854,0.848,0.866,0.665,0.905,0.759,0.748,0.776,0.781,0.863,0.850,0.835,0.878,0.859,0.893,0.840,0.849,0.848,0.861,0.856
361,0.925,0.868,0.671,0.868,0.877,0.863,0.866,0.720,0.814,0.852,0.849,0.867,0.664,0.903,0.756,0.751,0.776,0.783,0.859,0.850,0.835,0.879,0.860,0.893,0.841,0.847,0.842,0.862,0.857
362,0.923,0.869,0.671,0.869,0.874,0.863,0.868,0.719,0.813,0.850,0.846,0.863,0.664,0.903,0.757,0.749,0.777,0.783,0.858,0.853,0.838,0.881,0.859,0.891,0.842,0.847,0.842,0.865,0.855
363,0.922,0.871,0.670,0.870,0.872,0.863,0.869,0.718,0.813,0.850,0.846,0.862,0.663,0.902,0.759,0.745,0.776,0.782,0.860,0.854,0.839,0.881,0.858,0.889,0.843,0.848,0.845,0.865,0.855
364,0.925,0.869,0.670,0.869,0.875,0.862,0.871,0.718,0.814,0.852,0.848,0.865,0.663,0.901,0.758,0.744,0.774,0.782,0.861,0.852,0.837,0.879,0.858,0.889,0.844,0.848,0.846,0.861,0.858
365,0.923,0.869,0.673,0.867,0.877,0.863,0.870,0.721,0.814,0.850,0.846,0.865,0.664,0.903,0.756,0.747,0.776,0.782,0.859,0.854,0.836,0.881,0.859,0.891,0.840,0.848,0.847,0.861,0.857
366,0.924,0.869,0.673,0.868,0.876,0.862,0.869,0.722,0.814,0.850,0.847,0.864,0.663,0.904,0.755,0.749,0.776,0.781,0.861,0.854,0.836,0.880,0.860,0.893,0.838,0.849,0.846,0.862,0.856
367,0.927,0.869,0.672,0.869,0.874,0.861,0.869,0.721,0.816,0.852,0.849,0.865,0.662,0.903,0.756,0.749,0.776,0.780,0.863,0.853,0.837,0.878,0.859,0.894,0.840,0.850,0.844,0.863,0.856
368,0.927,0.868,0.672,0.868,0.872,0.862,0.869,0.722,0.817,0.852,0.848,0.867,0.665,0.903,0.756,0.749,0.776,0.780,0.860,0.852,0.837,0.880,0.857,0.890,0.843,0.847,0.846,0.863,0.856
369,0.925,0.870,0.671,0.870,0.875,0.863,0.869,0.721,0.814,0.851,0.847,0.866,0.664,0.904,0.756,0.749,0.774,0.782,0.860,0.853,0.837,0.880,0.859,0.890,0.841,0.847,0.847,0.860,0.854
370,0.924,0.870,0.671,0.870,0.876,0.863,0.869,0.720,0.813,0.849,0.849,0.864,0.663,0.904,0.756,0.749,0.775,0.782,0.862,0.854,0.838,0.878,0.859,0.892,0.839,0.848,0.846,0.860,0.853
371,0.925,0.869,0.671,0.867,0.874,0.862,0.870,0.722,0.814,0.848,0.850,0.864,0.663,0.903,0.756,0.748,0.777,0.781,0.864,0.854,0.840,0.876,0.856,0.892,0.839,0.849,0.844,0.863,0.854
372,0.924,0.869,0.668,0.868,0.875,0.860,0.870,0.725,0.815,0.852,0.846,0.865,0.664,0.905,0.759,0.748,0.778,0.781,0.862,0.852,0.837,0.876,0.856,0.890,0.839,0.848,0.846,0.861,0.856
373,0.925,0.870,0.671,0.867,0.875,0.861,0.869,0.724,0.815,0.852,0.846,0.863,0.664,0.903,0.759,0.748,0.778,0.781,0.862,0.852,0.839,0.878,0.859,0.891,0.841,0.846,0.847,0.861,0.856
374,0.926,0.869,0.672,0.866,0.875,0.863,0.869,0.722,0.813,0.852,0.849,0.864,0.663,0.902,0.756,0.749,0.778,0.780,0.862,0.853,0.838,0.879,0.861,0.892,0.840,0.846,0.845,0.862,0.857
375,0.925,0.868,0.670,0.868,0.875,0.862,0.870,0.722,0.813,0.853,0.848,0.868,0.662,0.903,0.755,0.748,0.779,0.780,0.861,0.854,0.833,0.879,0.857,0.892,0.837,0.849,0.842,0.863,0.858
376,0.925,0.870,0.673,0.868,0.873,0.861,0.868,0.722,0.817,0.854,0.847,0.865,0.664,0.903,0.758,0.748,0.775,0.784,0.860,0.852,0.837,0.877,0.855,0.891,0.840,0.848,0.844,0.864,0.857
377,0.924,0.870,0.674,0.868,0.873,0.861,0.870,0.721,0.817,0.853,0.846,0.864,0.664,0.905,0.758,0.748,0.773,0.783,0.860,0.853,0.837,0.878,0.856,0.893,0.843,0.846,0.846,0.865,0.857
378,0.922,0.869,0.673,0.867,0.874,0.863,0.871,0.720,0.816,0.851,0.847,0.864,0.663,0.905,0.756,0.748,0.774,0.779,0.860,0.856,0.835,0.879,0.858,0.894,0.842,0.845,0.848,0.864,0.857
