Start time (UTC), 0859 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Snow drifts now perpendicular to previous orientation covering some ponds. Slightly deeper snow (~2 cm) on top of crust layer in places. Total depth broken through is recorded as comment. Noted specks of black soot in places presumably due to wind shift which can be broken with a gentle  push on the skipole.  
 Ship latitude, 89.01791
 Ship longitude, 107.83607
Position,   0,   5,  10,  15,  20,  25,  30,  35,  40,  45,  50,  55,  60,  65,  70,  75,  80,  85,  90,  95, 100, 105, 110, 115, 120, 125, 130, 135, 140
Surface type, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s, s
Surface thickness (cm), 5.0, 2.5, 1.0, 1.0, 1.0, 2.0, 1.0, 4.5, 2.0, 1.0, 1.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 6.0
Notes,                        NaN,                        NaN,                        NaN,                        NaN,                        NaN,                        NaN,                 in grooves,                        NaN,                 in grooves,   plus drift in sensor FOV,                        NaN,                        NaN,                    8 tot**,                       7tot,                       4tot,                       4tot,                       3tot,                       3tot,                       9tot,                       3tot,                        NaN,                       4tot,                       4tot,                       5tot,                      10tot,                       8tot,                       4tot, <0.5 fresh on top of crust,                        NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12,Albedo13,Albedo14,Albedo15,Albedo16,Albedo17,Albedo18,Albedo19,Albedo20,Albedo21,Albedo22,Albedo23,Albedo24,Albedo25,Albedo26,Albedo27,Albedo28
350,0.828,0.751,0.857,0.863,0.863,0.856,0.807,0.711,0.713,0.850,0.901,0.864,0.855,0.862,0.860,0.889,0.863,0.865,0.891,0.887,0.873,0.866,0.887,0.912,0.908,0.902,0.908,0.930,0.902
351,0.827,0.754,0.860,0.865,0.865,0.856,0.803,0.709,0.713,0.850,0.905,0.865,0.855,0.865,0.858,0.892,0.863,0.864,0.890,0.890,0.874,0.869,0.886,0.914,0.907,0.901,0.906,0.929,0.902
352,0.828,0.757,0.860,0.866,0.863,0.860,0.800,0.706,0.711,0.851,0.906,0.867,0.860,0.864,0.860,0.898,0.862,0.868,0.893,0.895,0.877,0.872,0.884,0.915,0.906,0.901,0.908,0.926,0.903
353,0.833,0.755,0.857,0.864,0.861,0.865,0.803,0.707,0.711,0.853,0.903,0.866,0.863,0.860,0.863,0.896,0.860,0.868,0.895,0.895,0.880,0.873,0.883,0.915,0.903,0.902,0.912,0.929,0.906
354,0.834,0.751,0.858,0.865,0.865,0.862,0.804,0.707,0.710,0.849,0.906,0.869,0.861,0.866,0.862,0.891,0.861,0.865,0.896,0.890,0.880,0.873,0.886,0.913,0.908,0.903,0.912,0.930,0.898
355,0.833,0.753,0.860,0.865,0.867,0.860,0.804,0.709,0.711,0.849,0.906,0.871,0.860,0.866,0.862,0.889,0.860,0.865,0.897,0.891,0.881,0.869,0.886,0.912,0.913,0.902,0.912,0.931,0.896
356,0.832,0.756,0.860,0.865,0.865,0.861,0.805,0.712,0.712,0.852,0.903,0.870,0.860,0.861,0.863,0.890,0.860,0.866,0.899,0.895,0.882,0.868,0.886,0.914,0.912,0.901,0.912,0.931,0.900
357,0.829,0.751,0.860,0.869,0.863,0.860,0.805,0.711,0.711,0.851,0.905,0.865,0.858,0.864,0.862,0.896,0.864,0.864,0.898,0.894,0.884,0.873,0.887,0.918,0.909,0.905,0.912,0.929,0.899
358,0.830,0.753,0.861,0.867,0.862,0.860,0.801,0.711,0.709,0.850,0.904,0.867,0.861,0.866,0.863,0.895,0.861,0.868,0.896,0.892,0.883,0.874,0.886,0.913,0.909,0.904,0.910,0.926,0.900
359,0.831,0.755,0.860,0.865,0.863,0.859,0.800,0.709,0.707,0.850,0.905,0.869,0.863,0.866,0.863,0.893,0.861,0.869,0.896,0.892,0.881,0.873,0.885,0.911,0.910,0.903,0.908,0.926,0.901
360,0.829,0.755,0.858,0.866,0.866,0.859,0.801,0.706,0.708,0.851,0.908,0.866,0.863,0.866,0.861,0.891,0.864,0.866,0.899,0.893,0.880,0.873,0.886,0.913,0.909,0.904,0.907,0.929,0.900
361,0.831,0.754,0.858,0.866,0.865,0.862,0.800,0.708,0.713,0.850,0.909,0.866,0.863,0.867,0.862,0.895,0.861,0.867,0.897,0.892,0.879,0.873,0.885,0.912,0.908,0.902,0.909,0.931,0.898
362,0.832,0.755,0.859,0.863,0.863,0.861,0.801,0.710,0.711,0.852,0.908,0.869,0.860,0.866,0.860,0.893,0.860,0.866,0.896,0.892,0.878,0.873,0.886,0.914,0.908,0.901,0.911,0.931,0.899
363,0.833,0.755,0.860,0.862,0.863,0.860,0.801,0.710,0.708,0.853,0.906,0.870,0.860,0.864,0.860,0.891,0.860,0.866,0.895,0.892,0.877,0.872,0.886,0.916,0.908,0.901,0.911,0.930,0.902
364,0.833,0.755,0.861,0.863,0.864,0.860,0.799,0.710,0.710,0.852,0.903,0.867,0.861,0.864,0.863,0.893,0.861,0.868,0.894,0.893,0.878,0.870,0.883,0.914,0.908,0.902,0.908,0.928,0.902
365,0.830,0.757,0.861,0.866,0.865,0.863,0.801,0.710,0.711,0.851,0.903,0.869,0.859,0.867,0.863,0.896,0.859,0.868,0.894,0.895,0.880,0.870,0.886,0.913,0.909,0.901,0.907,0.926,0.900
366,0.829,0.758,0.859,0.867,0.865,0.864,0.803,0.710,0.710,0.851,0.904,0.870,0.859,0.866,0.863,0.893,0.861,0.869,0.897,0.894,0.880,0.872,0.887,0.913,0.911,0.902,0.907,0.927,0.900
367,0.830,0.758,0.858,0.867,0.865,0.864,0.803,0.710,0.711,0.851,0.905,0.868,0.860,0.865,0.863,0.890,0.863,0.869,0.899,0.893,0.881,0.875,0.887,0.914,0.912,0.904,0.909,0.929,0.900
368,0.831,0.759,0.862,0.866,0.864,0.863,0.804,0.708,0.715,0.854,0.904,0.868,0.859,0.866,0.864,0.893,0.860,0.868,0.895,0.893,0.880,0.875,0.886,0.915,0.909,0.905,0.909,0.927,0.900
369,0.834,0.759,0.859,0.865,0.865,0.865,0.802,0.710,0.711,0.852,0.906,0.867,0.859,0.864,0.866,0.893,0.860,0.866,0.895,0.893,0.881,0.874,0.886,0.912,0.911,0.903,0.909,0.927,0.901
370,0.832,0.757,0.857,0.865,0.865,0.863,0.801,0.710,0.708,0.848,0.905,0.868,0.860,0.865,0.865,0.891,0.860,0.865,0.898,0.893,0.882,0.872,0.889,0.912,0.912,0.902,0.911,0.930,0.901
371,0.829,0.755,0.858,0.865,0.864,0.858,0.802,0.710,0.709,0.847,0.903,0.870,0.860,0.867,0.862,0.890,0.861,0.865,0.900,0.894,0.883,0.870,0.893,0.916,0.911,0.902,0.912,0.932,0.901
372,0.832,0.757,0.858,0.864,0.866,0.860,0.801,0.709,0.710,0.851,0.904,0.869,0.860,0.864,0.862,0.892,0.862,0.866,0.898,0.895,0.880,0.871,0.891,0.917,0.910,0.903,0.907,0.928,0.904
373,0.830,0.757,0.859,0.865,0.866,0.862,0.802,0.710,0.711,0.852,0.905,0.867,0.861,0.863,0.861,0.898,0.860,0.868,0.897,0.893,0.879,0.872,0.889,0.918,0.911,0.902,0.909,0.929,0.903
374,0.831,0.757,0.860,0.866,0.863,0.861,0.803,0.710,0.710,0.851,0.906,0.866,0.861,0.864,0.862,0.898,0.858,0.869,0.894,0.890,0.879,0.873,0.887,0.917,0.912,0.902,0.911,0.930,0.900
375,0.836,0.757,0.861,0.865,0.861,0.860,0.803,0.709,0.709,0.850,0.909,0.868,0.860,0.866,0.865,0.893,0.859,0.867,0.891,0.889,0.881,0.872,0.886,0.915,0.912,0.905,0.911,0.928,0.900
376,0.833,0.757,0.859,0.864,0.864,0.862,0.801,0.710,0.714,0.850,0.908,0.869,0.861,0.865,0.861,0.894,0.863,0.865,0.896,0.893,0.880,0.869,0.887,0.915,0.909,0.901,0.912,0.929,0.901
377,0.832,0.757,0.860,0.863,0.865,0.863,0.801,0.711,0.713,0.853,0.906,0.867,0.860,0.866,0.859,0.895,0.860,0.864,0.897,0.894,0.878,0.870,0.887,0.913,0.908,0.902,0.909,0.930,0.902
378,0.831,0.757,0.861,0.864,0.865,0.863,0.802,0.709,0.709,0.854,0.905,0.867,0.859,0.865,0.859,0.894,0.858,0.864,0.896,0.893,0.879,0.874,0.886,0.911,0.909,0.904,0.906,0.930,0.902
379,0.830,0.756,0.859,0.867,0.866,0.862,0.801,0.707,0.709,0.852,0.903,0.869,0.861,0.862,0.861,0.890,0.861,0.863,0.896,0.892,0.885,0.875,0.886,0.913,0.910,0.903,0.908,0.929,0.901
380,0.831,0.758,0.859,0.864,0.864,0.863,0.803,0.709,0.710,0.848,0.902,0.869,0.863,0.863,0.862,0.891,0.861,0.866,0.895,0.889,0.883,0.874,0.886,0.909,0.909,0.904,0.911,0.928,0.903
381,0.831,0.756,0.859,0.865,0.865,0.862,0.804,0.710,0.710,0.851,0.903,0.868,0.862,0.865,0.863,0.893,0.858,0.866,0.896,0.886,0.880,0.872,0.885,0.910,0.909,0.905,0.910,0.927,0.903
382,0.831,0.754,0.860,0.867,0.867,0.861,0.801,0.710,0.709,0.856,0.905,0.867,0.860,0.867,0.864,0.894,0.856,0.865,0.898,0.886,0.878,0.871,0.884,0.913,0.911,0.906,0.907,0.926,0.899
383,0.831,0.757,0.859,0.866,0.865,0.861,0.798,0.711,0.711,0.854,0.907,0.868,0.860,0.867,0.862,0.893,0.860,0.869,0.899,0.890,0.879,0.871,0.885,0.910,0.911,0.905,0.909,0.927,0.899
384,0.830,0.759,0.857,0.868,0.863,0.861,0.797,0.707,0.714,0.853,0.906,0.866,0.859,0.866,0.862,0.894,0.859,0.868,0.895,0.892,0.880,0.870,0.884,0.910,0.910,0.904,0.910,0.927,0.899
