Start time (UTC), 0856 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Light freezing mist. Some broken clouds 
 Ship latitude, 89.14461
 Ship longitude, 110.83135
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, s, s, s, s, s, s, s, s
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
350,0.884,0.884,0.910,0.904,0.885,0.913,0.881,0.856,0.827,0.897,0.914,0.890,0.908
351,0.884,0.882,0.911,0.902,0.888,0.914,0.883,0.855,0.828,0.899,0.918,0.888,0.909
352,0.885,0.881,0.911,0.902,0.889,0.915,0.885,0.855,0.829,0.898,0.922,0.885,0.909
353,0.885,0.883,0.910,0.902,0.890,0.914,0.886,0.855,0.827,0.897,0.919,0.883,0.910
354,0.886,0.881,0.912,0.900,0.888,0.911,0.888,0.854,0.825,0.898,0.917,0.885,0.911
355,0.887,0.880,0.912,0.900,0.887,0.913,0.888,0.854,0.825,0.898,0.919,0.886,0.912
356,0.888,0.880,0.910,0.903,0.887,0.914,0.886,0.856,0.825,0.897,0.921,0.885,0.912
357,0.886,0.880,0.913,0.906,0.888,0.910,0.887,0.856,0.827,0.899,0.917,0.886,0.909
358,0.884,0.883,0.912,0.906,0.887,0.911,0.887,0.858,0.827,0.894,0.918,0.887,0.908
359,0.886,0.884,0.910,0.906,0.885,0.914,0.887,0.858,0.827,0.892,0.920,0.888,0.908
360,0.888,0.882,0.910,0.905,0.884,0.916,0.887,0.856,0.828,0.895,0.921,0.888,0.908
361,0.886,0.883,0.908,0.900,0.886,0.914,0.886,0.859,0.825,0.897,0.920,0.886,0.910
362,0.884,0.884,0.907,0.899,0.886,0.912,0.887,0.857,0.828,0.898,0.918,0.887,0.911
363,0.885,0.882,0.909,0.899,0.886,0.911,0.889,0.855,0.829,0.899,0.917,0.888,0.911
364,0.887,0.879,0.912,0.899,0.889,0.911,0.889,0.856,0.827,0.899,0.918,0.888,0.910
365,0.887,0.882,0.913,0.901,0.890,0.910,0.889,0.855,0.829,0.900,0.917,0.890,0.914
366,0.887,0.884,0.912,0.902,0.890,0.911,0.890,0.856,0.826,0.900,0.918,0.889,0.912
367,0.889,0.883,0.912,0.903,0.889,0.914,0.891,0.856,0.824,0.899,0.918,0.887,0.909
368,0.891,0.884,0.915,0.903,0.890,0.913,0.891,0.855,0.828,0.899,0.916,0.892,0.911
369,0.889,0.884,0.915,0.905,0.891,0.913,0.891,0.855,0.828,0.898,0.918,0.890,0.911
370,0.887,0.884,0.912,0.906,0.889,0.912,0.892,0.855,0.827,0.897,0.921,0.889,0.911
371,0.887,0.885,0.909,0.906,0.886,0.911,0.891,0.856,0.826,0.898,0.921,0.889,0.912
372,0.886,0.887,0.911,0.906,0.890,0.913,0.888,0.858,0.827,0.898,0.920,0.887,0.915
373,0.887,0.885,0.911,0.904,0.891,0.911,0.888,0.859,0.830,0.899,0.922,0.887,0.913
374,0.887,0.883,0.912,0.903,0.891,0.910,0.891,0.859,0.830,0.899,0.923,0.886,0.910
375,0.886,0.884,0.915,0.904,0.890,0.913,0.893,0.858,0.828,0.900,0.923,0.884,0.911
376,0.889,0.883,0.912,0.903,0.890,0.912,0.891,0.858,0.830,0.900,0.920,0.888,0.915
377,0.889,0.882,0.911,0.904,0.890,0.912,0.889,0.860,0.829,0.900,0.919,0.888,0.915
378,0.888,0.882,0.911,0.905,0.890,0.911,0.889,0.861,0.828,0.900,0.920,0.886,0.914
379,0.888,0.885,0.912,0.903,0.891,0.908,0.890,0.858,0.831,0.900,0.921,0.887,0.914
380,0.888,0.884,0.914,0.905,0.890,0.910,0.891,0.858,0.831,0.898,0.921,0.889,0.912
381,0.887,0.884,0.915,0.905,0.889,0.912,0.892,0.859,0.830,0.898,0.920,0.891,0.912
382,0.886,0.884,0.914,0.903,0.891,0.912,0.891,0.859,0.830,0.899,0.919,0.890,0.914
383,0.886,0.883,0.912,0.905,0.892,0.912,0.889,0.859,0.830,0.898,0.920,0.889,0.913
384,0.887,0.887,0.912,0.904,0.894,0.911,0.889,0.857,0.831,0.898,0.923,0.893,0.913
385,0.889,0.888,0.911,0.902,0.894,0.911,0.891,0.857,0.831,0.900,0.923,0.895,0.912
